,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"3,76,31,300","3,76,31,300","3,99,02,200","3,67,36,200","3,91,15,200"
Depreciation & amortisation,"1,68,02,800","1,68,02,800","1,37,34,800","1,18,83,700","1,16,01,900"
Change in working capital,"99,09,300","99,09,300","3,17,000","-70,70,900","-1,28,69,800"
Inventory,"-4,46,500","-4,46,500","-25,69,200","4,48,700","-2,29,500"
Other working capital,"3,78,04,000","3,78,04,000","3,08,89,100","2,87,59,900","31,43,900"
Other non-cash items,"21,66,200","21,66,200","29,17,700","38,15,100","35,47,000"
Net cash provided by operating activities,"7,40,18,100","7,40,18,100","6,02,94,000","5,60,81,400","4,00,19,000"
"Investments in property, plant and equipment","-3,62,14,100","-3,62,14,100","-2,94,04,900","-2,73,21,500","-3,68,75,100"
"Acquisitions, net","-75,39,700","-75,39,700","-1,48,12,200","-43,01,800","-1,55,62,700"
Purchases of investments,-,-,-,"-31,70,000","-89,44,900"
Sales/maturities of investments,"62,85,200","62,85,200","38,23,400","44,43,500","31,61,000"
Other investing activities,"68,54,900","68,54,900","-1,05,90,700","-1,30,05,100","24,90,700"
Net cash used for investing activities,"-75,04,200","-75,04,200","-4,42,41,500","-3,84,58,400","-2,57,94,200"
Net change in cash,"2,39,57,600","2,39,57,600",-,-,"9,77,700"
Cash at beginning of period,"4,79,81,900","4,79,81,900","82,34,800","95,02,100","84,30,000"
Cash at end of period,"7,19,54,600","7,19,54,600","4,79,81,900","82,34,800","95,10,300"
Operating cash flow,"7,40,18,100","7,40,18,100","6,02,94,000","5,60,81,400","4,00,19,000"
Capital expenditure,"-3,62,14,100","-3,62,14,100","-2,94,04,900","-2,73,21,500","-3,68,75,100"
Free cash flow,"3,78,04,000","3,78,04,000","3,08,89,100","2,87,59,900","31,43,900"
