,Open,High,Low,Close*,Adj. close**,Volume
10-Apr-2018,379.00,390.50,378.60,387.25,380.90,"34,93,681"
09-Apr-2018,380.65,382.80,376.35,377.35,371.16,"15,71,745"
06-Apr-2018,378.45,383.60,374.65,379.30,373.08,"20,37,081"
05-Apr-2018,372.00,379.80,371.50,375.95,369.78,"36,48,555"
04-Apr-2018,368.00,373.70,363.75,367.80,361.76,"56,11,445"
03-Apr-2018,368.50,371.00,362.70,366.40,360.39,"26,79,172"
02-Apr-2018,356.00,371.90,356.00,369.70,363.63,"29,78,988"
28-Mar-2018,364.50,364.50,351.05,354.10,348.29,"47,66,456"
27-Mar-2018,368.15,369.40,361.90,365.50,359.50,"26,31,162"
26-Mar-2018,364.40,368.70,351.50,365.15,359.16,"38,84,338"
23-Mar-2018,355.00,367.00,350.45,362.40,356.45,"45,18,979"
22-Mar-2018,365.00,365.00,354.10,358.25,352.37,"34,43,184"
21-Mar-2018,372.90,373.75,362.30,363.70,357.73,"22,96,120"
20-Mar-2018,364.30,371.80,360.15,370.00,363.93,"17,80,257"
19-Mar-2018,370.00,371.50,355.25,364.30,358.32,"52,53,759"
16-Mar-2018,377.90,382.25,367.45,370.50,364.42,"49,72,566"
15-Mar-2018,383.60,386.40,380.30,382.15,375.88,"18,18,766"
14-Mar-2018,383.10,384.75,376.85,382.10,375.83,"36,16,289"
13-Mar-2018,387.00,391.40,381.15,385.20,378.88,"21,75,696"
12-Mar-2018,382.00,389.20,377.00,386.60,380.26,"36,93,431"
09-Mar-2018,392.00,393.65,373.80,377.90,371.70,"53,52,078"
08-Mar-2018,379.00,393.00,369.70,387.95,381.58,"1,10,40,375"
07-Mar-2018,398.95,398.95,372.25,376.95,370.76,"69,51,930"
06-Mar-2018,406.70,413.75,395.15,405.25,398.60,"33,21,338"
05-Mar-2018,404.95,411.45,400.10,403.95,397.32,"36,65,892"
01-Mar-2018,408.35,413.75,405.00,406.10,399.44,"12,16,685"
28-Feb-2018,410.00,412.35,403.10,408.35,401.65,"28,23,115"
27-Feb-2018,417.00,417.00,409.65,410.45,403.71,"13,34,518"
26-Feb-2018,407.50,417.00,407.50,415.05,408.24,"22,99,169"
23-Feb-2018,405.10,409.25,402.00,406.50,399.83,"19,53,157"
22-Feb-2018,395.00,406.20,392.75,404.00,397.37,"47,26,021"
21-Feb-2018,396.50,398.75,389.75,395.60,389.11,"18,00,533"
20-Feb-2018,394.00,398.00,387.20,394.90,388.42,"20,45,167"
19-Feb-2018,407.50,407.50,388.65,393.85,387.39,"21,40,756"
16-Feb-2018,414.00,415.60,402.35,405.45,398.80,"17,40,283"
15-Feb-2018,421.50,424.00,409.55,411.70,404.94,"32,93,138"
14-Feb-2018,405.00,416.80,405.00,413.00,406.22,"30,01,847"
12-Feb-2018,403.75,406.15,400.00,403.35,396.73,"12,49,277"
09-Feb-2018,400.00,401.60,394.00,399.00,392.45,"29,36,187"
08-Feb-2018,408.25,416.15,401.10,405.10,398.45,"29,52,821"
07-Feb-2018,414.40,414.40,404.15,407.00,400.32,"25,92,845"
06-Feb-2018,395.00,410.35,387.00,404.80,398.16,"29,63,450"
05-Feb-2018,408.00,413.00,406.30,408.20,401.50,"29,36,554"
02-Feb-2018,424.50,426.20,412.00,417.95,411.09,"42,65,914"
01-Feb-2018,431.00,433.00,414.45,428.75,421.71,"16,81,704"
31-Jan-2018,428.00,435.50,424.50,428.85,421.81,"27,34,628"
30-Jan-2018,435.00,436.15,426.80,428.25,421.22,"23,89,618"
29-Jan-2018,436.50,442.35,432.00,436.65,429.48,"21,26,497"
25-Jan-2018,450.00,450.00,434.80,436.50,429.34,"67,92,843"
24-Jan-2018,437.00,452.35,429.10,448.75,441.39,"52,01,505"
23-Jan-2018,438.05,442.00,433.00,438.40,431.21,"46,59,591"
22-Jan-2018,434.00,443.35,432.55,438.05,430.86,"70,92,514"
19-Jan-2018,418.80,435.45,418.80,433.45,426.34,"75,88,904"
18-Jan-2018,437.95,438.15,409.35,416.25,409.42,"87,94,103"
17-Jan-2018,424.25,436.00,422.75,433.40,426.29,"67,15,953"
16-Jan-2018,421.50,428.25,418.45,423.55,416.60,"23,18,100"
15-Jan-2018,425.55,427.90,419.50,420.60,413.70,"15,99,208"
12-Jan-2018,425.85,428.35,411.55,423.30,416.35,"25,81,486"
11-Jan-2018,423.00,430.65,421.00,425.50,418.52,"44,15,043"
10-Jan-2018,422.00,427.90,418.75,423.45,416.50,"42,53,925"
09-Jan-2018,422.90,425.55,419.20,421.10,414.19,"25,09,904"
08-Jan-2018,424.00,427.50,421.10,422.90,415.96,"34,47,843"
05-Jan-2018,411.90,426.95,410.20,423.80,416.85,"54,48,214"
04-Jan-2018,408.70,410.70,406.05,409.85,403.12,"19,90,506"
03-Jan-2018,398.10,410.90,397.45,407.65,400.96,"46,79,468"
02-Jan-2018,403.45,403.45,395.00,397.40,390.88,"13,22,980"
01-Jan-2018,406.70,407.70,398.05,399.65,393.09,"27,01,537"
19-Jul-2018,366.40,371.00,364.10,369.60,363.54,"15,37,925"
18-Jul-2018,365.85,375.40,361.75,364.05,358.08,"20,65,237"
17-Jul-2018,361.10,369.20,360.80,366.70,360.68,"17,75,116"
16-Jul-2018,370.50,372.30,358.50,360.05,354.14,"13,40,324"
13-Jul-2018,374.00,377.30,367.50,370.40,364.32,"30,06,407"
12-Jul-2018,374.40,375.70,368.60,369.35,363.29,"14,58,875"
11-Jul-2018,369.90,378.30,368.00,373.50,367.37,"24,80,112"
10-Jul-2018,367.55,375.30,367.55,370.45,364.37,"16,56,692"
09-Jul-2018,367.00,369.90,365.60,366.95,360.93,"10,50,376"
06-Jul-2018,361.90,370.90,358.35,365.75,359.75,"15,49,142"
05-Jul-2018,361.35,363.40,355.60,361.90,355.96,"15,26,982"
04-Jul-2018,362.95,363.50,355.95,359.95,354.04,"16,16,705"
03-Jul-2018,362.50,365.45,360.25,362.75,356.80,"14,88,048"
02-Jul-2018,371.00,373.90,359.15,362.80,356.85,"17,32,427"
