Insider,Insider Type,Type,Date,Shares
Flourishing Trade And Investment Ltd,Promoter,Direct,24-Mar-2020,"612,482"
Sheth (Kanaiyalal M),UNREPORTED,Direct,23-Jun-2020,"3,000"
Sheth (Rahul Ravi),UNREPORTED,Direct,23-Jun-2020,"8,623"
Emerging Markets Investment Fund,Promoter,Direct,26-Sep-2019,"1,397,089"
Adani (Gautam S & Rajesh S),Promoter,Direct,26-Sep-2019,"13,411,254"
"Adani Tradeline, L.L.P.",Promoter,Direct,26-Sep-2019,"2,318,604"
Afro Asia Trade & Investments Ltd,Institution- Corporation,Direct,13-Oct-2016,"50,000"
Universal Trade & Investments Ltd,Institution- Corporation,Direct,22-Sep-2016,"353,700"
Worldwide Emerging Market Holding Ltd,Promoter,Direct,31-Mar-2017,"43,598,318"
Maheshwari (Deepak),UNREPORTED,Direct,09-Aug-2018,"10,000"
Pan Asia Trade & Investment Pvt. Ltd.,UNREPORTED,Direct,24-Mar-2017,"5,208,562"
Rama (B),UNREPORTED,Direct,10-Jul-2017,"9,772"
Ravi (B),UNREPORTED,Direct,10-Jul-2017,"1,075"
Rameshchandra (Mahadevia Malay) HUF,UNREPORTED,Direct,03-Apr-2017,"17,500"
Adani (Vinod Shantilal),Promoter,Direct,31-Mar-2017,"130,794,953"
Mahadevia (Malay) HUF,UNREPORTED,Direct,22-Mar-2017,"549,170"
Malay (Mahadevia),Wholetime Director,Direct,20-Mar-2017,"634,188"
Mahadevia (Geeta Ramesh),UNREPORTED,Direct,22-Mar-2017,"49,170"
Mehta (Sandeep),UNREPORTED,Direct,11-Jan-2017,"191,900"
