,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"44,48,800","40,46,500","80,12,100"
Other short-term investments,"1,35,23,100","1,22,27,200","1,77,30,000"
Total cash,"1,79,71,900","1,62,73,700","2,57,42,100"
Net receivables,"1,90,73,300","1,73,06,300","1,44,66,000"
Inventory,"3,14,98,600","2,65,83,100","2,62,69,400"
Other current assets,"1,03,100","2,59,300","3,09,300"
Total current assets,"7,63,40,500","6,91,40,800","6,96,56,800"
"Gross property, plant and equipment","6,74,87,700","5,40,91,500","3,77,10,100"
Accumulated depreciation,"-1,28,29,200","-88,55,700","-55,68,200"
"Net property, plant and equipment","5,46,58,500","4,52,35,800","3,21,41,900"
Goodwill,"32,13,000","32,72,600","19,18,900"
Intangible assets,"27,37,000","28,65,100","15,36,100"
Other long-term assets,"9,400","4,500","1,23,400"
Total non-current assets,"8,02,72,800","6,86,90,000","5,45,40,800"
Total assets,"15,66,13,300","13,78,30,800","12,41,97,600"
Current debt,"61,85,100","51,77,200","51,86,200"
Accounts payable,"2,39,43,400","2,15,99,600","1,92,28,300"
Other current liabilities,"9,37,600","7,82,900",-
Total current liabilities,"5,02,88,700","4,45,10,700","3,88,48,700"
Long-term debt,"1,88,100","2,74,600","3,88,700"
Deferred tax liabilities,"56,79,800","41,75,600","35,98,300"
Deferred revenues,"15,200","26,100","36,500"
Other long-term liabilities,"44,400","40,000",-
Total non-current liabilities,"74,97,200","59,41,300","55,71,400"
Total liabilities,"5,77,85,900","5,04,52,000","4,44,20,100"
Common stock,"9,59,200","9,59,200","9,59,200"
Retained earnings,"4,65,36,400","3,54,77,800","2,67,27,500"
Total stockholders' equity,"9,51,96,900","8,41,02,300","7,60,23,000"
Total liabilities and stockholders' equity,"15,66,13,300","13,78,30,800","12,41,97,600"
