,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"2,71,85,000","2,15,94,900","2,03,89,300","1,93,94,200"
Depreciation & amortisation,-,"43,06,700","36,04,700","33,88,400"
Change in working capital,-,"-42,74,000","-7,96,500","-60,28,100"
Inventory,-,"-49,15,400","-3,94,900","-62,87,000"
Other working capital,-,"1,06,34,800","68,74,600","84,32,000"
Other non-cash items,-,"1,04,200","-54,700","-67,200"
Net cash provided by operating activities,-,"2,21,42,700","2,11,34,400","1,52,73,300"
"Investments in property, plant and equipment",-,"-1,15,07,900","-1,42,59,800","-68,41,300"
"Acquisitions, net",-,0,"-52,49,900",-
Purchases of investments,-,"-57,26,600","-31,95,200","-15,27,500"
Sales/maturities of investments,-,"70,30,100","43,65,600","5,79,500"
Net cash used for investing activities,-,"-92,37,200","-1,59,92,800","-65,61,000"
Net change in cash,-,"40,75,900","-86,49,800","11,48,000"
Cash at beginning of period,-,"84,56,800","1,66,75,200","1,57,77,300"
Cash at end of period,-,"1,27,99,700","84,56,800","1,66,75,200"
Operating cash flow,-,"2,21,42,700","2,11,34,400","1,52,73,300"
Capital expenditure,-,"-1,15,07,900","-1,42,59,800","-68,41,300"
Free cash flow,-,"1,06,34,800","68,74,600","84,32,000"
