,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,200.80,205.00,200.80,204.46,128.78,"3,77,180"
08-Apr-2010,205.00,205.90,200.80,203.34,128.08,"3,67,290"
07-Apr-2010,206.88,206.88,204.00,204.46,128.79,"2,40,430"
06-Apr-2010,206.00,206.50,202.50,204.29,128.68,"75,260"
05-Apr-2010,204.20,209.10,202.00,205.71,129.57,"1,77,860"
01-Apr-2010,206.90,206.90,200.60,202.13,127.32,"3,40,100"
31-Mar-2010,205.00,209.00,202.61,203.88,128.42,"4,53,620"
30-Mar-2010,202.10,208.00,202.09,207.01,130.40,"8,17,780"
29-Mar-2010,200.90,209.60,199.49,203.49,128.18,"15,66,560"
26-Mar-2010,197.50,205.99,196.21,200.59,126.35,"14,33,570"
25-Mar-2010,196.00,198.50,196.00,196.21,123.59,"6,48,090"
23-Mar-2010,198.50,199.55,196.14,196.81,123.97,"2,46,090"
22-Mar-2010,199.44,201.45,196.10,196.85,124.00,"1,56,960"
19-Mar-2010,200.10,202.38,198.50,199.44,125.62,"2,18,830"
18-Mar-2010,198.49,200.10,195.50,199.46,125.64,"20,50,090"
17-Mar-2010,191.11,197.80,191.01,196.94,124.05,"11,24,780"
16-Mar-2010,189.70,199.04,187.50,190.51,120.00,"9,87,590"
15-Mar-2010,192.00,192.90,188.50,189.74,119.51,"1,54,890"
12-Mar-2010,194.50,195.90,190.21,191.82,120.82,"1,25,790"
11-Mar-2010,185.37,195.80,185.37,194.20,122.32,"95,630"
10-Mar-2010,193.24,195.95,192.50,193.99,122.19,"3,44,470"
09-Mar-2010,193.50,195.99,193.50,194.47,122.49,"1,06,080"
08-Mar-2010,198.00,198.00,193.70,194.27,122.37,"1,08,280"
05-Mar-2010,197.40,199.00,195.15,196.21,123.59,"1,54,450"
04-Mar-2010,198.80,199.55,192.55,196.82,123.97,"4,98,000"
03-Mar-2010,187.99,200.04,186.50,198.12,124.79,"12,13,080"
02-Mar-2010,175.60,188.30,175.60,186.99,117.79,"2,87,840"
26-Feb-2010,174.60,182.50,174.20,180.99,114.01,"2,43,720"
25-Feb-2010,175.10,177.49,171.21,176.54,111.20,"18,12,350"
24-Feb-2010,182.50,182.50,174.25,176.15,110.95,"7,22,660"
23-Feb-2010,185.10,185.10,176.00,178.52,112.45,"6,21,410"
22-Feb-2010,187.50,187.98,182.00,182.55,114.99,"1,19,950"
19-Feb-2010,185.01,186.80,184.01,185.91,117.10,"72,790"
18-Feb-2010,189.97,189.97,185.10,185.79,117.02,"8,84,210"
17-Feb-2010,192.00,192.70,187.80,188.97,119.03,"4,14,590"
16-Feb-2010,203.10,203.10,189.26,191.20,120.43,"2,39,100"
15-Feb-2010,198.98,198.98,190.50,193.45,121.85,"3,85,570"
11-Feb-2010,199.37,199.90,193.00,194.48,122.50,"3,71,620"
10-Feb-2010,198.00,202.50,194.50,197.96,124.69,"5,14,110"
09-Feb-2010,194.40,198.30,194.40,196.27,123.63,"5,08,880"
08-Feb-2010,196.00,198.50,194.50,194.77,122.69,"4,07,370"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,186.50,199.50,186.50,193.63,121.96,"18,72,490"
04-Feb-2010,191.40,192.55,188.50,191.82,120.83,"1,48,690"
03-Feb-2010,189.39,192.50,187.99,191.46,120.60,"4,19,240"
02-Feb-2010,192.50,193.05,187.00,187.57,118.14,"3,02,690"
01-Feb-2010,186.99,193.50,183.00,191.76,120.78,"3,67,220"
29-Jan-2010,179.80,186.50,177.50,185.22,116.67,"2,75,390"
28-Jan-2010,178.00,182.39,177.10,180.28,113.56,"3,73,290"
27-Jan-2010,176.50,181.90,174.93,176.46,111.15,"3,72,840"
25-Jan-2010,177.50,181.50,176.70,177.64,111.89,"2,63,830"
22-Jan-2010,179.00,181.00,174.50,176.51,111.18,"3,34,690"
21-Jan-2010,182.70,183.79,179.61,181.21,114.14,"1,08,870"
20-Jan-2010,183.80,186.26,182.10,182.70,115.08,"1,20,360"
19-Jan-2010,189.48,189.48,182.50,184.48,116.20,"1,99,220"
18-Jan-2010,188.89,191.10,186.00,186.66,117.57,"1,25,790"
15-Jan-2010,187.13,192.70,186.52,187.20,117.91,"3,72,180"
14-Jan-2010,187.30,192.80,186.52,188.17,118.53,"2,30,890"
13-Jan-2010,177.00,187.70,171.16,185.82,117.05,"4,32,050"
12-Jan-2010,179.00,187.90,179.00,184.38,116.14,"11,48,010"
