,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,232.00,239.97,231.50,236.69,167.85,"1,27,97,095"
08-Apr-2010,231.39,233.10,230.00,231.35,164.06,"67,40,765"
07-Apr-2010,236.40,238.63,229.66,232.86,165.14,"1,84,54,375"
06-Apr-2010,236.00,236.78,233.20,234.91,166.59,"43,02,480"
05-Apr-2010,235.44,236.60,231.60,235.42,166.95,"41,95,040"
01-Apr-2010,233.60,236.84,233.60,234.71,166.45,"38,16,315"
31-Mar-2010,234.40,236.94,232.38,233.65,165.70,"35,38,230"
30-Mar-2010,239.79,242.40,233.93,234.62,166.38,"53,30,135"
29-Mar-2010,239.40,243.00,237.00,239.79,170.05,"60,28,530"
26-Mar-2010,231.02,239.59,230.30,238.65,169.24,"90,27,285"
25-Mar-2010,230.42,233.04,229.36,230.96,163.79,"75,65,780"
23-Mar-2010,230.70,234.38,230.40,232.39,164.80,"62,63,015"
22-Mar-2010,220.00,230.47,220.00,229.30,162.61,"54,92,690"
19-Mar-2010,234.40,234.40,230.31,231.20,163.96,"61,33,220"
18-Mar-2010,229.06,234.40,228.82,232.76,165.06,"76,89,270"
17-Mar-2010,231.00,231.49,227.81,229.84,162.99,"1,21,25,165"
16-Mar-2010,227.80,229.78,226.50,228.98,162.38,"67,25,940"
15-Mar-2010,225.72,230.86,225.72,228.54,162.07,"45,07,825"
12-Mar-2010,230.20,232.32,228.31,230.21,163.26,"97,42,385"
11-Mar-2010,225.48,230.98,225.48,230.27,163.30,"90,45,940"
10-Mar-2010,223.53,227.00,223.40,226.30,160.48,"61,96,885"
09-Mar-2010,209.00,226.68,209.00,223.53,158.52,"45,24,955"
08-Mar-2010,228.85,228.85,221.42,225.86,160.17,"1,58,96,925"
05-Mar-2010,225.00,227.90,220.08,220.67,156.49,"1,31,64,750"
04-Mar-2010,230.00,230.49,222.50,224.33,159.09,"1,11,18,615"
03-Mar-2010,232.80,234.99,228.16,229.78,162.95,"1,13,65,680"
02-Mar-2010,226.20,235.00,226.00,231.00,163.82,"1,49,63,530"
26-Feb-2010,220.80,227.40,217.00,224.90,159.49,"81,16,780"
25-Feb-2010,219.22,220.59,216.31,219.25,155.48,"77,38,815"
24-Feb-2010,219.00,222.19,213.01,218.76,155.14,"86,01,590"
23-Feb-2010,220.00,225.96,217.74,219.63,155.75,"1,12,49,705"
22-Feb-2010,220.70,223.00,216.25,221.49,157.07,"87,15,490"
19-Feb-2010,214.40,220.45,214.20,218.90,155.24,"1,38,56,280"
18-Feb-2010,213.40,223.26,213.11,219.70,155.80,"2,48,56,930"
17-Feb-2010,206.80,214.77,206.40,213.46,151.38,"1,13,66,410"
16-Feb-2010,206.40,208.34,203.67,205.23,145.54,"66,36,255"
15-Feb-2010,206.60,208.90,202.00,205.77,145.92,"45,49,330"
11-Feb-2010,206.00,208.98,205.68,206.64,146.54,"40,78,795"
10-Feb-2010,208.80,209.10,204.02,204.93,145.33,"82,86,355"
09-Feb-2010,205.00,211.40,202.64,207.71,147.30,"92,25,825"
08-Feb-2010,205.00,208.34,200.20,204.54,145.05,"74,26,465"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,206.74,207.60,199.02,205.14,145.48,"1,22,12,410"
04-Feb-2010,211.98,213.79,209.00,209.69,148.70,"65,85,835"
03-Feb-2010,209.11,215.40,204.81,214.20,151.90,"1,32,60,715"
02-Feb-2010,213.04,216.40,206.05,207.46,147.12,"88,83,385"
01-Feb-2010,205.20,214.40,201.00,212.51,150.70,"1,06,80,450"
29-Jan-2010,201.99,209.00,197.64,205.14,145.48,"1,53,92,485"
28-Jan-2010,195.60,206.00,195.60,203.76,144.50,"1,43,47,760"
27-Jan-2010,200.62,201.93,193.03,194.55,137.97,"1,21,27,575"
25-Jan-2010,205.20,205.93,201.03,203.74,144.48,"52,43,060"
22-Jan-2010,209.00,211.58,205.00,206.33,146.32,"72,75,735"
21-Jan-2010,217.00,218.20,210.00,212.25,150.52,"73,13,095"
20-Jan-2010,221.40,223.77,216.04,216.75,153.71,"65,84,845"
19-Jan-2010,235.54,235.54,218.62,221.15,156.83,"80,69,485"
18-Jan-2010,214.00,222.60,212.14,221.53,157.10,"1,00,33,600"
15-Jan-2010,216.00,218.68,213.04,215.56,152.87,"1,63,62,695"
14-Jan-2010,208.96,215.80,208.38,213.22,151.21,"1,07,46,410"
13-Jan-2010,208.30,209.77,205.31,208.06,147.55,"1,05,03,700"
12-Jan-2010,209.60,215.00,206.20,209.86,148.82,"1,43,51,905"
11-Jan-2010,203.80,210.60,203.02,209.88,148.84,"1,00,96,505"
08-Jan-2010,200.60,203.98,199.27,203.19,144.09,"79,31,425"
07-Jan-2010,199.29,201.20,197.82,200.57,142.24,"49,64,525"
06-Jan-2010,204.00,205.74,198.51,199.16,141.24,"59,53,585"
05-Jan-2010,199.60,204.00,199.14,202.56,143.65,"76,29,380"
04-Jan-2010,198.78,199.99,197.62,198.42,140.71,"43,71,510"
19-Jul-2010,271.00,273.40,268.67,272.16,203.12,"73,09,745"
16-Jul-2010,272.00,273.78,267.48,271.43,202.57,"1,15,15,560"
15-Jul-2010,270.00,271.10,263.12,270.06,201.55,"1,59,44,265"
14-Jul-2010,261.60,265.19,260.82,262.89,196.20,"84,75,475"
13-Jul-2010,257.70,260.78,254.63,259.94,194.00,"38,04,700"
12-Jul-2010,255.45,258.96,253.11,257.66,192.30,"43,12,175"
09-Jul-2010,249.91,255.57,249.79,254.62,190.03,"54,84,015"
08-Jul-2010,252.00,252.07,247.76,248.31,185.32,"45,91,380"
07-Jul-2010,252.40,252.40,245.92,247.41,184.65,"43,21,410"
06-Jul-2010,248.00,251.78,247.20,250.66,187.07,"43,86,780"
05-Jul-2010,247.22,249.00,245.09,247.19,184.48,"20,97,975"
02-Jul-2010,247.00,249.60,246.42,247.44,184.67,"24,28,120"
01-Jul-2010,248.40,248.40,243.01,246.73,184.14,"58,39,670"
30-Jun-2010,245.00,249.19,244.42,248.48,185.45,"71,53,910"
29-Jun-2010,251.02,251.82,246.80,248.13,185.18,"53,99,395"
28-Jun-2010,250.20,253.26,248.40,252.39,188.36,"39,83,065"
25-Jun-2010,252.20,255.53,247.48,249.82,186.45,"65,37,805"
24-Jun-2010,248.06,253.70,248.06,252.64,188.55,"92,07,320"
23-Jun-2010,245.06,251.30,245.06,249.88,186.49,"53,81,525"
22-Jun-2010,248.02,251.58,246.25,247.13,184.44,"48,45,490"
21-Jun-2010,244.00,250.42,244.00,249.46,186.18,"70,28,360"
18-Jun-2010,243.00,245.55,240.46,242.30,180.83,"1,27,70,945"
17-Jun-2010,244.00,244.60,238.39,243.00,181.36,"1,11,26,405"
16-Jun-2010,250.00,250.00,243.02,244.12,182.19,"67,87,285"
15-Jun-2010,248.82,251.30,246.04,249.05,185.87,"33,09,380"
14-Jun-2010,250.20,252.40,248.05,251.30,187.55,"30,69,890"
11-Jun-2010,250.40,252.03,247.65,249.16,185.95,"70,28,035"
10-Jun-2010,247.93,250.00,244.05,249.60,186.28,"68,17,990"
09-Jun-2010,244.98,250.78,244.98,247.93,185.04,"78,12,710"
08-Jun-2010,242.88,248.52,242.88,245.24,183.03,"84,07,510"
