,Most-recent transaction,Date,Shares owned as of transaction date
Bharadwaj (Ameet R),Sale,11-Jun-2020,"6,483"
Bhatt (Praveen L),Sale,19-Jun-2020,"34,100"
Chakravorty (Prashant),Sale,18-Jun-2020,"8,782"
Chopra (Lalit),Sale,19-Jun-2020,"60,170"
Govinda (Shyam M),Other,02-Apr-2020,"33,300"
Halder (Pinaki),Other,19-May-2020,"51,950"
Jain (Neeraj),Sale,24-Jun-2020,"10,000"
Mishra (Debarchan),Other,23-Jun-2020,"82,158"
Panda (Akshaya Kumar),Other,23-Jun-2020,"304,860"
Vartak (Bhushan),Sale,19-Jun-2020,"30,500"
