Insider,Insider Type,Type,Date,Shares
Jain (Neeraj),UNREPORTED,Direct,18-May-2020,"3,500"
Mishra (Debarchan),UNREPORTED,Direct,19-Feb-2020,"3,400"
Panda (Akshaya Kumar),President,Direct,23-Jun-2020,"2,500"
Bhatt (Praveen L),UNREPORTED,Direct,09-Mar-2020,"3,600"
Vartak (Bhushan),UNREPORTED,Direct,11-Feb-2020,500
Chopra (Lalit),UNREPORTED,Direct,19-Jun-2020,"17,000"
Chakravorty (Prashant),UNREPORTED,Direct,11-Feb-2020,"1,000"
Bharadwaj (Ameet R),UNREPORTED,Direct,11-Jun-2020,"11,817"
Halder (Pinaki),UNREPORTED,Direct,19-May-2020,"5,500"
Govinda (Shyam M),UNREPORTED,Direct,02-Apr-2020,"2,000"
Ruprel (Anil),UNREPORTED,Direct,02-Apr-2020,"3,000"
Vazirani (Vivek),UNREPORTED,Direct,28-Feb-2020,"1,250"
Verma (Shailesh),UNREPORTED,Direct,13-Mar-2020,"33,714"
Khosa (Raj Kumar),UNREPORTED,Direct,20-Mar-2020,"30,000"
Singh (Ajit Kumar),UNREPORTED,Direct,12-Feb-2020,"1,500"
Choudhary (Binod Bihari),UNREPORTED,Direct,19-Mar-2020,"6,900"
Shetty (Sameer Sadanand),UNREPORTED,Direct,18-Mar-2020,"3,000"
Balaji (N),UNREPORTED,Direct,17-Mar-2020,500
Sinha (Sanjay),UNREPORTED,Direct,17-Mar-2020,500
Silas (Sanjay),UNREPORTED,Direct,28-Feb-2020,"14,250"
Mankad (Shishir),UNREPORTED,Direct,11-Feb-2020,"71,275"
Ray (Rudra Priyo),Co President,Direct,12-Feb-2020,"1,000"
Chakravarthy (Nuti),UNREPORTED,Direct,12-Mar-2020,"2,000"
Agrawal (Pradeep),UNREPORTED,Direct,12-Mar-2020,"9,850"
Majumdar (Advait),UNREPORTED,Direct,12-Mar-2020,"16,800"
United India Insurance Co Ltd,Promoter,Direct,28-Feb-2020,35
Bahi (Sunil),UNREPORTED,Direct,20-Feb-2020,"1,000"
Pendharkar (Shrinivas),UNREPORTED,Direct,20-Feb-2020,750
Rele (Sanjay S),UNREPORTED,Direct,11-Mar-2020,"1,250"
Thukral (Arun),UNREPORTED,Direct,11-Feb-2020,"10,000"
Garg (Vandana),UNREPORTED,Direct,05-Mar-2020,700
Jain (Manish),UNREPORTED,Direct,11-Mar-2020,300
Arya (Arvind),UNREPORTED,Direct,12-Feb-2020,"2,000"
Joshi (Prashant),UNREPORTED,Direct,17-Feb-2020,"5,000"
Sanjekar (Shrikant),UNREPORTED,Direct,09-Mar-2020,"7,245"
Murkute (Prashant),UNREPORTED,Direct,06-Mar-2020,"1,500"
Mallareddy (Jagdeep),UNREPORTED,Direct,24-Feb-2020,"10,000"
Mallya (Sadashiva B),UNREPORTED,Direct,06-Mar-2020,"3,000"
Gondhalekar (Shailendra),UNREPORTED,Direct,17-Feb-2020,850
Shroff (Prakash),UNREPORTED,Direct,04-Mar-2020,"7,000"
Ganesh (P),UNREPORTED,Direct,17-Feb-2020,"1,000"
Sukhani (Manoj),UNREPORTED,Direct,03-Mar-2020,"3,000"
Langer (Rakesh),UNREPORTED,Direct,02-Mar-2020,"2,000"
Madan (Sunit),UNREPORTED,Direct,02-Mar-2020,"6,900"
Lad (Navalkumar),UNREPORTED,Direct,02-Mar-2020,"7,300"
Patil (Sadanand),UNREPORTED,Direct,17-Feb-2020,"1,000"
Prakash (K H),UNREPORTED,Direct,02-Mar-2020,"1,230"
Talwalkar (Chaitanya),UNREPORTED,Direct,02-Mar-2020,"30,850"
Singh (Ashish),UNREPORTED,Direct,24-Feb-2020,"1,500"
General Insurance Corporation of India,Promoter,Direct,12-Feb-2020,"30,000"
Anand (Rajiv),Director (Executive),Direct,17-Feb-2020,"40,000"
Prasad (Raj Kishore),UNREPORTED,Direct,12-Feb-2020,"1,000"
Mody (Yogesh),UNREPORTED,Direct,24-Feb-2020,"1,000"
Chatterjee (Himadri S),UNREPORTED,Direct,24-Feb-2020,"7,000"
Sridharan (Jairam),Chief Financial Officer,Direct,14-Feb-2020,"164,000"
Nair (Rajesh),UNREPORTED,Direct,12-Feb-2020,500
Stuart (Troy),UNREPORTED,Direct,11-Feb-2020,"34,000"
Subramanian (R),UNREPORTED,Direct,11-Feb-2020,"1,447"
Manoj (Kumar Mansingh),UNREPORTED,Direct,11-Feb-2020,"2,500"
