,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"28,54,000","91,56,400","77,56,000","28,75,000"
Other short-term investments,"2,77,97,500","1,57,64,800","5,76,54,100","6,05,00,800"
Total cash,"3,06,51,500","2,49,21,200","6,54,10,100","6,33,75,800"
Net receivables,"1,72,51,000","2,55,96,900","1,49,18,700","95,32,900"
Inventory,"1,06,35,000","96,15,100","74,25,800","72,83,800"
Other current assets,-,"2,400",-,-
Total current assets,"6,61,60,200","7,07,31,600","9,25,08,300","9,46,85,300"
"Gross property, plant and equipment","4,06,78,200","4,20,78,900","4,46,02,900","4,40,99,200"
Accumulated depreciation,"-2,41,92,500","-2,50,76,600","-2,62,79,200","-2,50,06,700"
"Net property, plant and equipment","1,64,85,700","1,70,02,300","1,83,23,700","1,90,92,500"
Intangible assets,"5,67,400","5,62,300","4,53,200","7,61,800"
Total non-current assets,"19,89,40,000","21,76,12,500","15,89,01,700","12,16,90,900"
Total assets,"26,51,00,200","28,83,44,100","25,14,10,000","21,63,76,200"
Accounts payable,"3,19,98,200","3,78,68,300","3,24,44,200","2,23,59,800"
Other current liabilities,"26,500","26,500","26,500","26,500"
Total current liabilities,"4,25,33,300","4,87,37,800","4,11,14,000","3,21,28,400"
Long-term debt,-,"12,45,200","12,07,700","11,99,000"
Deferred tax liabilities,"47,19,700","66,71,800","44,41,900","43,35,200"
Other long-term liabilities,"4,13,000","4,39,500","4,79,600","4,92,600"
Total non-current liabilities,"59,46,000","72,68,100","60,43,400","56,81,800"
Total liabilities,"4,84,79,300","5,60,05,900","4,71,57,400","3,78,10,200"
Common stock,"28,93,700","28,93,700","28,93,700","28,93,700"
Retained earnings,"14,75,04,400","16,45,15,800","14,32,16,500","12,56,25,600"
Total stockholders' equity,"21,66,20,800","23,23,38,100","20,42,52,400","17,85,65,700"
Total liabilities and stockholders' equity,"26,51,00,200","28,83,44,100","25,14,10,000","21,63,76,200"
