,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"29,18,63,100","29,18,63,100","29,56,72,500","25,16,49,200","21,37,35,200"
Cost of revenue,"21,48,38,600","21,48,38,600","22,28,34,200","17,77,29,100","14,96,13,600"
Gross profit,"7,70,24,500","7,70,24,500","7,28,38,300","7,39,20,100","6,41,21,600"
Selling general and administrative,"78,67,100","78,67,100","77,47,100","66,72,500","49,99,800"
Total operating expenses,"2,93,06,900","2,93,06,900","2,44,86,200","2,30,06,100","2,13,00,700"
Operating income or loss,"4,77,17,600","4,77,17,600","4,83,52,100","5,09,14,000","4,28,20,900"
Interest expense,"31,600","31,600","44,800","13,100","14,000"
Income before tax,"6,69,21,300","6,69,21,300","6,95,55,800","5,93,34,100","5,58,75,500"
Income tax expense,"1,48,02,200","1,48,02,200","2,02,79,800","1,71,44,700","1,50,80,700"
Income from continuing operations,"5,21,19,100","5,21,19,100","4,92,76,000","4,21,89,400","4,07,94,800"
Net income,"5,21,19,100","5,21,19,100","4,92,76,100","4,21,89,500","4,07,94,900"
Net income available to common shareholders,"5,21,19,100","5,21,19,100","4,92,76,100","4,21,89,500","4,07,94,900"
Basic EPS,-,-,170.30,145.80,141.00
Diluted EPS,-,-,170.30,145.80,141.00
Basic average shares,-,-,"2,89,367","2,89,367","2,89,367"
Diluted average shares,-,-,"2,89,367","2,89,367","2,89,367"
EBITDA,-,"6,94,17,200","7,22,57,500","6,24,95,200","5,89,62,400"
