,Open,High,Low,Close*,Adj. close**,Volume
18-Jun-2012,"1,539.50","1,555.00","1,520.00","1,542.45","1,232.16","3,27,747"
26-Sep-2012,"1,766.10","1,808.05","1,766.10","1,798.55","1,478.77","2,67,008"
25-Sep-2012,"1,811.00","1,828.90","1,780.10","1,788.05","1,470.13","5,52,813"
24-Sep-2012,"1,800.60","1,824.50","1,794.25","1,809.20","1,487.52","5,71,237"
21-Sep-2012,"1,800.00","1,809.90","1,791.40","1,800.60","1,480.45","9,93,193"
20-Sep-2012,"1,746.70","1,804.70","1,714.00","1,790.55","1,472.19","5,96,172"
18-Sep-2012,"1,745.00","1,755.00","1,734.15","1,748.55","1,437.66","3,08,553"
17-Sep-2012,"1,750.30","1,769.50","1,718.15","1,738.60","1,429.48","4,62,942"
14-Sep-2012,"1,725.10","1,760.00","1,725.10","1,744.50","1,434.33","4,14,035"
13-Sep-2012,"1,695.00","1,728.10","1,695.00","1,714.65","1,409.79","2,71,036"
12-Sep-2012,"1,720.50","1,722.35","1,684.30","1,693.35","1,392.27","3,04,131"
11-Sep-2012,"1,700.00","1,720.00","1,682.60","1,715.35","1,410.36","3,55,347"
10-Sep-2012,"1,676.00","1,715.00","1,676.00","1,709.35","1,405.43","3,44,153"
08-Sep-2012,-,-,-,-,-,-
07-Sep-2012,"1,650.00","1,692.70","1,649.70","1,688.20","1,388.04","3,40,123"
06-Sep-2012,"1,654.00","1,654.00","1,628.55","1,641.85","1,349.93","1,77,853"
05-Sep-2012,"1,642.00","1,652.00","1,630.00","1,644.95","1,352.48","5,64,147"
04-Sep-2012,"1,660.00","1,669.85","1,637.50","1,647.45","1,354.53","3,78,689"
03-Sep-2012,"1,618.00","1,670.00","1,618.00","1,662.50","1,366.91","3,97,171"
31-Aug-2012,"1,630.05","1,630.05","1,604.05","1,617.20","1,329.66","4,66,669"
30-Aug-2012,"1,625.00","1,649.90","1,608.60","1,631.20","1,341.17","6,93,839"
29-Aug-2012,"1,687.00","1,687.00","1,622.70","1,624.85","1,335.95","7,41,919"
28-Aug-2012,"1,728.80","1,728.80","1,681.50","1,691.15","1,390.46","3,40,905"
27-Aug-2012,"1,713.00","1,731.00","1,705.10","1,721.35","1,415.29","2,52,244"
