Insider,Insider Type,Type,Date,Shares
Bajaj (Deepa),Promoter,Indirect,07-Jan-2020,0
Bajaj (Rishabhnayan),Promoter,Direct,14-Aug-2018,"6,500"
Bajaj Auto ESOP Trust,Institution- Corporation,Direct,28-Feb-2020,"10,000"
Bajaj (Madhur),Executive Vice Chairman,Direct,22-Sep-2011,"540,000"
Bajaj (Nimisha),Promoter,Direct,22-Sep-2011,"250,000"
Bajaj (Rahulkumar),Executive Chairman,Direct,23-Sep-2011,"145,000"
Bajaj (Rajivnayan),Managing Director,Direct,26-Sep-2011,"562,050"
Bajaj (Sanjali),Promoter,Direct,27-Dec-2017,"7,250"
Bajaj (Shefali),Promoter,Direct,05-Feb-2019,"41,308"
Kejriwal (Sunaina),Promoter,Direct,23-Sep-2011,"145,000"
Siddhant Trust,Promoter,Indirect,07-Jan-2020,0
Bajaj (Minal),Promoter,Direct,28-Mar-2012,"24,000"
Kevin (DSA),Chief Financial Officer,Direct,22-May-2018,500
Bajaj (Sanjivnayan),Director (Executive),Direct,23-Sep-2011,"279,724"
Bajaj (Siddhantnayan),Promoter,Direct,05-Feb-2019,"42,308"
Forbes (Naushad D),Independent Non-Executive Director,Direct,10-Sep-2018,"1,301"
Joseph (Abraham),Chief Technology Officer,Direct,01-Aug-2018,150
Bajaj (Anant),Promoter,Direct,07-Feb-2013,"148,927"
Bajaj (Kriti),Promoter,Direct,15-Jun-2012,"15,000"
Bajaj (Kumud),Promoter,Direct,27-Dec-2017,"549,000"
Bajaj (Niravnayan),Promoter,Direct,15-Jun-2012,"90,000"
Anant Bajaj Trust,Promoter,Direct,26-Dec-2017,"136,500"
Bajaj (Neelima Swamy),Promoter,Direct,22-Sep-2011,"290,000"
Bajaj (Niraj),Director (Non-Executive),Direct,15-Jun-2012,"75,000"
Geetika Trust,Promoter,Direct,27-Dec-2017,"116,000"
Kriti Trust,Promoter,Direct,27-Dec-2017,"29,200"
Nimisha Trust,Promoter,Direct,27-Dec-2017,"1,030"
Nirav Trust,Promoter,Direct,26-Dec-2017,"1,594,674"
Rajiv Trust,Promoter,Direct,26-Dec-2017,"95,000"
Sanjiv Trust,Promoter,Direct,26-Dec-2017,"7,250"
Bajaj (Shekhar P),Director (Non-Executive),Direct,10-Sep-2015,"417,910"
Bajaj (Shekar) HUF,UNREPORTED,Direct,30-May-2016,"1,800"
"Bajaj Allianz Life Insurance Co., Ltd.",Institution- Corporation,Direct,11-Sep-2015,"125,000"
Bajaj (Ramkrishna) HUF,UNREPORTED,Direct,10-Sep-2015,"417,060"
Bajaj (Pooja),Promoter,Direct,24-Jun-2015,"149,500"
Bajaj (Madhur) HUF,UNREPORTED,Direct,17-Mar-2015,"63,840"
Vaijayanthi (Madhur Kothandaraman),UNREPORTED,Direct,13-Mar-2015,250
Life Insurance Corporation of India,Institution- Corporation,Direct,17-Jul-2014,"153,110"
Bajaj (Niraj) HUF,UNREPORTED,Direct,26-Mar-2014,"959,500"
Bajaj Auto Employees Welfare Funds,Promoter,Direct,27-Dec-2013,"8,000"
Rishab Trading Company,Institution- Corporation,Direct,27-Dec-2013,"8,000"
Bajaj (Rahul) HUF,UNREPORTED,Direct,27-Sep-2011,"435,000"
Rahul Bajaj A/c Anant Trust,Institution- Corporation,Direct,07-Feb-2013,"148,240"
Mehta (Nandini D),UNREPORTED,Direct,24-Aug-2012,"4,200"
Bajaj (Ruparani),Promoter,Direct,23-Sep-2011,"303,053"
Minal Trust,Institution- Corporation,Direct,28-Mar-2012,"24,000"
