,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,0,0,6,6
Avg. Estimate,N/A,N/A,388.72B,479.32B
Low estimate,N/A,N/A,351.92B,401.19B
High estimate,N/A,N/A,428.93B,526.19B
Year ago EPS,41,47,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,N/A,N/A,2.4B,388.72B
Sales growth (year/est),N/A,N/A,"16,112.80%",23.30%
Earnings history,30/9/2017,31/12/2017,30/6/2018,30/9/2018
Est. EPS,44.29,50.99,55.93,56.35
Actual EPS,41,47,51.9,44.2
Difference,-3.29,-3.99,-4.03,-12.15
Surprise %,-7.40%,-7.80%,-7.20%,-21.60%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,62.17,58.24,217.07,271.99
30 days ago,62.17,58.24,217.07,271.99
60 days ago,62.17,58.24,217.07,271.99
90 days ago,62.17,58.24,217.07,271.99
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,BAJAJFINSV.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),25.70%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
