,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"45,42,43,000","45,42,43,000","37,69,93,300","30,24,12,200","24,28,80,400"
Interest expense,"9,33,85,300","9,33,85,300","6,54,00,300","4,06,97,600","3,26,74,300"
Total other income/expenses net,"19,18,600","19,18,600","15,24,500","4,52,01,500","4,05,34,700"
Income before tax,"8,30,16,600","8,30,16,600","8,15,47,400","6,31,01,700","4,92,45,300"
Income tax expense,"2,30,80,600","2,30,80,600","2,78,08,900","1,97,02,900","1,47,48,200"
Income from continuing operations,"5,99,36,000","5,99,36,000","5,37,38,500","4,33,98,800","3,44,97,100"
Net income,"3,36,91,300","3,36,91,300","3,21,90,400","2,74,14,400","2,26,19,200"
Net income available to common shareholders,"3,36,91,300","3,36,91,300","3,21,90,400","2,74,14,400","2,26,19,200"
Basic EPS,-,-,202.30,172.30,142.10
Diluted EPS,-,-,202.30,172.30,142.10
Basic average shares,-,-,"1,59,136","1,59,133","1,59,132"
Diluted average shares,-,-,"1,59,159","1,59,133","1,59,132"
