,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,344.85,355.11,337.97,352.80,347.60,"84,596"
08-Apr-2010,331.09,348.53,331.09,343.81,338.74,"1,30,302"
07-Apr-2010,335.02,340.72,334.04,336.30,331.33,"15,795"
06-Apr-2010,338.95,340.92,334.09,336.89,331.92,"19,252"
05-Apr-2010,334.04,342.39,334.04,340.47,335.45,"25,630"
01-Apr-2010,315.71,341.90,315.71,338.85,333.85,"63,005"
31-Mar-2010,332.07,336.00,328.39,330.26,325.38,"40,012"
30-Mar-2010,318.32,335.90,317.29,330.55,325.67,"1,22,311"
29-Mar-2010,315.67,322.44,314.39,318.61,313.91,"38,453"
26-Mar-2010,311.44,329.13,311.44,316.40,311.73,"3,50,323"
25-Mar-2010,309.67,319.79,309.48,311.44,306.84,"19,03,685"
23-Mar-2010,314.24,320.28,312.42,313.21,308.59,"94,788"
22-Mar-2010,319.74,323.23,310.75,312.33,307.72,"82,987"
19-Mar-2010,322.15,324.51,321.76,324.02,319.23,"3,22,896"
18-Mar-2010,327.06,327.16,320.77,323.67,318.90,"2,95,484"
17-Mar-2010,324.65,327.85,322.35,324.11,319.33,"4,52,027"
16-Mar-2010,321.27,330.11,321.27,324.75,319.96,"36,336"
15-Mar-2010,326.18,326.92,322.35,324.16,319.38,"70,625"
12-Mar-2010,330.11,336.89,319.50,325.00,320.20,"2,37,137"
11-Mar-2010,330.26,342.78,330.26,332.22,327.32,"84,808"
10-Mar-2010,331.19,342.78,329.27,338.65,333.66,"2,12,034"
09-Mar-2010,329.13,337.87,328.19,331.48,326.59,"39,812"
08-Mar-2010,336.98,337.97,327.16,328.34,323.49,"34,813"
05-Mar-2010,331.34,338.41,329.42,331.14,326.25,"46,320"
04-Mar-2010,339.93,341.85,329.47,332.22,327.32,"37,911"
03-Mar-2010,340.92,346.81,334.04,335.61,330.66,"51,776"
02-Mar-2010,338.95,353.69,337.97,340.82,335.79,"2,43,216"
26-Feb-2010,325.74,347.79,325.74,341.01,335.98,"2,11,427"
25-Feb-2010,324.51,327.95,324.51,325.74,320.93,"16,500"
24-Feb-2010,326.18,327.16,322.25,324.51,319.72,"14,496"
23-Feb-2010,325.20,327.11,320.53,325.69,320.88,"28,215"
22-Feb-2010,329.08,331.09,323.33,324.26,319.48,"35,284"
19-Feb-2010,324.21,327.11,321.76,324.26,319.48,"14,041"
18-Feb-2010,320.48,330.99,320.48,324.95,320.15,"11,470"
17-Feb-2010,333.84,333.84,324.21,324.56,319.77,"49,005"
16-Feb-2010,340.92,340.92,319.79,326.23,321.41,"11,30,989"
15-Feb-2010,333.05,341.90,331.09,331.92,327.03,"19,401"
11-Feb-2010,336.98,344.85,329.47,331.83,326.93,"24,037"
10-Feb-2010,351.72,351.72,331.97,335.12,330.17,"16,880"
09-Feb-2010,353.20,353.20,341.80,342.49,337.43,"49,920"
08-Feb-2010,338.95,355.31,338.02,353.20,347.98,"1,06,096"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,314.39,343.81,314.39,340.77,335.74,"61,001"
04-Feb-2010,334.04,336.49,331.09,333.89,328.96,"3,19,425"
03-Feb-2010,318.32,335.02,318.32,332.27,327.37,"1,39,310"
02-Feb-2010,329.08,333.79,320.43,324.56,319.77,"1,10,831"
01-Feb-2010,313.01,335.02,309.48,324.21,319.43,"3,24,127"
29-Jan-2010,312.28,316.84,304.91,313.01,308.39,"39,901"
28-Jan-2010,333.45,333.45,310.46,315.27,310.62,"37,236"
27-Jan-2010,334.04,336.98,316.11,320.09,315.36,"1,21,679"
25-Jan-2010,343.76,344.80,334.04,337.43,332.45,"62,429"
22-Jan-2010,332.66,347.25,329.17,342.39,337.33,"69,052"
21-Jan-2010,342.88,348.77,338.95,341.85,336.80,"68,653"
20-Jan-2010,345.83,349.86,341.45,345.97,340.87,"48,859"
19-Jan-2010,340.92,350.25,340.92,346.56,341.45,"1,05,913"
18-Jan-2010,330.84,341.80,330.84,340.33,335.30,"35,950"
15-Jan-2010,334.97,344.85,332.37,337.52,332.54,"71,892"
14-Jan-2010,336.00,339.93,333.05,334.18,329.25,"61,632"
13-Jan-2010,334.04,334.92,328.24,333.50,328.58,"94,973"
12-Jan-2010,348.68,350.64,335.02,337.08,332.11,"1,21,663"
11-Jan-2010,348.38,349.27,341.41,345.39,340.29,"1,38,107"
08-Jan-2010,346.81,351.97,341.90,343.86,338.79,"53,882"
07-Jan-2010,345.83,350.69,340.92,342.88,337.82,"47,778"
06-Jan-2010,353.69,355.65,343.96,345.58,340.48,"69,105"
05-Jan-2010,358.60,365.18,350.79,353.93,348.71,"1,95,573"
04-Jan-2010,343.32,354.92,340.18,353.15,347.93,"2,46,992"
19-Jul-2010,410.67,420.98,403.94,417.94,412.76,"1,88,404"
16-Jul-2010,408.70,412.63,406.98,408.41,403.34,"74,214"
15-Jul-2010,411.16,416.56,407.72,408.95,403.88,"80,689"
14-Jul-2010,418.14,422.46,411.65,413.91,408.78,"1,00,558"
13-Jul-2010,425.36,425.36,416.56,417.79,412.61,"78,500"
12-Jul-2010,407.92,432.28,407.92,422.70,417.46,"3,62,025"
09-Jul-2010,418.43,419.90,408.70,410.72,405.62,"1,04,605"
08-Jul-2010,422.46,426.39,414.94,416.17,411.01,"1,02,003"
07-Jul-2010,421.28,423.44,418.53,419.61,413.42,"80,506"
06-Jul-2010,422.41,423.93,415.73,417.89,411.72,"63,183"
05-Jul-2010,423.93,427.37,417.94,421.04,414.82,"1,05,645"
02-Jul-2010,429.34,432.77,417.64,423.20,416.95,"1,01,207"
01-Jul-2010,430.32,437.69,423.44,425.11,418.84,"1,50,132"
30-Jun-2010,427.27,432.28,416.96,429.48,423.15,"2,92,887"
29-Jun-2010,403.15,437.20,403.15,431.89,425.52,"10,64,949"
28-Jun-2010,417.25,420.49,408.70,418.28,412.11,"1,50,468"
25-Jun-2010,412.63,419.95,410.18,414.70,408.58,"2,41,481"
24-Jun-2010,407.87,417.40,407.87,411.75,405.67,"1,97,496"
23-Jun-2010,405.76,418.43,404.77,410.87,404.80,"2,37,468"
22-Jun-2010,398.00,416.37,398.00,409.88,403.83,"2,91,427"
21-Jun-2010,399.86,421.28,399.86,409.93,403.88,"10,95,685"
18-Jun-2010,427.37,427.37,396.82,396.82,390.96,"24,68,592"
17-Jun-2010,444.07,453.85,439.06,440.88,434.37,"1,04,800"
16-Jun-2010,448.00,456.85,444.17,446.87,440.28,"1,21,841"
15-Jun-2010,456.85,456.85,444.76,445.99,439.41,"1,32,929"
14-Jun-2010,459.79,462.84,448.99,453.46,446.76,"1,89,596"
11-Jun-2010,462.25,465.49,453.41,455.91,449.18,"2,63,605"
10-Jun-2010,463.72,464.21,452.38,458.32,451.55,"5,63,536"
09-Jun-2010,484.06,484.06,452.92,458.76,451.99,"20,04,694"
08-Jun-2010,455.13,456.85,433.27,440.05,433.55,"1,83,811"
07-Jun-2010,456.85,458.81,443.09,450.61,443.96,"1,24,850"
04-Jun-2010,469.32,479.44,459.06,461.66,454.85,"2,48,055"
03-Jun-2010,463.58,478.85,456.35,474.97,467.96,"4,73,907"
02-Jun-2010,451.83,458.81,448.15,454.34,447.63,"2,69,397"
01-Jun-2010,431.11,458.61,431.11,448.15,441.54,"6,09,448"
31-May-2010,450.51,450.51,429.34,433.27,426.87,"3,34,058"
28-May-2010,444.07,446.04,432.87,435.72,429.29,"3,07,252"
27-May-2010,430.81,443.78,428.45,438.13,431.66,"6,13,105"
26-May-2010,431.30,438.08,417.74,433.41,427.02,"8,86,674"
25-May-2010,403.79,431.01,397.90,417.25,411.09,"15,10,653"
24-May-2010,459.40,461.02,415.14,421.48,415.26,"7,34,000"
21-May-2010,437.20,457.34,422.85,449.33,442.70,"13,87,835"
20-May-2010,465.69,481.41,440.14,444.02,437.47,"7,85,730"
19-May-2010,473.06,493.00,451.15,459.60,452.81,"18,54,826"
18-May-2010,525.62,535.93,473.55,477.77,470.72,"17,03,381"
17-May-2010,520.71,548.02,512.75,522.67,514.96,"27,62,816"
14-May-2010,499.88,539.37,483.67,527.63,519.85,"57,63,337"
13-May-2010,466.67,525.13,464.70,502.87,495.45,"53,28,301"
12-May-2010,429.34,467.65,426.44,460.48,453.68,"21,97,641"
11-May-2010,436.21,450.46,419.66,426.09,419.81,"13,32,126"
10-May-2010,398.88,444.37,394.07,431.06,424.69,"17,07,529"
07-May-2010,393.97,398.83,385.13,391.02,385.25,"6,21,809"
06-May-2010,393.97,418.53,393.97,405.66,399.67,"32,93,820"
05-May-2010,349.27,399.81,319.30,391.12,385.35,"39,61,662"
04-May-2010,338.95,343.86,332.07,333.15,328.24,"41,391"
03-May-2010,338.95,343.81,336.30,339.15,334.14,"34,082"
30-Apr-2010,334.04,340.92,333.55,337.92,332.93,"1,37,326"
29-Apr-2010,318.32,335.02,318.32,333.25,328.33,"1,33,947"
28-Apr-2010,314.09,325.88,310.75,321.22,316.48,"8,73,562"
27-Apr-2010,323.23,323.23,316.89,317.92,313.23,"30,287"
26-Apr-2010,314.78,321.95,312.91,321.27,316.52,"83,060"
23-Apr-2010,316.35,318.32,313.50,316.30,311.64,"38,093"
22-Apr-2010,312.42,320.58,312.42,315.76,311.10,"75,504"
21-Apr-2010,309.48,318.46,307.61,313.16,308.54,"2,26,280"
20-Apr-2010,304.56,309.48,301.62,307.86,303.31,"1,35,263"
19-Apr-2010,299.65,305.05,294.74,300.49,296.05,"1,60,722"
16-Apr-2010,321.22,325.00,299.95,302.55,298.08,"4,56,191"
15-Apr-2010,346.91,353.69,316.35,321.22,316.48,"14,14,177"
13-Apr-2010,353.69,362.43,344.85,346.47,341.35,"50,182"
12-Apr-2010,346.81,362.53,340.92,353.29,348.08,"1,05,883"
27-Oct-2010,471.78,471.78,461.76,465.44,459.67,"29,364"
26-Oct-2010,481.41,481.41,467.06,469.81,463.99,"34,579"
25-Oct-2010,479.39,479.44,475.51,477.28,471.36,"28,496"
22-Oct-2010,483.17,486.17,471.73,474.73,468.84,"32,219"
21-Oct-2010,487.30,487.30,476.49,482.39,476.41,"38,394"
20-Oct-2010,496.68,498.50,473.55,479.74,473.79,"57,646"
19-Oct-2010,500.07,507.93,488.33,491.48,485.38,"79,157"
18-Oct-2010,491.23,513.73,486.32,497.52,491.35,"1,81,921"
15-Oct-2010,489.32,500.76,488.28,490.54,484.46,"39,174"
14-Oct-2010,498.01,500.02,491.23,493.15,487.03,"28,789"
13-Oct-2010,493.20,505.82,488.28,498.01,491.83,"82,346"
12-Oct-2010,496.14,500.96,465.69,491.04,484.94,"53,226"
11-Oct-2010,500.07,509.41,493.30,495.70,489.55,"68,845"
08-Oct-2010,508.72,509.80,493.20,496.59,490.43,"70,205"
