,Most-recent transaction,Date,Shares owned as of transaction date
Bajaj (Kiran),Gift,29-Jun-2020,"983,325"
Bajaj (Kumud),Acquisition,26-Feb-2020,"398,234"
Bajaj (Rajivnayan),Other,25-Jun-2020,"70,918"
Bajaj (Rishabnayan),Other,25-Jun-2020,"7,600"
Bajaj (Vanraj),Gift,29-Jun-2020,"8,400"
Bajaj Finserv ESOP Trust- BAGIC,Acquisition,19-Mar-2020,"299,552"
Bajaj Sevashram Ltd,Acquisition,16-Mar-2020,"2,382,906"
Dave (Arun Amit),Other,18-Mar-2020,204
Jaipuria (Nimisha),Sale,26-Feb-2020,"288,273"
Maharashtra Scooters Ltd,Acquisition,19-Mar-2020,"2,014,978"
