Insider,Insider Type,Type,Date,Shares
Bajaj (Rajivnayan),Promoter,Direct,18-Oct-2012,300
Bajaj (Rishabnayan),Promoter,Direct,18-Oct-2012,900
Bajaj Finserv ESOP Trust- BAGIC,Institution- Corporation,Direct,02-Aug-2019,"3,149"
Maharashtra Scooters Ltd,Promoter,Direct,19-Mar-2020,"13,224,806"
Dave (Arun Amit),UNREPORTED,Direct,18-Mar-2020,204
Bajaj Sevashram Ltd,UNREPORTED,Direct,16-Mar-2020,"27,300"
Jaipuria (Nimisha),Promoter,Direct,28-Jan-2020,"121,788"
Bajaj (Kumud),Promoter,Direct,18-Oct-2012,"48,500"
Bajaj (Neelima Swamy),Promoter,Direct,24-Nov-2011,"160,000"
Kalani (Gaurav),UNREPORTED,Direct,03-Feb-2020,500
Bajaj (Madhur),Vice Chairman,Direct,24-Sep-2010,"320,000"
Aryaman Trust,Institution- Corporation,Direct,18-Oct-2012,22
Bajaj (Deepa),Promoter,Direct,18-Oct-2012,"1,100"
Bajaj (Rahulkumar),Non Executive Chairman,Direct,24-Sep-2010,"460,000"
Bajaj (Sanjali),Promoter,Direct,18-Oct-2012,"1,000"
Bajaj (Shefali),Promoter,Direct,18-Oct-2012,"1,000"
Kejriwal (Sunaina),Promoter,Direct,18-Oct-2012,"21,400"
Niravnayan Trust,Institution- Corporation,Direct,18-Oct-2012,"26,300"
Rishab Trust,Institution- Corporation,Direct,18-Oct-2012,100
Siddhant Trust,Institution- Corporation,Direct,18-Oct-2012,200
Bajaj (Niraj),Promoter,Direct,23-Nov-2011,"450,000"
Bajaj (Sheetal),Promoter,Direct,24-Dec-2019,"27,000"
Bajaj (Siddhantnayan),Promoter,Direct,18-Oct-2012,800
Bajaj (Sanjivnayan),Managing Director,Direct,23-Nov-2011,"390,000"
Kevin (DSA),Divisional Officer,Direct,19-Jun-2018,200
Bajaj (Shekhar P),Promoter,Direct,10-Sep-2015,"229,430"
Bajaj Holdings & Investment Ltd,UNREPORTED,Direct,13-Mar-2018,"58,960"
Bajaj (Kiran),Promoter,Direct,27-Feb-2012,"105,000"
Bajaj (Minal),Promoter,Direct,23-Nov-2011,"45,000"
Bajaj (Anant),Promoter,Direct,24-Nov-2011,"115,000"
Bajaj (Geetika Shekhar),Promoter,Direct,24-Nov-2011,"145,000"
Jain (Suman),Promoter,Direct,18-Oct-2012,"52,400"
Bajaj (Shekhar) HUF,UNREPORTED,Direct,30-May-2016,"89,000"
Bajaj (Ramkrisna) HUF,UNREPORTED,Direct,18-Oct-2012,"20,900"
Rishab Trading Company,Institution- Corporation,Direct,18-Oct-2012,400
Bajaj (Niraj) HUF,UNREPORTED,Direct,23-Nov-2011,"450,000"
Bajaj (Rahul) HUF,UNREPORTED,Direct,24-Sep-2010,"160,000"
Rahul Bajaj A/c Anant Trust,Institution- Corporation,Direct,18-Oct-2012,"32,500"
Minal Trust,Institution- Corporation,Direct,18-Oct-2012,"1,200"
Bajaj Auto Employees Welfare Funds,Promoter,Direct,05-Nov-2012,"91,456"
Bajaj trading Company,Institution- Corporation,Direct,18-Oct-2012,"5,400"
Deepa Trust,Institution- Corporation,Direct,18-Oct-2012,100
Geetika Trust,Institution- Corporation,Direct,18-Oct-2012,100
Kriti Trust,Institution- Corporation,Direct,18-Oct-2012,"3,300"
Nimisha Trust,Institution- Corporation,Direct,18-Oct-2012,200
Sanjali Trust,Institution- Corporation,Direct,18-Oct-2012,100
Swamy (Neelima Bajaj),Promoter,Direct,18-Oct-2012,"27,800"
Bajaj (Kriti),Promoter,Direct,23-Nov-2011,"28,000"
Bajaj (Nimisha),Promoter,Direct,24-Nov-2011,"145,000"
Bajaj (Niravnayan),Promoter,Direct,23-Nov-2011,"73,000"
Bajaj (Ruparani),Promoter,Direct,18-Oct-2012,"9,500"
Bajaj (Raparani),UNREPORTED,Direct,24-Sep-2010,"230,000"
