,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,32.84,33.13,32.07,32.71,15.73,"1,72,276"
08-Apr-2010,32.20,32.75,32.20,32.46,15.61,"2,72,916"
07-Apr-2010,32.52,32.74,32.15,32.63,15.69,"1,24,416"
06-Apr-2010,32.55,32.82,31.63,32.20,15.48,"79,139"
05-Apr-2010,31.75,32.35,31.35,32.03,15.41,"1,37,292"
01-Apr-2010,30.80,31.77,30.80,31.64,15.22,"1,30,087"
31-Mar-2010,31.48,31.58,30.76,31.12,14.97,"60,540"
30-Mar-2010,30.90,31.87,30.77,31.43,15.11,"1,65,184"
29-Mar-2010,30.65,31.95,30.31,30.64,14.74,"2,54,863"
26-Mar-2010,29.73,31.16,29.58,30.44,14.64,"4,39,325"
25-Mar-2010,29.63,29.63,29.44,29.60,14.23,"93,353"
23-Mar-2010,30.70,30.70,29.64,29.80,14.33,"1,01,062"
22-Mar-2010,29.73,30.51,29.73,30.18,14.52,"1,21,431"
19-Mar-2010,30.31,30.85,30.22,30.23,14.54,"43,002"
18-Mar-2010,31.58,31.58,30.22,30.36,14.60,"35,972"
17-Mar-2010,30.99,30.99,30.15,30.44,14.64,"28,335"
16-Mar-2010,30.38,30.87,29.98,30.29,14.57,"34,130"
15-Mar-2010,30.63,31.21,30.12,30.40,14.62,"46,306"
12-Mar-2010,30.60,31.33,30.31,31.07,14.94,"1,27,977"
11-Mar-2010,31.15,31.44,30.12,30.38,14.61,"1,41,892"
10-Mar-2010,31.38,31.66,30.91,31.21,15.01,"69,516"
09-Mar-2010,31.46,31.58,30.65,31.33,15.07,"1,72,214"
08-Mar-2010,31.77,32.06,31.10,31.17,14.99,"97,151"
05-Mar-2010,31.56,31.58,30.62,31.31,15.06,"1,14,586"
04-Mar-2010,31.20,31.51,30.90,31.09,14.95,"1,49,849"
03-Mar-2010,31.58,31.67,30.60,31.21,15.01,"3,35,721"
02-Mar-2010,29.34,31.46,29.34,30.57,14.70,"6,50,846"
26-Feb-2010,27.47,30.60,27.47,29.18,14.03,"13,28,309"
25-Feb-2010,28.47,29.05,27.51,27.70,13.32,"2,47,154"
24-Feb-2010,28.82,28.86,28.19,28.36,13.64,"52,337"
23-Feb-2010,28.48,29.05,28.48,28.92,13.91,"66,562"
22-Feb-2010,30.12,30.12,28.61,28.72,13.81,"1,23,891"
19-Feb-2010,29.06,29.73,28.67,28.92,13.91,"2,96,949"
