,Open,High,Low,Close*,Adj. close**,Volume
10-Apr-2018,349.87,355.06,343.86,354.00,348.79,"1,30,36,633"
09-Apr-2018,351.57,355.06,345.83,349.18,344.04,"1,30,51,114"
06-Apr-2018,361.95,364.06,351.75,353.45,348.25,"92,51,871"
05-Apr-2018,365.53,368.10,359.14,361.67,356.34,"95,67,509"
04-Apr-2018,370.94,371.68,360.80,362.73,357.38,"39,50,938"
03-Apr-2018,359.24,370.94,359.24,369.29,363.85,"49,65,941"
02-Apr-2018,366.81,368.88,358.55,362.77,357.43,"54,31,320"
28-Mar-2018,377.37,379.25,363.05,366.08,360.69,"1,12,02,944"
27-Mar-2018,387.47,387.84,374.80,379.39,373.80,"66,22,278"
26-Mar-2018,378.29,388.39,373.33,387.01,381.31,"47,94,754"
23-Mar-2018,378.89,384.67,372.05,378.93,373.35,"55,91,226"
22-Mar-2018,380.13,385.86,378.38,381.60,375.98,"52,82,975"
21-Mar-2018,370.03,385.77,369.29,383.98,378.33,"90,95,642"
20-Mar-2018,366.35,370.48,360.57,367.64,362.23,"81,28,078"
19-Mar-2018,383.80,387.10,364.24,366.95,361.55,"58,90,008"
16-Mar-2018,381.27,391.83,379.80,382.65,377.02,"78,82,372"
15-Mar-2018,388.02,389.58,383.11,386.05,380.36,"35,69,191"
14-Mar-2018,391.05,391.05,384.30,388.02,382.31,"41,17,215"
13-Mar-2018,388.39,394.63,385.77,391.42,385.66,"56,07,493"
12-Mar-2018,371.86,389.77,370.94,387.06,381.36,"82,32,597"
09-Mar-2018,371.77,375.08,365.02,369.24,363.81,"49,99,488"
08-Mar-2018,377.83,380.22,362.68,368.46,363.04,"85,04,409"
07-Mar-2018,377.05,382.24,359.24,370.21,364.76,"1,18,42,304"
06-Mar-2018,389.03,392.66,377.00,380.03,374.44,"41,27,247"
05-Mar-2018,392.02,392.15,383.43,386.97,381.27,"37,92,452"
01-Mar-2018,393.94,400.88,390.91,392.75,386.97,"57,29,435"
28-Feb-2018,394.82,398.03,391.05,393.48,387.69,"2,54,42,533"
27-Feb-2018,390.96,397.25,389.58,395.28,389.46,"50,92,641"
26-Feb-2018,394.82,394.82,386.42,388.53,382.81,"39,96,707"
23-Feb-2018,384.72,393.16,382.97,390.73,384.98,"73,65,954"
22-Feb-2018,384.53,384.95,379.53,382.05,376.43,"1,05,71,033"
21-Feb-2018,385.64,387.93,383.20,385.31,379.64,"46,44,671"
20-Feb-2018,381.14,387.65,381.14,383.89,378.24,"78,74,566"
19-Feb-2018,385.50,385.64,370.21,380.45,374.84,"63,38,101"
16-Feb-2018,399.36,399.36,384.17,385.36,379.68,"43,22,656"
15-Feb-2018,403.36,403.36,391.79,393.85,388.05,"44,98,633"
14-Feb-2018,391.42,402.62,391.42,399.22,393.35,"1,02,75,281"
12-Feb-2018,394.63,395.73,386.87,389.67,383.94,"39,13,750"
09-Feb-2018,389.31,398.44,385.36,387.93,382.22,"52,94,559"
08-Feb-2018,398.49,400.33,390.23,394.63,388.82,"60,59,719"
07-Feb-2018,408.54,412.63,392.15,395.05,389.23,"1,07,80,172"
06-Feb-2018,385.64,411.11,384.30,403.22,397.28,"91,59,108"
05-Feb-2018,383.57,410.20,377.55,404.18,398.23,"1,48,02,436"
02-Feb-2018,401.98,404.46,381.78,387.79,382.08,"65,45,202"
01-Feb-2018,404.04,410.43,394.91,402.53,396.60,"79,47,503"
31-Jan-2018,406.29,409.51,400.69,403.86,397.91,"69,39,087"
30-Jan-2018,404.55,414.19,401.47,404.55,398.59,"1,04,82,710"
29-Jan-2018,407.67,409.88,399.45,404.55,396.02,"2,66,39,578"
25-Jan-2018,425.58,425.58,408.08,415.66,406.90,"2,02,00,906"
24-Jan-2018,447.06,447.15,417.91,421.90,413.01,"2,88,08,019"
23-Jan-2018,453.58,457.99,448.81,451.84,442.31,"60,37,482"
22-Jan-2018,455.05,457.71,448.07,450.55,441.05,"44,48,642"
19-Jan-2018,444.40,459.32,443.94,457.16,447.53,"97,82,631"
18-Jan-2018,460.01,467.17,452.66,454.50,444.92,"77,67,065"
17-Jan-2018,454.50,462.03,451.24,459.00,449.32,"66,98,572"
16-Jan-2018,466.43,471.62,451.19,456.56,446.94,"63,02,128"
15-Jan-2018,468.09,470.06,461.34,463.22,453.46,"27,82,331"
12-Jan-2018,473.78,475.02,463.22,467.86,458.00,"47,58,483"
11-Jan-2018,466.43,474.42,462.03,472.63,462.67,"57,96,686"
10-Jan-2018,472.86,475.16,463.04,464.97,455.17,"65,44,424"
09-Jan-2018,475.62,478.42,463.40,468.09,458.22,"74,02,279"
08-Jan-2018,490.45,490.45,472.13,474.10,464.11,"1,20,61,390"
05-Jan-2018,482.04,498.11,476.12,495.82,485.37,"78,61,243"
04-Jan-2018,476.54,484.06,472.40,480.21,470.09,"58,44,199"
03-Jan-2018,476.67,482.50,472.63,475.80,465.77,"62,16,553"
02-Jan-2018,489.30,489.30,469.97,474.29,464.29,"51,45,590"
01-Jan-2018,487.55,494.07,482.41,484.71,474.49,"47,19,333"
19-Jul-2018,311.26,319.07,309.98,316.77,312.11,"49,35,278"
18-Jul-2018,315.95,316.86,303.92,309.24,304.69,"52,24,127"
17-Jul-2018,318.61,322.01,312.18,314.52,309.89,"53,20,270"
16-Jul-2018,326.87,330.32,316.59,318.98,314.28,"35,51,727"
13-Jul-2018,334.22,335.00,328.11,329.58,324.73,"52,13,335"
12-Jul-2018,335.14,335.14,330.87,332.52,327.62,"22,56,842"
11-Jul-2018,338.72,338.72,331.37,332.38,327.49,"20,46,713"
10-Jul-2018,332.84,339.54,332.84,337.71,332.73,"18,44,717"
09-Jul-2018,336.05,336.42,332.01,332.47,327.58,"51,51,542"
06-Jul-2018,332.38,335.50,330.45,332.61,327.71,"78,61,231"
