,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"2,89,82,98,000","2,98,22,55,900","2,35,76,98,200","2,01,53,51,400"
Cost of revenue,"2,61,48,78,600","2,68,71,55,500","2,08,32,36,500","1,76,56,19,100"
Gross profit,"28,34,19,400","29,51,00,400","27,44,61,700","24,97,32,300"
Selling general and administrative,-,"1,36,37,400","1,32,47,200","87,11,100"
Total operating expenses,"16,95,14,500","17,09,95,000","14,84,52,900","12,81,23,600"
Operating income or loss,"11,39,04,900","12,41,05,400","12,60,08,800","12,16,08,700"
Interest expense,"2,13,58,900","1,55,17,300","1,09,09,400","66,36,800"
Income before tax,"11,57,22,700","12,90,53,700","14,17,35,200","13,69,96,100"
Income tax expense,"2,95,52,700","4,37,75,200","4,38,16,100","4,19,26,400"
Income from continuing operations,"8,61,70,000","8,52,78,500","9,79,19,100","9,50,69,700"
Net income,"7,81,47,700","7,80,23,000","9,00,86,300","8,72,09,400"
Net income available to common shareholders,"7,81,47,700","7,80,23,000","9,00,86,300","8,72,09,400"
Basic EPS,-,39.67,45.80,44.34
Diluted EPS,-,39.67,45.80,44.34
Basic average shares,-,"19,66,900","19,66,900","19,66,950"
Diluted average shares,-,"19,66,900","19,66,900","19,66,950"
EBITDA,-,"17,87,48,700","18,14,94,600","16,47,09,300"
