,Open,High,Low,Close*,Adj. close**,Volume
10-Apr-2018,"2,582.00","2,588.75","2,530.00","2,567.12","2,494.89","1,48,514"
09-Apr-2018,"2,591.00","2,603.50","2,568.27","2,581.45","2,508.82","1,25,078"
06-Apr-2018,"2,544.98","2,599.98","2,525.00","2,589.12","2,516.28","2,72,780"
05-Apr-2018,"2,512.50","2,537.35","2,505.50","2,533.93","2,462.64","2,04,054"
04-Apr-2018,"2,528.50","2,542.40","2,495.50","2,512.20","2,441.52","2,68,380"
03-Apr-2018,"2,559.00","2,559.50","2,522.30","2,549.90","2,478.16","2,14,838"
02-Apr-2018,"2,499.00","2,558.85","2,487.20","2,553.52","2,481.68","2,91,716"
28-Mar-2018,"2,482.40","2,502.00","2,452.10","2,485.30","2,415.38","5,26,032"
27-Mar-2018,"2,437.50","2,492.88","2,431.93","2,482.40","2,412.56","4,85,252"
26-Mar-2018,"2,420.02","2,435.00","2,419.48","2,429.00","2,360.66","1,92,504"
23-Mar-2018,"2,405.50","2,435.00","2,395.00","2,419.82","2,351.74","2,73,344"
22-Mar-2018,"2,427.50","2,435.00","2,410.25","2,419.10","2,351.04","1,77,046"
21-Mar-2018,"2,410.00","2,428.00","2,410.00","2,417.23","2,349.22","4,04,664"
20-Mar-2018,"2,410.00","2,417.50","2,403.00","2,412.52","2,344.64","3,23,252"
19-Mar-2018,"2,431.00","2,434.98","2,401.50","2,407.77","2,340.03","2,23,656"
16-Mar-2018,"2,434.98","2,447.50","2,420.00","2,430.30","2,361.92","3,03,842"
15-Mar-2018,"2,421.50","2,448.00","2,406.20","2,434.12","2,365.64","6,06,398"
14-Mar-2018,"2,425.12","2,427.50","2,403.00","2,411.88","2,344.02","2,08,792"
13-Mar-2018,"2,430.27","2,447.50","2,416.18","2,434.98","2,366.47","2,18,066"
12-Mar-2018,"2,437.50","2,447.50","2,410.38","2,433.40","2,364.94","1,46,012"
09-Mar-2018,"2,434.50","2,440.00","2,412.12","2,420.90","2,352.79","3,77,004"
08-Mar-2018,"2,452.75","2,458.75","2,411.12","2,424.20","2,356.00","2,68,074"
07-Mar-2018,"2,412.50","2,457.50","2,390.00","2,442.35","2,373.64","2,53,844"
06-Mar-2018,"2,447.50","2,467.45","2,393.52","2,412.60","2,344.72","1,56,356"
05-Mar-2018,"2,456.00","2,469.73","2,445.70","2,451.23","2,382.26","1,57,468"
01-Mar-2018,"2,492.50","2,499.98","2,460.00","2,471.93","2,402.38","1,05,070"
28-Feb-2018,"2,465.00","2,504.65","2,448.65","2,497.12","2,426.86","1,80,960"
27-Feb-2018,"2,487.50","2,532.90","2,455.25","2,476.12","2,406.45","4,27,034"
26-Feb-2018,"2,482.80","2,499.00","2,472.02","2,482.38","2,412.54","2,24,702"
23-Feb-2018,"2,450.00","2,489.50","2,437.55","2,480.95","2,411.15","3,05,410"
22-Feb-2018,"2,387.00","2,437.50","2,375.68","2,427.93","2,359.62","4,24,906"
21-Feb-2018,"2,387.50","2,393.45","2,369.80","2,384.88","2,317.78","2,46,902"
20-Feb-2018,"2,364.00","2,390.00","2,362.50","2,367.05","2,300.45","2,65,356"
19-Feb-2018,"2,390.75","2,390.75","2,347.95","2,366.65","2,300.06","89,962"
16-Feb-2018,"2,400.50","2,405.00","2,368.00","2,390.98","2,323.71","1,65,568"
15-Feb-2018,"2,393.90","2,408.18","2,350.77","2,377.88","2,310.98","1,65,652"
14-Feb-2018,"2,432.50","2,437.90","2,373.18","2,382.07","2,315.05","6,99,924"
12-Feb-2018,"2,335.00","2,395.00","2,335.00","2,386.25","2,319.11","4,29,514"
09-Feb-2018,"2,263.02","2,339.90","2,263.02","2,320.57","2,255.28","2,41,482"
08-Feb-2018,"2,274.93","2,327.00","2,257.75","2,314.00","2,248.90","1,99,332"
07-Feb-2018,"2,307.45","2,312.50","2,246.52","2,275.23","2,211.22","2,56,576"
06-Feb-2018,"2,250.00","2,310.25","2,200.00","2,265.23","2,201.50","2,74,268"
05-Feb-2018,"2,349.50","2,349.50","2,280.00","2,308.35","2,243.41","3,54,840"
02-Feb-2018,"2,337.75","2,370.00","2,288.50","2,363.23","2,296.74","3,74,368"
01-Feb-2018,"2,342.12","2,380.85","2,327.93","2,370.25","2,303.56","2,97,688"
31-Jan-2018,"2,345.00","2,356.20","2,323.60","2,342.07","2,276.18","1,43,774"
30-Jan-2018,"2,334.50","2,370.02","2,320.10","2,352.80","2,286.60","2,58,332"
29-Jan-2018,"2,320.00","2,355.00","2,303.50","2,346.05","2,280.04","2,20,442"
25-Jan-2018,"2,359.60","2,359.60","2,300.50","2,312.80","2,247.73","7,96,634"
24-Jan-2018,"2,368.20","2,377.57","2,340.52","2,359.62","2,293.23","1,60,134"
23-Jan-2018,"2,342.50","2,380.27","2,324.62","2,368.23","2,301.60","2,00,710"
22-Jan-2018,"2,337.50","2,376.00","2,335.00","2,353.68","2,287.46","1,61,802"
19-Jan-2018,"2,332.50","2,346.40","2,315.00","2,342.23","2,276.33","1,31,186"
18-Jan-2018,"2,379.85","2,389.40","2,303.00","2,315.75","2,250.60","3,55,846"
17-Jan-2018,"2,340.00","2,376.50","2,320.02","2,374.90","2,308.08","2,05,684"
16-Jan-2018,"2,362.00","2,386.50","2,300.50","2,338.68","2,272.88","3,36,198"
15-Jan-2018,"2,354.15","2,393.00","2,352.50","2,359.93","2,293.53","1,77,464"
12-Jan-2018,"2,367.50","2,384.50","2,330.68","2,354.15","2,287.92","2,57,274"
11-Jan-2018,"2,335.00","2,374.50","2,316.00","2,360.77","2,294.35","2,23,436"
10-Jan-2018,"2,328.43","2,354.50","2,315.75","2,337.38","2,271.62","3,88,758"
09-Jan-2018,"2,350.00","2,356.68","2,312.43","2,320.98","2,255.68","2,44,280"
08-Jan-2018,"2,330.00","2,355.50","2,313.82","2,346.88","2,280.85","1,76,830"
05-Jan-2018,"2,331.00","2,339.75","2,307.18","2,322.05","2,256.72","2,64,116"
04-Jan-2018,"2,329.50","2,344.45","2,305.07","2,313.20","2,248.12","3,34,700"
03-Jan-2018,"2,329.50","2,354.98","2,328.27","2,340.48","2,274.63","1,66,046"
02-Jan-2018,"2,369.12","2,371.12","2,322.00","2,328.02","2,262.52","1,76,798"
01-Jan-2018,"2,375.00","2,387.00","2,357.60","2,369.12","2,302.47","1,12,320"
19-Jul-2018,"3,182.50","3,198.20","3,141.62","3,186.15","3,096.51","1,97,248"
18-Jul-2018,"3,225.50","3,237.52","3,155.00","3,182.90","3,093.35","2,14,518"
17-Jul-2018,"3,272.50","3,287.10","3,207.27","3,213.45","3,123.04","2,17,354"
16-Jul-2018,"3,250.00","3,283.50","3,249.98","3,266.35","3,174.45","1,72,274"
13-Jul-2018,"3,195.00","3,250.00","3,195.00","3,237.55","3,146.46","2,20,690"
12-Jul-2018,"3,199.98","3,215.60","3,161.12","3,202.82","3,112.71","2,87,710"
11-Jul-2018,"3,204.00","3,204.48","3,154.00","3,178.88","3,089.44","2,94,276"
10-Jul-2018,"3,205.00","3,212.52","3,185.12","3,194.85","3,104.96","1,83,948"
09-Jul-2018,"3,155.50","3,203.57","3,150.00","3,191.43","3,101.64","1,23,170"
06-Jul-2018,"3,145.00","3,179.75","3,140.50","3,154.95","3,066.19","2,34,676"
05-Jul-2018,"3,174.50","3,184.50","3,147.10","3,153.65","3,064.92","1,44,032"
04-Jul-2018,"3,105.02","3,159.55","3,105.02","3,149.88","3,061.26","1,97,908"
03-Jul-2018,"3,129.80","3,129.80","3,093.02","3,108.27","3,020.82","1,87,682"
02-Jul-2018,"3,113.50","3,133.98","3,085.07","3,116.48","3,028.80","1,60,600"
29-Jun-2018,"3,075.00","3,128.98","3,056.15","3,106.88","3,019.47","3,15,222"
28-Jun-2018,"3,062.00","3,074.00","3,027.77","3,064.77","2,978.54","2,56,268"
27-Jun-2018,"3,043.00","3,064.50","3,024.00","3,043.80","2,958.16","2,73,890"
26-Jun-2018,"3,003.00","3,040.90","2,981.50","3,025.05","2,939.94","2,25,122"
25-Jun-2018,"2,987.00","3,024.95","2,980.00","2,988.70","2,904.61","1,29,686"
22-Jun-2018,"2,984.45","2,999.00","2,947.52","2,979.73","2,895.90","1,84,020"
21-Jun-2018,"3,000.00","3,014.98","2,975.00","2,981.35","2,897.47","1,51,972"
20-Jun-2018,"2,999.20","3,027.75","2,985.00","2,997.77","2,913.43","2,59,288"
19-Jun-2018,"3,030.00","3,041.48","2,961.02","2,988.27","2,904.20","1,90,784"
18-Jun-2018,"3,066.85","3,066.85","3,029.95","3,037.00","2,951.55","2,34,716"
15-Jun-2018,"3,007.50","3,089.73","2,997.65","3,068.30","2,981.97","3,58,540"
14-Jun-2018,"3,023.50","3,023.50","2,985.50","3,000.88","2,916.45","1,53,536"
13-Jun-2018,"2,967.55","3,040.00","2,967.55","3,008.57","2,923.92","1,98,276"
12-Jun-2018,"2,955.23","2,977.50","2,930.27","2,973.30","2,889.65","90,798"
11-Jun-2018,"2,963.50","2,982.12","2,950.50","2,955.23","2,872.08","1,38,474"
08-Jun-2018,"3,008.00","3,008.00","2,944.02","2,958.82","2,875.57","1,76,896"
07-Jun-2018,"2,955.00","3,008.50","2,944.05","2,996.65","2,912.34","2,44,240"
06-Jun-2018,"2,902.50","2,944.50","2,902.50","2,938.48","2,855.81","1,37,324"
05-Jun-2018,"2,877.77","2,920.00","2,877.77","2,905.90","2,824.14","1,46,208"
04-Jun-2018,"2,918.70","2,932.02","2,855.30","2,883.10","2,801.98","2,34,986"
01-Jun-2018,"2,987.00","2,987.00","2,897.10","2,906.23","2,824.46","2,44,766"
31-May-2018,"2,900.00","3,007.90","2,880.00","2,961.98","2,878.65","6,20,770"
30-May-2018,"2,876.70","2,909.77","2,868.00","2,894.93","2,813.48","2,20,698"
29-May-2018,"2,927.35","2,934.00","2,889.12","2,902.55","2,820.89","1,69,824"
28-May-2018,"2,939.38","2,939.38","2,896.50","2,921.48","2,839.28","1,36,482"
25-May-2018,"2,860.00","2,925.00","2,853.02","2,913.75","2,831.77","2,34,922"
24-May-2018,"2,851.68","2,895.95","2,841.00","2,859.10","2,778.66","2,63,790"
23-May-2018,"2,810.00","2,867.50","2,800.00","2,857.85","2,777.44","3,89,010"
22-May-2018,"2,774.73","2,815.00","2,760.15","2,802.20","2,723.36","2,23,362"
21-May-2018,"2,803.50","2,835.50","2,739.45","2,760.80","2,683.13","2,22,480"
18-May-2018,"2,754.50","2,820.00","2,740.12","2,798.52","2,719.78","3,06,418"
17-May-2018,"2,775.00","2,785.00","2,720.52","2,738.38","2,661.34","2,66,524"
16-May-2018,"2,715.00","2,792.50","2,667.82","2,771.10","2,693.14","4,78,002"
15-May-2018,"2,750.00","2,753.85","2,708.15","2,727.40","2,650.66","2,77,736"
14-May-2018,"2,755.00","2,755.00","2,706.60","2,732.05","2,655.18","80,048"
11-May-2018,"2,700.00","2,746.20","2,700.00","2,738.85","2,661.79","1,24,232"
10-May-2018,"2,700.23","2,713.07","2,672.75","2,693.23","2,617.46","2,00,292"
09-May-2018,"2,709.50","2,726.27","2,694.55","2,700.75","2,624.76","1,25,672"
08-May-2018,"2,745.00","2,750.00","2,691.62","2,722.35","2,645.76","1,07,506"
07-May-2018,"2,692.25","2,750.02","2,692.25","2,736.35","2,659.36","1,51,632"
04-May-2018,"2,675.00","2,713.62","2,650.50","2,692.25","2,616.50","2,25,300"
03-May-2018,"2,730.00","2,730.00","2,660.00","2,668.55","2,593.47","1,52,102"
02-May-2018,"2,772.50","2,782.75","2,704.40","2,712.52","2,636.20","1,44,158"
30-Apr-2018,"2,731.50","2,768.23","2,730.00","2,756.60","2,679.04","1,29,498"
27-Apr-2018,"2,695.00","2,747.93","2,689.18","2,730.38","2,653.56","1,76,864"
26-Apr-2018,"2,690.00","2,706.02","2,672.55","2,686.70","2,611.11","1,84,850"
25-Apr-2018,"2,650.00","2,726.25","2,638.62","2,687.65","2,612.03","1,90,562"
24-Apr-2018,"2,665.00","2,671.55","2,625.55","2,648.60","2,574.08","1,16,198"
23-Apr-2018,"2,675.00","2,682.40","2,652.23","2,656.52","2,581.78","1,81,690"
20-Apr-2018,"2,698.00","2,700.48","2,649.75","2,661.18","2,586.31","88,072"
19-Apr-2018,"2,683.50","2,709.62","2,673.07","2,697.90","2,621.99","1,29,052"
18-Apr-2018,"2,684.00","2,694.20","2,660.50","2,680.82","2,605.40","1,29,790"
17-Apr-2018,"2,668.50","2,710.23","2,657.12","2,671.05","2,595.90","3,92,794"
16-Apr-2018,"2,606.45","2,669.00","2,592.93","2,656.18","2,581.45","1,91,334"
13-Apr-2018,"2,610.00","2,618.07","2,579.30","2,604.45","2,531.17","2,93,690"
12-Apr-2018,"2,566.50","2,601.50","2,555.00","2,581.43","2,508.80","2,23,378"
26-Oct-2018,"2,669.73","2,694.50","2,628.60","2,660.25","2,615.95","2,67,434"
25-Oct-2018,"2,655.00","2,704.80","2,628.00","2,654.65","2,610.44","4,96,216"
24-Oct-2018,"2,762.75","2,792.00","2,655.00","2,680.07","2,635.44","4,84,590"
23-Oct-2018,"2,784.50","2,800.55","2,726.12","2,742.27","2,696.60","3,84,402"
22-Oct-2018,"2,808.50","2,811.25","2,775.50","2,790.07","2,743.61","1,90,686"
19-Oct-2018,"2,774.00","2,797.00","2,737.50","2,781.75","2,735.42","3,41,554"
17-Oct-2018,"2,879.50","2,888.82","2,752.55","2,770.52","2,724.38","3,78,956"
16-Oct-2018,"2,855.73","2,885.00","2,810.00","2,850.25","2,802.78","1,96,318"
15-Oct-2018,"2,892.00","2,892.48","2,810.00","2,835.80","2,788.57","3,88,950"
12-Oct-2018,"2,834.73","2,894.50","2,810.65","2,878.75","2,830.81","4,35,472"
11-Oct-2018,"2,762.50","2,831.23","2,745.30","2,785.10","2,738.72","2,74,782"
10-Oct-2018,"2,737.50","2,875.00","2,732.02","2,854.25","2,806.72","2,74,440"
09-Oct-2018,"2,824.00","2,839.45","2,723.07","2,755.62","2,709.73","6,38,166"
08-Oct-2018,"2,694.50","2,784.95","2,673.57","2,771.75","2,725.59","4,59,540"
05-Oct-2018,"2,807.50","2,807.50","2,690.07","2,723.85","2,678.49","5,18,324"
04-Oct-2018,"2,849.00","2,849.00","2,775.20","2,812.68","2,765.84","6,37,498"
03-Oct-2018,"2,912.00","2,917.32","2,851.00","2,869.70","2,821.91","2,67,012"
01-Oct-2018,"2,930.00","2,940.00","2,850.50","2,921.77","2,873.11","3,45,992"
28-Sep-2018,"2,897.00","2,945.00","2,767.10","2,911.75","2,863.26","8,86,018"
27-Sep-2018,"2,842.50","2,883.00","2,812.50","2,849.90","2,802.44","4,64,964"
26-Sep-2018,"2,935.00","2,937.50","2,825.00","2,840.95","2,793.64","3,81,034"
25-Sep-2018,"2,812.50","2,905.65","2,741.02","2,886.93","2,838.85","4,68,202"
24-Sep-2018,"2,918.75","2,918.75","2,781.25","2,801.00","2,754.35","3,91,462"
21-Sep-2018,"2,987.55","3,002.48","2,685.02","2,895.38","2,847.16","7,41,492"
19-Sep-2018,"3,064.00","3,064.00","2,965.00","2,979.95","2,930.32","2,66,474"
18-Sep-2018,"3,011.25","3,077.70","3,001.23","3,033.20","2,982.69","4,75,678"
17-Sep-2018,"3,054.00","3,054.00","2,988.27","3,010.88","2,960.74","2,95,048"
14-Sep-2018,"3,034.50","3,075.00","3,000.00","3,056.15","3,005.25","5,22,686"
12-Sep-2018,"2,990.00","3,030.00","2,955.18","3,007.75","2,957.66","4,39,116"
11-Sep-2018,"3,051.30","3,055.27","2,960.07","2,970.02","2,920.56","4,24,094"
10-Sep-2018,"3,120.00","3,122.50","3,042.50","3,047.00","2,996.26","1,71,172"
07-Sep-2018,"3,120.45","3,137.20","3,087.90","3,114.55","3,062.68","1,73,558"
06-Sep-2018,"3,099.98","3,159.48","3,060.57","3,097.23","3,045.65","3,65,564"
05-Sep-2018,"3,134.00","3,159.88","3,025.00","3,092.50","3,041.00","7,46,628"
04-Sep-2018,"3,268.20","3,304.32","3,149.85","3,172.02","3,119.20","4,08,846"
03-Sep-2018,"3,395.00","3,407.48","3,266.00","3,282.93","3,228.26","1,70,104"
31-Aug-2018,"3,345.30","3,390.00","3,325.02","3,368.38","3,312.29","2,19,378"
30-Aug-2018,"3,367.90","3,388.00","3,282.60","3,345.00","3,289.29","3,00,922"
29-Aug-2018,"3,425.50","3,425.50","3,363.10","3,367.90","3,311.81","1,89,950"
28-Aug-2018,"3,421.95","3,429.23","3,409.50","3,422.82","3,365.82","1,55,306"
27-Aug-2018,"3,393.30","3,430.00","3,390.75","3,402.48","3,345.82","1,30,788"
24-Aug-2018,"3,445.00","3,445.00","3,382.50","3,386.73","3,330.33","2,75,836"
23-Aug-2018,"3,459.00","3,467.18","3,415.85","3,450.07","3,392.61","3,25,100"
21-Aug-2018,"3,397.50","3,457.10","3,355.02","3,428.73","3,371.63","4,40,782"
20-Aug-2018,"3,334.50","3,393.40","3,325.00","3,385.70","3,329.32","2,89,424"
17-Aug-2018,"3,259.65","3,320.23","3,239.60","3,314.95","3,259.75","4,03,128"
16-Aug-2018,"3,234.50","3,260.00","3,213.05","3,247.07","3,193.00","2,95,894"
14-Aug-2018,"3,225.00","3,247.20","3,212.27","3,229.75","3,175.96","3,36,188"
13-Aug-2018,"3,171.50","3,225.50","3,156.50","3,215.32","3,161.77","3,24,370"
10-Aug-2018,"3,181.50","3,181.50","3,140.55","3,171.88","3,119.06","2,18,272"
09-Aug-2018,"3,160.00","3,179.27","3,140.27","3,167.70","3,114.95","2,61,426"
08-Aug-2018,"3,115.80","3,158.50","3,108.02","3,150.70","3,098.23","3,83,192"
07-Aug-2018,"3,167.00","3,183.27","3,085.00","3,100.20","3,048.57","6,99,322"
06-Aug-2018,"3,220.00","3,244.00","3,132.43","3,163.35","3,110.67","11,99,318"
03-Aug-2018,"3,260.00","3,261.00","3,184.10","3,196.35","3,143.12","3,44,500"
02-Aug-2018,"3,240.00","3,274.50","3,219.52","3,228.70","3,174.93","2,32,300"
01-Aug-2018,"3,290.00","3,312.50","3,212.48","3,244.93","3,190.89","3,07,076"
31-Jul-2018,"3,189.95","3,280.00","3,145.73","3,271.10","3,216.63","3,44,678"
30-Jul-2018,"3,212.50","3,212.50","3,102.82","3,165.73","3,113.01","3,87,246"
27-Jul-2018,"3,222.00","3,250.00","3,185.00","3,192.60","3,114.85","1,39,908"
26-Jul-2018,"3,244.50","3,247.27","3,207.27","3,225.15","3,134.41","2,15,952"
25-Jul-2018,"3,249.50","3,262.00","3,215.00","3,222.00","3,131.35","1,08,572"
24-Jul-2018,"3,232.50","3,247.50","3,199.00","3,233.23","3,142.26","1,58,028"
23-Jul-2018,"3,200.00","3,236.20","3,182.50","3,217.98","3,127.44","1,69,912"
04-Feb-2019,"3,251.35","3,280.40","3,228.20","3,266.00","3,211.61","1,40,277"
01-Feb-2019,"3,201.00","3,286.00","3,201.00","3,251.00","3,196.86","3,87,188"
31-Jan-2019,"3,231.95","3,231.95","3,189.20","3,197.70","3,144.45","2,55,273"
30-Jan-2019,"3,197.00","3,222.00","3,180.10","3,208.80","3,155.36","1,16,521"
29-Jan-2019,"3,197.00","3,197.00","3,152.50","3,180.05","3,127.09","1,79,979"
28-Jan-2019,"3,210.50","3,222.00","3,131.00","3,203.45","3,150.10","2,16,799"
