,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,5,4,38,38
Avg. Estimate,41.19B,40.89B,163.33B,183.89B
Low estimate,38.51B,39.92B,155.88B,170.36B
High estimate,42.59B,42.42B,172.64B,202.96B
Year ago EPS,4.97,3.18,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,38.34B,34.96B,147.51B,163.33B
Sales growth (year/est),7.40%,17.00%,10.70%,12.60%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,5.47,4.66,4.89,5.58
Actual EPS,4.97,3.18,5.59,4.67
Difference,-0.5,-1.48,0.7,-0.91
Surprise %,-9.10%,-31.80%,14.30%,-16.30%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,5.28,4.39,19.59,24.79
30 days ago,5.28,4.39,19.59,24.79
60 days ago,5.28,4.39,19.59,24.79
90 days ago,5.28,4.39,19.59,24.79
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,CIPLA.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),14.10%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
