,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"50,83,600","85,34,600","61,03,500"
Other short-term investments,"2,22,66,000","1,11,22,900","84,11,700"
Total cash,"2,73,49,600","1,96,57,500","1,45,15,200"
Net receivables,"4,15,07,200","3,10,24,500","2,49,74,200"
Inventory,"3,96,48,300","4,04,47,000","3,48,52,800"
Other current assets,"74,000","11,200","63,800"
Total current assets,"12,42,66,300","10,81,41,000","8,80,60,700"
"Gross property, plant and equipment","7,83,69,800","7,45,50,000","6,74,83,600"
Accumulated depreciation,"-2,39,15,800","-1,62,73,000","-1,02,04,400"
"Net property, plant and equipment","5,44,54,000","5,82,77,000","5,72,79,200"
Goodwill,"2,86,91,400","2,81,47,400","2,67,84,300"
Intangible assets,"1,90,81,500","2,28,80,300","2,74,86,300"
Other long-term assets,-,"26,100","7,500"
Total non-current assets,"11,53,66,900","12,04,64,100","12,14,71,300"
Total assets,"23,96,33,200","22,86,05,500","20,95,32,000"
Current debt,"48,61,700","43,59,400","46,81,200"
Accounts payable,"1,94,79,900","2,11,91,200","1,57,11,400"
Other current liabilities,"14,15,900","13,51,800","20,68,100"
Total current liabilities,"3,77,15,200","3,83,26,200","3,30,80,700"
Long-term debt,"3,83,00,700","3,66,21,100","3,64,53,600"
Deferred tax liabilities,"42,53,200","50,33,100","75,68,900"
Deferred revenues,"7,33,200","6,75,900","7,46,600"
Other long-term liabilities,"6,33,400","7,53,700","1,89,900"
Total non-current liabilities,"4,84,75,500","4,44,63,000","4,68,14,800"
Total liabilities,"8,61,90,700","8,27,89,200","7,98,95,500"
Common stock,"16,11,400","16,10,200","16,09,000"
Retained earnings,"10,25,13,100","8,99,87,800","7,77,41,100"
Total stockholders' equity,"15,01,22,800","14,22,91,900","12,52,54,200"
Total liabilities and stockholders' equity,"23,96,33,200","22,86,05,500","20,95,32,000"
