,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"1,66,77,700","1,52,77,000","1,41,05,300","1,00,63,900"
Depreciation & amortisation,-,"1,32,63,100","1,32,28,200","1,32,29,300"
Stock-based compensation,-,"2,41,100","4,12,800","2,21,900"
Change in working capital,-,"-1,06,35,400","-78,32,500","23,07,200"
Inventory,-,"10,38,400","-55,93,400","32,27,700"
Other working capital,-,"1,16,40,000","64,65,500","1,24,63,900"
Other non-cash items,-,"7,55,300","7,86,200","13,97,100"
Net cash provided by operating activities,-,"1,69,11,400","1,46,27,600","2,38,23,700"
"Investments in property, plant and equipment",-,"-52,71,400","-81,62,100","-1,13,59,800"
"Acquisitions, net",-,"-42,11,700","-1,42,700","-19,05,000"
Purchases of investments,-,"-89,98,800","-18,95,400","-9,48,05,300"
Sales/maturities of investments,-,"8,83,200","1,03,100","9,41,91,300"
Other investing activities,-,"-43,900","-9,67,900","47,400"
Net cash used for investing activities,-,"-1,66,86,800","-85,40,100","-1,31,26,500"
Net change in cash,-,"-32,62,500","22,32,700","-25,41,300"
Cash at beginning of period,-,"85,34,600","61,03,500","85,81,500"
Cash at end of period,-,"50,83,600","85,34,600","61,03,500"
Operating cash flow,-,"1,69,11,400","1,46,27,600","2,38,23,700"
Capital expenditure,-,"-52,71,400","-81,62,100","-1,13,59,800"
Free cash flow,-,"1,16,40,000","64,65,500","1,24,63,900"
