,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,337.00,338.00,332.10,335.40,316.68,"12,44,003"
08-Apr-2010,337.90,338.50,330.60,335.20,316.49,"10,67,527"
07-Apr-2010,340.00,340.95,333.55,336.30,317.53,"12,74,324"
06-Apr-2010,351.00,351.90,338.00,338.40,319.51,"12,74,158"
05-Apr-2010,340.00,351.35,340.00,349.95,330.42,"12,79,262"
01-Apr-2010,339.00,342.85,337.65,339.00,320.08,"7,38,013"
31-Mar-2010,339.00,341.55,334.00,338.35,319.47,"7,07,879"
30-Mar-2010,344.00,354.85,336.20,338.15,319.28,"6,74,617"
29-Mar-2010,340.00,348.40,335.70,342.55,323.43,"11,90,836"
26-Mar-2010,350.00,354.75,343.50,344.80,325.56,"12,59,723"
25-Mar-2010,342.00,351.80,339.00,348.80,329.33,"30,23,465"
23-Mar-2010,334.00,343.90,334.00,342.00,322.91,"24,92,255"
22-Mar-2010,326.00,338.30,326.00,333.35,314.75,"11,69,177"
19-Mar-2010,330.00,335.00,328.30,333.50,314.89,"10,63,228"
18-Mar-2010,334.00,336.00,327.55,329.25,310.88,"13,36,085"
17-Mar-2010,318.50,334.30,318.50,332.20,313.66,"24,91,427"
16-Mar-2010,314.50,319.90,314.50,317.80,300.06,"3,72,492"
15-Mar-2010,316.10,321.00,313.10,314.40,296.85,"3,70,546"
12-Mar-2010,319.05,321.30,315.10,316.00,298.37,"4,62,648"
11-Mar-2010,316.50,320.45,316.10,318.30,300.54,"10,38,962"
10-Mar-2010,315.00,320.00,314.50,316.20,298.55,"8,52,963"
09-Mar-2010,322.00,323.85,314.00,314.45,296.90,"9,15,288"
08-Mar-2010,321.50,324.90,318.05,321.60,303.65,"8,41,443"
05-Mar-2010,321.00,325.50,319.75,321.30,303.37,"13,65,247"
04-Mar-2010,320.55,321.90,315.20,318.25,300.49,"14,19,352"
03-Mar-2010,316.00,321.90,315.55,320.55,302.66,"11,30,913"
02-Mar-2010,311.00,319.95,311.00,315.30,297.70,"6,99,176"
26-Feb-2010,305.00,319.00,303.35,316.15,298.51,"10,66,163"
25-Feb-2010,304.50,309.80,301.80,303.55,286.61,"18,38,444"
24-Feb-2010,309.00,309.50,302.05,303.15,286.23,"11,28,945"
23-Feb-2010,312.55,312.95,305.35,309.90,292.61,"8,16,336"
22-Feb-2010,317.15,320.40,311.10,312.80,295.34,"7,56,896"
19-Feb-2010,318.00,319.00,313.10,316.15,298.51,"5,10,660"
18-Feb-2010,319.00,324.75,317.10,318.00,300.25,"5,65,791"
17-Feb-2010,323.00,325.90,317.05,318.80,301.01,"9,06,159"
16-Feb-2010,317.00,323.50,316.35,322.50,304.50,"7,70,797"
15-Feb-2010,313.00,317.95,312.00,316.70,299.03,"7,22,606"
11-Feb-2010,313.00,317.75,311.35,312.10,294.68,"5,36,129"
10-Feb-2010,323.00,325.60,311.25,312.25,294.82,"9,30,007"
09-Feb-2010,317.00,322.90,314.35,321.40,303.46,"8,37,918"
08-Feb-2010,311.50,318.00,304.45,316.75,299.07,"7,90,303"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,310.00,313.00,304.60,309.50,292.23,"13,80,008"
04-Feb-2010,320.50,320.70,310.60,313.15,295.67,"8,83,457"
03-Feb-2010,318.85,327.00,316.00,320.70,302.80,"6,68,662"
02-Feb-2010,326.05,329.90,311.25,313.75,296.24,"11,01,300"
01-Feb-2010,319.00,327.90,316.50,326.05,307.85,"9,64,639"
29-Jan-2010,318.10,323.75,303.00,317.20,299.50,"22,82,638"
28-Jan-2010,316.10,328.00,314.20,317.85,300.11,"24,73,512"
27-Jan-2010,326.00,326.85,310.00,313.50,296.00,"14,79,710"
25-Jan-2010,325.00,332.70,320.00,326.95,308.70,"5,27,544"
22-Jan-2010,335.80,337.00,323.35,330.30,311.87,"15,41,620"
21-Jan-2010,342.55,347.95,336.00,337.50,318.67,"7,64,069"
20-Jan-2010,343.00,347.70,341.40,342.55,323.43,"7,13,101"
19-Jan-2010,348.90,351.50,341.00,342.45,323.34,"7,17,425"
18-Jan-2010,349.50,358.40,345.10,348.05,328.63,"14,72,491"
15-Jan-2010,341.30,353.00,338.65,350.20,330.66,"26,37,077"
14-Jan-2010,344.45,345.00,340.00,340.80,321.78,"7,50,438"
13-Jan-2010,338.90,345.70,337.00,341.85,322.77,"9,57,815"
12-Jan-2010,342.30,344.40,336.55,339.65,320.70,"10,83,070"
11-Jan-2010,343.80,346.20,341.00,342.30,323.20,"7,41,426"
08-Jan-2010,345.00,346.50,340.20,341.10,322.06,"9,13,410"
07-Jan-2010,346.00,350.40,340.50,342.05,322.96,"15,55,841"
06-Jan-2010,332.00,348.90,330.35,344.90,325.65,"35,80,916"
05-Jan-2010,338.55,342.40,330.50,331.50,313.00,"16,64,976"
04-Jan-2010,338.00,339.50,336.00,337.55,318.71,"6,35,013"
19-Jul-2010,330.60,332.00,328.00,330.05,311.63,"3,69,844"
16-Jul-2010,328.00,331.20,326.30,330.60,312.15,"9,97,589"
15-Jul-2010,332.00,334.60,325.50,327.60,309.32,"7,71,358"
14-Jul-2010,337.00,341.00,328.10,329.75,311.35,"7,79,905"
13-Jul-2010,336.50,337.60,334.50,335.60,316.87,"3,78,885"
12-Jul-2010,336.00,338.50,330.20,335.90,317.15,"3,95,923"
09-Jul-2010,339.45,340.20,336.55,338.35,319.47,"3,75,238"
08-Jul-2010,336.00,340.75,335.70,339.45,320.51,"6,34,822"
07-Jul-2010,339.50,340.00,333.30,334.65,315.97,"7,18,631"
06-Jul-2010,340.00,341.80,338.00,338.90,319.99,"6,23,902"
05-Jul-2010,338.00,342.90,336.05,337.30,318.48,"7,11,437"
02-Jul-2010,334.50,338.80,334.50,336.80,318.00,"3,48,768"
01-Jul-2010,338.00,339.80,334.55,335.25,316.54,"4,17,953"
30-Jun-2010,338.00,341.70,334.35,338.50,319.61,"12,23,210"
29-Jun-2010,348.40,348.40,340.00,340.60,321.59,"4,91,114"
28-Jun-2010,348.00,352.00,344.30,348.40,328.96,"7,79,746"
25-Jun-2010,340.80,350.50,340.80,347.10,327.73,"15,15,760"
24-Jun-2010,340.00,342.80,337.05,341.30,322.25,"14,18,902"
23-Jun-2010,336.35,340.40,333.55,339.10,320.18,"10,27,595"
22-Jun-2010,340.00,340.00,335.40,336.35,317.58,"6,41,050"
21-Jun-2010,339.00,341.35,337.75,340.00,321.03,"6,91,196"
18-Jun-2010,335.15,339.00,331.25,338.10,319.23,"9,19,252"
17-Jun-2010,334.00,336.25,329.25,334.65,315.97,"7,34,646"
16-Jun-2010,340.20,344.95,330.55,333.40,314.79,"17,39,491"
15-Jun-2010,340.05,341.00,332.70,338.00,319.14,"7,18,333"
14-Jun-2010,338.50,341.65,335.70,340.30,321.31,"7,40,459"
11-Jun-2010,337.00,342.25,334.05,337.60,318.76,"14,75,551"
10-Jun-2010,324.40,337.00,324.15,335.45,316.73,"15,20,702"
09-Jun-2010,326.00,326.80,320.70,324.40,306.30,"6,05,746"
08-Jun-2010,324.00,327.40,321.00,324.05,305.97,"14,25,716"
07-Jun-2010,321.00,323.50,318.25,322.05,304.08,"15,07,894"
04-Jun-2010,323.90,326.70,323.90,325.10,306.96,"3,45,058"
03-Jun-2010,326.00,327.45,322.00,323.90,305.82,"10,18,702"
02-Jun-2010,323.00,327.95,322.20,324.75,306.63,"12,82,374"
01-Jun-2010,319.50,325.00,317.25,324.00,305.92,"22,48,169"
31-May-2010,321.00,325.45,317.10,319.00,301.20,"17,70,808"
28-May-2010,319.00,321.80,317.75,320.35,302.47,"10,28,008"
27-May-2010,320.00,320.90,314.45,317.00,299.31,"16,18,806"
26-May-2010,316.00,320.80,314.00,319.40,301.58,"9,10,166"
25-May-2010,313.50,315.40,309.65,312.90,295.44,"13,32,477"
24-May-2010,319.60,322.70,312.00,313.35,295.86,"9,04,502"
21-May-2010,313.00,324.00,311.75,316.60,298.93,"22,39,427"
20-May-2010,314.00,321.00,310.10,317.65,299.92,"15,31,012"
19-May-2010,309.70,314.90,309.00,312.35,294.92,"18,32,136"
18-May-2010,316.00,317.40,310.00,311.20,293.83,"9,03,395"
17-May-2010,312.00,316.00,306.10,314.95,297.37,"9,11,844"
14-May-2010,314.50,318.80,312.05,313.15,295.67,"6,97,682"
13-May-2010,320.10,320.10,314.10,314.65,297.09,"7,54,474"
12-May-2010,315.00,319.00,313.90,315.50,297.89,"12,99,609"
11-May-2010,318.00,324.50,312.05,313.90,296.38,"25,04,025"
10-May-2010,344.00,345.00,309.80,319.00,301.20,"43,12,483"
07-May-2010,343.00,353.85,339.85,342.05,322.96,"28,89,590"
06-May-2010,337.00,348.50,335.20,345.60,326.31,"25,42,312"
05-May-2010,331.00,339.80,328.00,335.20,316.49,"12,22,625"
04-May-2010,338.00,340.90,332.10,334.80,316.12,"6,83,342"
03-May-2010,345.00,345.00,336.55,337.65,318.81,"9,59,786"
30-Apr-2010,336.00,345.00,335.05,343.15,324.00,"20,69,080"
29-Apr-2010,338.00,340.45,331.10,332.70,314.13,"12,31,208"
28-Apr-2010,333.75,338.45,330.40,336.75,317.96,"11,31,512"
27-Apr-2010,327.00,336.25,327.00,335.05,316.35,"9,13,362"
26-Apr-2010,333.00,336.50,328.90,329.75,311.35,"4,77,958"
23-Apr-2010,333.00,333.90,329.15,331.60,313.09,"6,37,429"
22-Apr-2010,335.50,339.95,328.50,331.95,313.42,"13,24,223"
21-Apr-2010,332.00,336.80,329.10,334.25,315.60,"18,15,910"
20-Apr-2010,335.00,335.75,327.40,329.05,310.69,"15,80,997"
19-Apr-2010,329.00,335.00,322.10,333.10,314.51,"9,85,314"
16-Apr-2010,330.00,333.85,324.45,330.40,311.96,"9,68,600"
15-Apr-2010,337.00,337.90,327.65,330.20,311.77,"12,40,752"
13-Apr-2010,335.50,336.50,333.10,334.80,316.12,"10,17,904"
12-Apr-2010,335.40,336.00,329.10,334.00,315.36,"19,61,948"
27-Oct-2010,358.40,359.80,346.10,350.55,335.07,"14,84,467"
26-Oct-2010,355.00,358.95,351.15,355.45,339.75,"17,79,662"
25-Oct-2010,345.20,356.20,345.00,352.80,337.22,"31,77,781"
22-Oct-2010,348.70,348.70,341.05,344.35,329.14,"8,98,132"
21-Oct-2010,335.10,348.25,335.10,345.25,330.00,"31,60,737"
20-Oct-2010,332.00,336.00,331.50,333.00,318.30,"7,51,669"
19-Oct-2010,326.50,337.35,326.50,331.95,317.29,"22,00,748"
18-Oct-2010,326.15,334.00,323.50,326.00,311.60,"20,96,324"
15-Oct-2010,335.40,337.40,330.30,331.70,317.05,"11,20,792"
14-Oct-2010,340.00,342.60,332.60,334.40,319.63,"9,47,779"
13-Oct-2010,340.50,342.15,338.00,339.70,324.70,"13,34,489"
12-Oct-2010,339.90,341.50,334.90,339.85,324.84,"13,61,105"
11-Oct-2010,334.00,341.80,330.00,339.45,324.46,"12,85,119"
08-Oct-2010,332.20,340.30,332.15,337.20,322.31,"31,23,274"
07-Oct-2010,327.00,332.95,326.50,331.15,316.53,"18,41,608"
06-Oct-2010,333.00,333.75,325.85,326.90,312.47,"12,63,282"
05-Oct-2010,329.00,333.20,326.85,329.35,314.81,"12,59,245"
04-Oct-2010,325.00,329.40,324.05,328.05,313.56,"9,66,340"
01-Oct-2010,323.90,328.65,322.35,323.80,309.50,"19,18,195"
30-Sep-2010,319.00,323.75,314.05,322.35,308.12,"14,51,799"
29-Sep-2010,321.00,322.40,315.35,317.10,303.10,"14,89,638"
28-Sep-2010,321.00,323.25,319.95,320.85,306.68,"11,55,589"
27-Sep-2010,321.00,324.95,319.15,321.30,307.11,"9,97,138"
24-Sep-2010,315.00,318.55,314.25,316.15,302.19,"10,87,899"
23-Sep-2010,320.00,321.60,312.00,314.15,300.28,"14,79,627"
22-Sep-2010,322.00,324.00,318.35,319.75,305.63,"11,78,947"
21-Sep-2010,318.00,323.40,315.50,321.60,307.40,"25,16,779"
20-Sep-2010,311.00,316.50,310.20,315.95,302.00,"21,54,362"
17-Sep-2010,306.00,310.90,305.70,308.90,295.26,"21,81,230"
16-Sep-2010,307.55,311.15,304.55,305.50,292.01,"14,74,508"
15-Sep-2010,313.00,315.00,306.65,307.55,293.97,"27,50,483"
14-Sep-2010,306.70,314.50,306.05,310.45,296.74,"14,34,576"
13-Sep-2010,308.00,309.95,304.60,305.55,292.06,"14,11,122"
09-Sep-2010,311.10,312.95,304.55,306.50,292.97,"22,42,978"
08-Sep-2010,316.00,316.00,309.65,310.70,296.98,"8,54,618"
07-Sep-2010,311.00,315.40,309.10,312.95,299.13,"18,58,323"
06-Sep-2010,308.05,310.60,307.60,309.90,296.22,"10,45,581"
03-Sep-2010,306.00,309.40,305.00,307.05,293.49,"10,21,604"
02-Sep-2010,306.00,307.75,303.60,305.35,291.87,"10,14,271"
01-Sep-2010,304.00,306.40,303.25,305.40,291.91,"10,01,984"
31-Aug-2010,304.00,306.80,302.00,303.25,289.86,"15,07,141"
30-Aug-2010,305.00,306.50,303.10,304.60,291.15,"8,67,251"
27-Aug-2010,308.00,309.90,302.10,302.90,289.52,"10,97,558"
26-Aug-2010,307.00,310.00,305.35,307.65,294.07,"21,90,530"
25-Aug-2010,317.00,319.90,305.00,308.80,295.16,"30,21,132"
24-Aug-2010,321.00,321.00,313.80,316.70,302.72,"18,64,286"
23-Aug-2010,310.00,319.45,310.00,317.40,303.38,"29,25,575"
20-Aug-2010,305.00,312.90,304.75,310.20,296.50,"23,55,601"
19-Aug-2010,305.00,307.35,303.55,304.50,291.05,"12,64,601"
18-Aug-2010,306.00,307.35,300.00,304.10,290.67,"15,96,675"
17-Aug-2010,305.00,310.00,303.35,304.40,290.96,"17,38,465"
16-Aug-2010,316.00,317.95,302.50,304.00,290.58,"36,31,450"
13-Aug-2010,314.90,318.60,313.35,314.85,300.95,"9,26,238"
12-Aug-2010,313.00,316.90,310.50,313.35,299.51,"7,65,067"
11-Aug-2010,318.70,319.95,312.50,313.15,299.32,"13,38,432"
10-Aug-2010,321.05,321.05,317.00,319.10,305.01,"5,58,974"
09-Aug-2010,322.80,324.90,318.35,319.90,305.77,"6,63,602"
06-Aug-2010,320.65,323.45,320.50,321.50,307.30,"7,77,731"
05-Aug-2010,323.90,325.00,320.10,320.65,306.49,"6,13,506"
04-Aug-2010,325.30,326.05,322.05,323.65,309.36,"5,74,790"
03-Aug-2010,326.50,327.00,323.10,325.85,311.46,"4,58,255"
02-Aug-2010,327.00,328.45,325.00,325.65,311.27,"6,23,879"
30-Jul-2010,328.00,330.90,323.35,326.30,309.98,"8,53,518"
29-Jul-2010,331.00,333.80,326.00,327.30,310.93,"12,71,940"
28-Jul-2010,326.00,332.40,326.00,330.45,313.92,"17,75,487"
27-Jul-2010,326.50,328.45,323.90,325.70,309.41,"5,01,605"
26-Jul-2010,327.00,329.20,324.80,325.50,309.22,"5,65,030"
23-Jul-2010,330.00,330.00,325.00,325.55,309.27,"6,59,872"
22-Jul-2010,327.00,330.80,326.15,328.05,309.74,"8,88,355"
04-Feb-2011,329.40,329.40,322.00,324.30,309.98,"20,33,304"
03-Feb-2011,324.40,332.85,324.00,329.40,314.85,"11,11,962"
02-Feb-2011,332.55,334.00,322.45,325.50,311.13,"11,67,093"
01-Feb-2011,332.50,334.60,327.25,329.00,314.47,"6,63,464"
31-Jan-2011,334.00,336.70,326.00,332.15,317.48,"14,70,117"
28-Jan-2011,340.10,340.90,324.75,335.10,320.30,"20,36,442"
27-Jan-2011,348.80,349.50,332.40,333.45,318.73,"19,91,066"
25-Jan-2011,349.90,351.90,341.10,343.15,328.00,"5,75,872"
24-Jan-2011,353.05,356.00,347.50,348.50,333.11,"5,69,047"
21-Jan-2011,347.15,355.00,345.25,354.00,338.37,"8,56,676"
20-Jan-2011,347.20,353.20,344.00,351.35,335.84,"8,59,912"
19-Jan-2011,355.75,359.50,350.00,351.55,336.03,"14,05,651"
18-Jan-2011,347.55,357.00,347.40,354.60,338.94,"14,47,030"
17-Jan-2011,341.00,348.10,337.50,346.80,331.49,"13,86,575"
14-Jan-2011,344.50,355.40,338.05,339.50,324.51,"12,02,286"
13-Jan-2011,348.50,350.00,339.35,344.50,329.29,"10,42,736"
12-Jan-2011,350.00,351.80,338.10,346.80,331.49,"13,72,041"
11-Jan-2011,350.05,354.90,344.05,346.65,331.34,"11,96,018"
10-Jan-2011,357.05,357.35,345.60,348.10,332.73,"7,94,175"
07-Jan-2011,363.55,369.95,353.25,357.00,341.24,"9,01,911"
06-Jan-2011,377.25,378.15,361.25,363.60,347.54,"20,97,557"
05-Jan-2011,378.80,379.85,373.40,376.35,359.73,"10,56,769"
04-Jan-2011,375.00,381.00,370.05,379.25,362.50,"18,26,723"
03-Jan-2011,370.90,376.50,367.55,372.50,356.05,"13,85,467"
31-Dec-2010,370.05,371.90,368.10,369.80,353.47,"5,40,435"
30-Dec-2010,367.40,371.80,363.55,369.05,352.75,"11,81,554"
29-Dec-2010,368.55,371.05,363.70,366.65,350.46,"8,23,125"
28-Dec-2010,372.00,374.25,366.30,371.15,354.76,"18,21,832"
27-Dec-2010,364.00,371.90,363.85,370.10,353.76,"11,89,445"
24-Dec-2010,359.00,366.90,355.10,363.70,347.64,"7,98,349"
23-Dec-2010,361.05,364.45,358.00,359.70,343.82,"6,05,999"
22-Dec-2010,368.00,368.00,357.00,361.80,345.82,"9,59,250"
21-Dec-2010,368.80,371.75,363.75,366.60,350.41,"12,27,905"
20-Dec-2010,357.60,368.10,357.30,365.75,349.60,"20,01,522"
16-Dec-2010,355.00,358.80,349.25,356.70,340.95,"7,43,954"
15-Dec-2010,357.50,359.60,349.15,354.50,338.85,"9,51,023"
14-Dec-2010,358.00,362.35,355.55,359.00,343.15,"11,16,925"
13-Dec-2010,348.00,360.00,347.50,355.40,339.71,"18,78,412"
10-Dec-2010,350.50,366.95,337.00,347.45,332.11,"35,81,551"
09-Dec-2010,368.95,370.00,346.00,349.90,334.45,"15,92,776"
08-Dec-2010,370.95,373.00,366.65,368.65,352.37,"12,54,106"
07-Dec-2010,371.00,373.65,363.75,371.35,354.95,"12,50,421"
06-Dec-2010,375.00,379.80,368.20,370.00,353.66,"19,19,944"
03-Dec-2010,365.90,375.40,363.90,370.25,353.90,"31,43,948"
02-Dec-2010,369.50,370.80,358.25,364.95,348.84,"30,62,176"
01-Dec-2010,344.50,372.80,343.05,365.15,349.03,"44,70,574"
30-Nov-2010,337.80,345.90,335.00,343.30,328.14,"18,15,025"
29-Nov-2010,338.75,344.90,336.05,338.10,323.17,"6,19,282"
26-Nov-2010,336.90,344.45,325.50,340.10,325.08,"19,88,714"
25-Nov-2010,339.50,342.90,331.05,333.90,319.16,"23,88,401"
24-Nov-2010,345.00,347.85,338.00,340.70,325.66,"9,92,522"
23-Nov-2010,345.00,348.00,332.00,346.15,330.87,"15,00,870"
22-Nov-2010,345.95,350.00,338.55,348.10,332.73,"17,40,652"
19-Nov-2010,355.00,356.00,338.10,342.80,327.66,"25,09,779"
18-Nov-2010,341.45,356.60,337.40,353.95,338.32,"50,92,075"
16-Nov-2010,343.10,345.50,333.10,339.25,324.27,"19,27,773"
15-Nov-2010,332.40,345.05,325.75,343.85,328.67,"28,00,064"
12-Nov-2010,329.00,340.75,327.00,329.65,315.09,"38,81,595"
11-Nov-2010,345.25,346.45,330.50,331.85,317.20,"15,24,864"
10-Nov-2010,349.10,350.00,342.05,342.70,327.57,"8,30,584"
09-Nov-2010,350.20,351.05,346.55,349.95,334.50,"9,77,010"
08-Nov-2010,351.00,354.95,347.65,348.90,333.49,"20,22,753"
04-Nov-2010,351.80,352.60,349.05,349.95,334.50,"8,88,346"
03-Nov-2010,353.80,353.80,345.45,347.25,331.92,"14,75,000"
02-Nov-2010,358.00,358.00,348.35,350.75,335.26,"18,31,772"
01-Nov-2010,355.00,362.80,354.05,356.60,340.85,"19,96,703"
13-May-2011,303.80,312.50,300.10,308.20,294.59,"20,78,679"
12-May-2011,304.00,305.35,302.00,303.85,290.43,"4,56,815"
11-May-2011,304.95,307.10,303.60,304.50,291.05,"4,92,997"
10-May-2011,304.50,306.60,302.25,304.75,291.29,"4,22,029"
09-May-2011,305.30,307.90,302.40,303.00,289.62,"16,21,129"
06-May-2011,299.00,311.75,295.50,305.55,292.06,"19,98,125"
