Insider,Insider Type,Type,Date,Shares
Gnanaprakasam (Jerome),UNREPORTED,Direct,12-Jun-2020,258
Kaptain (Amit),UNREPORTED,Direct,23-Oct-2019,"1,000"
Mitra (Sougato),UNREPORTED,Direct,12-Jun-2020,550
Dr. Reddy's Employees ESOS Trust,Institution- Corporation,Direct,03-Dec-2019,"1,150"
Erukulla (Sreedhar),UNREPORTED,Direct,24-Jun-2020,"1,917"
Sharma (Dinesh),UNREPORTED,Direct,12-Jun-2020,550
Vivek (B),UNREPORTED,Direct,24-Jun-2020,400
Poddar (Sandeep),UNREPORTED,Direct,16-Jun-2020,916
Prasad (Arun M S),UNREPORTED,Direct,12-Jun-2020,"1,875"
Raychaudhuri (Arunabha),UNREPORTED,Direct,27-Dec-2019,606
Ramana (M V),UNREPORTED,Direct,27-Sep-2019,"2,500"
Chakraborty (Saumen),President,Direct,18-Jun-2020,"1,000"
Rao (Srinivasa B),UNREPORTED,Direct,12-Mar-2020,"2,566"
Dasgupta (Suprio),UNREPORTED,Direct,18-Jun-2020,"1,100"
Kalyanaraman (L),UNREPORTED,Direct,17-Jun-2020,814
Srinivas (V R),UNREPORTED,Direct,16-Jun-2020,"1,067"
Sardesai (Harshendra),UNREPORTED,Direct,12-Jun-2020,550
Shivkumar (Kartik),UNREPORTED,Direct,12-Jun-2020,400
Kamat (Ganadhish),UNREPORTED,Direct,12-Jun-2020,"2,100"
Karunakar (A),UNREPORTED,Direct,20-Sep-2019,45
Komaravolu (Subba Raju),UNREPORTED,Direct,12-Jun-2020,400
Kumar (Saurav),UNREPORTED,Direct,12-Jun-2020,300
Chachad (Siddharth),UNREPORTED,Direct,12-Jun-2020,475
Singh (Sunilkumar Ramashrya),UNREPORTED,Direct,12-Jun-2020,"1,150"
Talwar (Ravi Ratna),UNREPORTED,Direct,12-Jun-2020,"1,150"
Naigaonkar (Ajay),UNREPORTED,Direct,03-Jun-2020,126
Narasimham (Venkata M),UNREPORTED,Direct,29-May-2020,950
Natu (Sameer Sudhakar),UNREPORTED,Direct,12-Jun-2020,"1,050"
Gadodia (Kshitiz),UNREPORTED,Direct,29-May-2020,400
Reddy (Anuj),UNREPORTED,Direct,05-Jun-2020,600
Reddy (Narayana V),UNREPORTED,Direct,29-Nov-2019,"1,939"
Adakmol (Rahul),UNREPORTED,Direct,12-Jun-2020,125
Bhambhani (Kajal),UNREPORTED,Direct,12-Jun-2020,"1,025"
Raghuvanshi (Poonam),UNREPORTED,Direct,12-Mar-2020,767
Rao (B Mallikharjuna),UNREPORTED,Direct,12-Jun-2020,"1,150"
Raju (Nirmala),UNREPORTED,Direct,08-Nov-2019,50
Kalra (Sunil Kumar),UNREPORTED,Direct,12-Mar-2020,697
PV (Vansi Krishna),UNREPORTED,Direct,04-Jun-2020,600
Kankanwadi (Suresh),UNREPORTED,Direct,01-Jun-2020,597
Swaminathan (C),UNREPORTED,Direct,29-Nov-2019,"1,415"
Khandelwal (Prashant),UNREPORTED,Direct,29-May-2020,970
Kumar (Prasanna T),UNREPORTED,Direct,29-May-2020,794
Kumar (Shiva K),UNREPORTED,Direct,29-May-2020,400
Mohanty (Simachal),UNREPORTED,Direct,27-May-2020,347
Dikshit (V V),UNREPORTED,Direct,06-Nov-2019,"1,000"
Reddy (Chandrasekhar P),UNREPORTED,Direct,18-Mar-2020,208
Singh (Yatish),UNREPORTED,Direct,31-Mar-2020,685
Mukundam (K),UNREPORTED,Direct,31-Mar-2020,900
Mehta (Suyog C),UNREPORTED,Direct,12-Mar-2020,516
Khadria (Abhishek),Divisional Officer,Direct,26-Mar-2020,500
Mallampati (Srinivasa Reddy),UNREPORTED,Direct,24-Mar-2020,395
Rewatkar (Kishore P),UNREPORTED,Direct,11-Mar-2020,100
Yugandhar (P),UNREPORTED,Direct,16-Mar-2020,"1,581"
Wetzel (Tricia),UNREPORTED,Direct,12-Mar-2020,547
Raghuvanshi (Rajeev Singh),UNREPORTED,Direct,12-Mar-2020,829
Swaroop (Gautam Mohan),UNREPORTED,Direct,12-Mar-2020,"1,596"
Kaul (Payal),UNREPORTED,Direct,12-Mar-2020,"1,235"
Nathan (Swaminathan),UNREPORTED,Direct,12-Mar-2020,865
Nigam (Ashish),UNREPORTED,Direct,06-Mar-2020,25
Thokala (Sreedhara Babu),UNREPORTED,Direct,05-Mar-2020,369
Kodipyaka (Ravinder),UNREPORTED,Direct,06-Sep-2019,272
Kohli (Subir),UNREPORTED,Direct,31-Dec-2019,"1,679"
Seshaiah (K V),UNREPORTED,Direct,24-Sep-2019,200
Chalamala (Subrahmanyeswara Rao),UNREPORTED,Direct,31-Dec-2019,440
Namboodiripad (Anil),Divisional Officer,Direct,31-Dec-2019,"1,135"
Bhatia (Sundeep),UNREPORTED,Direct,31-Dec-2019,138
Mahato (Sujit Kumar),UNREPORTED,Direct,27-Dec-2019,"1,852"
Kumar (Sumit),UNREPORTED,Direct,27-Dec-2019,403
Ashok (V K),UNREPORTED,Direct,26-Dec-2019,304
Deshpande (Harshal),UNREPORTED,Direct,29-Nov-2019,"1,580"
Mccormick (Jinping Luo),UNREPORTED,Direct,29-Nov-2019,48
Gemo (Joanne),UNREPORTED,Direct,29-Nov-2019,889
Kalawadia (Milan),UNREPORTED,Direct,29-Nov-2019,"1,448"
Knupp (Larry),UNREPORTED,Direct,29-Nov-2019,735
Nagaradona (Harindranath),UNREPORTED,Direct,29-Nov-2019,483
Swaroop (Anjum),UNREPORTED,Direct,29-Nov-2019,"1,208"
Prentiss (Stephen),UNREPORTED,Direct,29-Nov-2019,"2,446"
Puvvala (Yugandhar),UNREPORTED,Direct,29-Nov-2019,"1,150"
Brill (Vanessa),UNREPORTED,Direct,29-Nov-2019,30
Narayan (Shankar G),UNREPORTED,Direct,21-Nov-2019,67
Reddy (Vijay Bhaskar J),UNREPORTED,Direct,05-Nov-2019,"1,373"
Ganapati (BNV Rao),UNREPORTED,Direct,26-Sep-2019,510
Gupta (Arun),UNREPORTED,Direct,25-Sep-2019,200
Babu (Moses J),UNREPORTED,Direct,23-Sep-2019,500
Shah (Nirav K),UNREPORTED,Direct,11-Sep-2019,162
