,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,684.40,684.90,671.00,676.55,627.92,"37,615"
08-Apr-2010,684.00,684.50,668.00,683.15,634.04,"6,338"
07-Apr-2010,690.00,690.00,678.00,680.60,631.68,"3,758"
06-Apr-2010,684.70,684.70,666.00,680.50,631.58,"20,858"
05-Apr-2010,673.50,693.00,660.00,680.70,631.77,"31,648"
01-Apr-2010,651.35,664.90,645.00,660.70,613.21,"20,453"
31-Mar-2010,632.25,662.00,632.25,651.35,604.53,"12,973"
30-Mar-2010,618.00,655.00,618.00,645.10,598.73,"16,327"
29-Mar-2010,616.25,625.00,611.10,622.10,577.38,"4,395"
26-Mar-2010,601.00,628.00,601.00,620.00,575.43,"5,089"
25-Mar-2010,614.00,625.00,608.25,617.75,573.34,"5,478"
23-Mar-2010,600.00,631.85,600.00,620.40,575.80,"9,108"
22-Mar-2010,634.95,634.95,605.00,615.05,570.84,"12,859"
19-Mar-2010,624.95,630.00,620.05,624.60,579.70,"5,877"
18-Mar-2010,622.00,634.95,622.00,626.05,581.05,"5,982"
17-Mar-2010,636.75,636.75,624.00,625.40,580.44,"3,005"
16-Mar-2010,623.00,635.00,614.00,628.70,583.51,"7,444"
15-Mar-2010,634.40,634.40,610.50,622.05,577.34,"4,490"
12-Mar-2010,630.00,634.00,615.00,627.35,582.25,"8,050"
11-Mar-2010,632.00,638.00,618.50,627.00,581.93,"7,281"
10-Mar-2010,628.00,638.00,615.65,624.55,579.66,"7,813"
09-Mar-2010,646.00,648.40,622.75,626.60,581.56,"22,051"
08-Mar-2010,678.85,678.85,630.00,631.45,586.06,"15,232"
05-Mar-2010,658.00,666.00,630.60,636.00,590.28,"16,584"
04-Mar-2010,668.00,668.00,652.00,655.05,601.47,"23,102"
03-Mar-2010,671.00,677.90,630.00,669.75,614.96,"1,13,119"
02-Mar-2010,600.00,638.00,600.00,629.90,578.37,"72,360"
26-Feb-2010,565.15,595.90,564.25,584.00,536.23,"22,221"
25-Feb-2010,579.75,583.00,555.00,571.10,524.38,"8,827"
24-Feb-2010,573.30,583.70,573.30,575.95,528.84,"5,618"
23-Feb-2010,572.00,585.00,571.30,578.50,531.18,"12,630"
22-Feb-2010,589.90,595.00,572.00,582.00,534.39,"37,573"
19-Feb-2010,574.00,579.45,563.00,570.30,523.65,"26,458"
18-Feb-2010,588.15,607.00,572.30,578.60,531.27,"1,90,142"
17-Feb-2010,534.85,619.65,526.00,591.20,542.84,"3,85,461"
16-Feb-2010,523.85,536.95,522.95,527.50,484.35,"1,16,500"
15-Feb-2010,549.90,558.60,514.50,518.50,476.09,"28,660"
