,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,2,2,15,15
Avg. Estimate,183.86B,190.47B,739.25B,798.48B
Low estimate,170.15B,162.8B,592.41B,649.04B
High estimate,197.57B,218.14B,812.18B,952.37B
Year ago EPS,5.6,4.53,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,144.14B,154.31B,536.62B,739.25B
Sales growth (year/est),27.60%,23.40%,37.80%,8.00%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,5.7,6.14,5.17,6.85
Actual EPS,5.6,4.53,5.58,8.7
Difference,-0.1,-1.61,0.41,1.85
Surprise %,-1.80%,-26.20%,7.90%,27.00%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,8.94,9.95,28.13,30.81
30 days ago,8.94,9.95,28.13,30.81
60 days ago,8.94,9.95,28.13,30.81
90 days ago,8.94,9.95,28.13,30.81
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,GAIL.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),17.85%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
