,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"29,67,200","1,37,73,300","1,42,09,600"
Other short-term investments,"33,27,700","1,15,12,000","5,73,900"
Total cash,"62,94,900","2,52,85,300","1,47,83,500"
Net receivables,"4,36,33,900","3,42,95,600","2,75,07,300"
Inventory,"2,50,26,400","1,93,25,100","1,70,81,400"
Other current assets,-,-,"2,70,15,800"
Total current assets,"11,04,86,300","10,88,84,200","9,37,87,300"
"Gross property, plant and equipment","47,55,06,000","39,68,19,500","35,92,02,100"
Accumulated depreciation,"-6,52,53,300","-4,46,68,400","-2,67,93,000"
"Net property, plant and equipment","41,02,52,700","35,21,51,100","33,24,09,100"
Intangible assets,"1,41,25,100","1,20,35,800","97,59,500"
Other long-term assets,-,-100,"3,61,59,900"
Total non-current assets,"57,35,87,700","50,44,57,200","49,84,03,400"
Total assets,"68,40,74,000","61,33,41,400","59,21,90,700"
Current debt,"1,19,58,300","2,10,11,000","72,91,900"
Accounts payable,"3,87,60,700","3,90,38,900","2,74,06,500"
Other current liabilities,"11,74,900","9,45,900","1,14,78,800"
Total current liabilities,"10,66,00,200","11,18,63,000","9,29,68,700"
Long-term debt,"1,02,69,600","1,11,77,900","3,17,90,000"
Deferred tax liabilities,"6,50,98,800","5,03,91,100","5,29,30,700"
Deferred revenues,"16,31,700","7,61,100",-
Other long-term liabilities,"2,56,44,500","84,63,900","47,65,900"
Total non-current liabilities,"11,69,73,300","8,43,03,500","10,58,43,100"
Total liabilities,"22,35,73,500","19,61,66,500","19,88,11,800"
Common stock,"2,25,50,700","2,25,50,700","1,69,13,000"
Retained earnings,"33,94,18,600","30,41,91,800",-
Total stockholders' equity,"46,00,41,000","41,67,85,700","39,30,48,900"
Total liabilities and stockholders' equity,"68,40,74,000","61,33,41,400","59,21,90,700"
