,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"6,21,57,000","6,54,57,400","4,79,90,700","3,36,81,600"
Depreciation & amortisation,-,"1,66,66,400","1,52,75,400","1,54,30,100"
Change in working capital,-,"-49,31,000","1,75,17,600","7,28,400"
Inventory,-,"-57,04,300","-22,19,300","-8,48,400"
Other working capital,-,"18,83,900","5,36,66,700","4,03,72,000"
Other non-cash items,-,"-30,89,600","-2,04,800","8,76,600"
Net cash provided by operating activities,-,"7,98,42,000","8,76,87,100","6,07,89,000"
"Investments in property, plant and equipment",-,"-7,79,58,100","-3,40,20,400","-2,04,17,000"
Purchases of investments,-,"-31,23,58,000","-5,80,43,900","-22,87,200"
Sales/maturities of investments,-,"31,35,89,800","5,41,78,300","50,16,600"
Other investing activities,-,"99,49,200","42,98,800",-
Net cash used for investing activities,-,"-5,70,65,800","-2,63,16,000","-83,37,300"
Net change in cash,-,"-1,08,66,600","88,54,900","41,48,300"
Cash at beginning of period,-,"1,37,72,400","51,96,800","10,48,500"
Cash at end of period,-,"29,66,300","1,37,72,400","51,96,800"
Operating cash flow,-,"7,98,42,000","8,76,87,100","6,07,89,000"
Capital expenditure,-,"-7,79,58,100","-3,40,20,400","-2,04,17,000"
Free cash flow,-,"18,83,900","5,36,66,700","4,03,72,000"
