,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"73,32,89,500","75,86,77,400","54,35,81,300","48,47,49,000"
Cost of revenue,"62,14,16,900","62,66,76,300","43,57,04,000","38,97,28,400"
Gross profit,"11,18,72,600","13,20,01,100","10,78,77,300","9,50,20,600"
Research development,-,"1,09,400","1,72,400","1,34,400"
Selling general and administrative,-,"26,08,400","23,40,400","24,66,900"
Total operating expenses,"4,83,26,800","4,85,56,300","4,07,46,500","4,12,39,100"
Operating income or loss,"6,35,45,800","8,34,44,800","6,71,30,800","5,37,81,500"
Interest expense,"14,25,200","18,40,800","34,37,100","55,65,900"
Income before tax,"9,05,70,600","9,83,11,900","6,92,31,900","5,75,73,000"
Income tax expense,"2,83,25,700","3,27,84,200","2,12,28,500","1,80,93,600"
Income from continuing operations,"6,22,44,900","6,55,27,700","4,80,03,400","3,37,39,200"
Net income,"6,21,57,000","6,54,57,400","4,79,90,700","3,36,81,600"
Net income available to common shareholders,"6,21,57,000","6,54,57,400","4,79,90,700","3,36,81,600"
Basic EPS,-,14.52,10.64,7.47
Diluted EPS,-,14.52,10.64,7.47
Basic average shares,-,"45,10,142","45,10,142","45,10,141"
Diluted average shares,-,"45,10,142","45,10,142","45,10,141"
EBITDA,-,"11,68,19,100","8,79,44,400","7,85,69,000"
