,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"1,22,39,400","94,96,400","2,09,38,300"
Other short-term investments,"7,47,35,200","8,85,37,200","7,18,62,300"
Total cash,"8,69,74,600","9,80,33,600","9,28,00,600"
Net receivables,"6,42,70,300","5,21,31,400","3,00,95,600"
Inventory,"6,54,52,800","5,86,03,600","4,23,14,200"
Other current assets,"1,42,91,100","1,16,00,100","69,90,200"
Total current assets,"48,71,18,100","40,24,88,500","18,45,84,000"
"Gross property, plant and equipment","61,06,96,400","56,06,15,200","36,88,44,800"
Accumulated depreciation,"-8,71,80,800","-6,11,17,000","-3,81,41,900"
"Net property, plant and equipment","52,35,15,600","49,94,98,200","33,07,02,900"
Goodwill,"17,97,01,500","16,19,18,100","2,99,43,900"
Intangible assets,"9,01,73,300","7,66,44,900","37,25,600"
Other long-term assets,"1,39,48,900","-36,31,98,100","20,25,300"
Total non-current assets,"1,80,49,08,600","1,67,61,83,500","44,30,91,900"
Total assets,"2,29,20,26,700","2,07,86,72,000","62,76,75,900"
Current debt,"26,38,08,100","26,27,33,800","2,44,37,400"
Accounts payable,"5,77,65,400","5,26,24,100","3,06,88,200"
Other current liabilities,"4,03,31,600","4,02,59,300","1,07,39,500"
Total current liabilities,"46,11,88,600","42,29,19,300","10,92,24,900"
Long-term debt,"55,58,68,500","40,79,13,100","6,76,72,800"
Deferred tax liabilities,"5,98,52,500","5,61,77,500","3,53,88,200"
Deferred revenues,"4,44,500","1,59,800","96,400"
Other long-term liabilities,"37,68,58,400","34,82,41,200","74,000"
Total non-current liabilities,"99,92,34,100","81,87,65,400","10,75,63,600"
Total liabilities,"1,46,04,22,700","1,24,16,84,700","21,67,88,500"
Common stock,"13,15,300","13,14,800","9,33,700"
Retained earnings,"4,14,65,900","3,45,54,100","3,29,91,300"
Total stockholders' equity,"55,77,32,300","57,36,18,500","31,38,68,100"
Total liabilities and stockholders' equity,"2,29,20,26,700","2,07,86,72,000","62,76,75,900"
