,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"4,14,19,000","1,77,19,200","3,68,76,200","3,16,73,000"
Depreciation & amortisation,-,"3,26,04,500","2,72,43,600","1,80,75,900"
Stock-based compensation,-,"11,75,000","7,87,100","1,07,900"
Change in working capital,-,"-14,33,52,800","-12,18,48,900","80,70,700"
Inventory,-,"-58,01,700","-75,12,600","-8,27,400"
Other working capital,-,"-6,53,82,600","-7,58,52,400","5,44,87,200"
Other non-cash items,-,"5,61,32,500","2,14,15,900","34,28,600"
Net cash provided by operating activities,-,"-2,45,48,200","-3,39,32,200","7,27,62,300"
"Investments in property, plant and equipment",-,"-4,08,34,400","-4,19,20,200","-1,82,75,100"
"Acquisitions, net",-,"-13,02,900","-13,68,200","-5,300"
Purchases of investments,-,"-3,08,29,800","-4,08,31,200","-4,08,20,100"
Sales/maturities of investments,-,"4,57,56,400","7,74,46,900","2,16,03,000"
Other investing activities,-,"-5,23,200","-12,68,400","-2,73,100"
Net cash used for investing activities,-,"-2,18,70,000","-24,15,100","-3,49,34,200"
Net change in cash,-,"22,83,800","-18,07,500","18,300"
Cash at beginning of period,-,"94,93,200","9,38,200","11,33,400"
Cash at end of period,-,"1,22,39,400","94,96,400","9,38,300"
Operating cash flow,-,"-2,45,48,200","-3,39,32,200","7,27,62,300"
Capital expenditure,-,"-4,08,34,400","-4,19,20,200","-1,82,75,100"
Free cash flow,-,"-6,53,82,600","-7,58,52,400","5,44,87,200"
