,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,442.91,449.55,439.17,446.83,299.98,"9,17,655"
08-Apr-2010,449.07,449.88,436.94,440.58,295.78,"16,10,892"
07-Apr-2010,436.09,451.12,435.35,447.87,300.67,"28,27,179"
06-Apr-2010,435.32,438.10,432.99,435.77,292.55,"8,87,619"
05-Apr-2010,437.64,444.38,432.26,433.91,291.30,"7,90,935"
01-Apr-2010,436.34,440.74,434.54,438.18,294.17,"4,70,524"
31-Mar-2010,436.24,436.71,432.37,436.07,292.75,"6,06,584"
30-Mar-2010,443.84,446.47,433.92,435.32,292.25,"5,23,914"
29-Mar-2010,447.71,448.79,442.78,444.82,298.63,"8,29,640"
26-Mar-2010,441.51,447.54,441.51,445.25,298.91,"5,51,361"
25-Mar-2010,441.51,445.37,438.18,440.57,295.77,"8,16,433"
23-Mar-2010,447.71,452.25,440.43,441.96,296.71,"6,79,727"
22-Mar-2010,449.26,456.08,444.46,448.02,300.77,"5,85,825"
19-Mar-2010,462.89,462.89,448.02,451.36,303.02,"5,78,072"
18-Mar-2010,453.13,454.68,447.88,450.10,302.17,"12,38,989"
17-Mar-2010,450.03,457.93,448.66,452.21,303.59,"15,34,329"
16-Mar-2010,444.61,451.58,444.15,449.44,301.72,"6,77,184"
15-Mar-2010,443.06,447.71,435.93,445.93,299.37,"6,00,245"
12-Mar-2010,447.71,451.58,446.16,447.86,300.66,"11,11,340"
11-Mar-2010,440.96,448.79,440.96,446.74,299.92,"10,04,960"
10-Mar-2010,437.64,442.36,436.88,440.96,296.04,"9,23,516"
09-Mar-2010,437.48,440.56,435.66,437.95,294.01,"5,49,683"
08-Mar-2010,436.86,439.96,435.80,437.25,293.54,"11,97,057"
05-Mar-2010,433.77,439.19,433.77,435.90,292.64,"10,63,682"
04-Mar-2010,427.57,433.60,423.08,432.31,290.23,"13,61,151"
03-Mar-2010,420.90,427.95,420.90,426.79,286.52,"21,42,081"
02-Mar-2010,419.82,424.16,415.18,420.93,282.59,"24,88,493"
26-Feb-2010,412.85,421.84,411.48,417.73,280.44,"21,07,663"
25-Feb-2010,411.30,419.05,402.95,412.20,276.73,"11,49,276"
24-Feb-2010,411.30,414.40,408.53,410.53,275.60,"5,56,971"
23-Feb-2010,408.98,415.14,406.82,412.76,277.10,"6,60,207"
22-Feb-2010,421.36,427.57,405.88,409.12,274.66,"6,37,330"
19-Feb-2010,416.73,421.06,412.71,415.48,278.93,"7,01,280"
18-Feb-2010,424.47,426.95,417.23,419.43,281.58,"7,53,199"
17-Feb-2010,424.49,428.96,423.08,425.42,285.60,"14,36,295"
16-Feb-2010,418.27,422.91,415.55,421.64,283.07,"14,46,404"
15-Feb-2010,419.05,425.94,413.03,416.75,279.78,"9,02,621"
11-Feb-2010,421.22,426.64,418.43,419.89,281.89,"17,82,520"
10-Feb-2010,415.95,423.70,410.25,418.54,280.98,"17,69,649"
09-Feb-2010,396.56,418.10,394.22,414.95,278.57,"11,59,204"
08-Feb-2010,398.15,401.51,392.88,396.25,266.02,"7,66,225"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,401.03,403.99,397.36,399.05,267.90,"4,99,223"
04-Feb-2010,416.18,419.67,403.33,408.23,274.06,"8,36,992"
03-Feb-2010,404.66,417.96,404.66,416.11,279.35,"8,70,391"
02-Feb-2010,415.19,420.60,399.68,404.28,271.41,"7,82,789"
01-Feb-2010,402.78,415.18,397.52,412.29,276.78,"9,42,914"
29-Jan-2010,408.96,408.96,392.13,402.66,270.32,"8,69,287"
28-Jan-2010,401.23,406.59,392.95,401.45,269.51,"13,45,317"
27-Jan-2010,408.83,408.83,395.04,398.01,267.20,"8,63,961"
25-Jan-2010,407.43,411.30,399.69,406.37,272.81,"8,49,805"
22-Jan-2010,406.66,410.53,398.13,405.85,272.46,"11,45,887"
21-Jan-2010,415.18,423.15,410.84,412.21,276.73,"7,43,032"
20-Jan-2010,426.02,426.70,415.36,417.38,280.21,"6,72,162"
19-Jan-2010,433.46,435.16,420.47,421.43,282.93,"7,30,128"
18-Jan-2010,439.19,439.73,430.08,431.82,289.90,"8,24,030"
15-Jan-2010,439.20,445.21,437.64,441.11,296.14,"12,77,035"
14-Jan-2010,439.95,447.55,438.43,440.30,295.59,"11,39,891"
13-Jan-2010,431.44,443.25,427.73,438.65,294.49,"12,44,992"
12-Jan-2010,436.08,438.84,429.27,433.22,290.84,"13,90,916"
11-Jan-2010,427.88,439.15,419.98,435.72,292.52,"16,71,796"
08-Jan-2010,416.88,430.16,413.65,427.15,286.76,"22,76,625"
07-Jan-2010,424.01,425.70,412.90,414.33,278.15,"14,83,740"
06-Jan-2010,407.42,427.01,405.12,424.00,284.65,"27,36,607"
05-Jan-2010,395.81,408.83,395.04,407.14,273.33,"19,15,863"
04-Jan-2010,385.29,395.19,383.57,394.12,264.59,"15,67,921"
19-Jul-2010,284.12,284.57,281.95,283.24,190.15,"1,35,299"
16-Jul-2010,280.47,285.20,280.40,284.13,190.75,"3,38,143"
15-Jul-2010,285.05,285.82,279.78,280.47,188.29,"3,15,441"
14-Jul-2010,291.24,295.12,282.26,283.37,190.24,"8,65,272"
13-Jul-2010,297.44,297.44,288.92,291.05,195.39,"2,55,383"
12-Jul-2010,293.57,296.48,292.79,295.07,198.09,"21,47,394"
09-Jul-2010,288.92,293.97,288.92,292.84,196.59,"25,32,788"
08-Jul-2010,283.03,291.09,283.03,288.53,193.70,"28,07,626"
07-Jul-2010,281.95,283.50,279.64,281.75,189.15,"2,47,682"
06-Jul-2010,282.72,285.03,280.72,281.89,189.25,"4,32,678"
05-Jul-2010,282.72,286.24,281.64,283.25,190.16,"2,12,159"
02-Jul-2010,285.82,287.96,281.95,283.05,190.02,"3,40,596"
01-Jul-2010,285.20,288.89,280.63,285.88,191.92,"8,11,888"
30-Jun-2010,278.08,285.51,271.88,283.13,190.08,"11,10,726"
29-Jun-2010,280.40,283.81,276.15,278.63,187.05,"9,12,755"
28-Jun-2010,278.85,282.57,278.85,281.18,188.77,"4,91,000"
25-Jun-2010,278.08,284.27,277.30,278.64,187.06,"8,17,549"
24-Jun-2010,277.61,280.15,276.37,278.66,187.07,"6,81,935"
23-Jun-2010,277.47,279.16,275.91,277.59,186.36,"3,32,366"
22-Jun-2010,276.53,280.78,275.02,278.00,186.63,"4,34,892"
21-Jun-2010,274.20,278.08,274.20,277.21,186.10,"7,22,466"
18-Jun-2010,278.39,278.39,271.29,272.58,182.99,"3,44,682"
17-Jun-2010,278.85,279.93,274.88,275.91,185.23,"6,42,333"
16-Jun-2010,278.83,279.11,275.91,277.66,186.40,"4,43,897"
15-Jun-2010,279.47,280.85,276.53,278.27,186.81,"8,57,984"
14-Jun-2010,281.95,284.95,277.58,279.59,187.70,"4,46,640"
11-Jun-2010,274.98,283.79,274.98,281.89,189.24,"16,60,506"
10-Jun-2010,274.98,277.30,272.20,274.16,184.05,"9,03,725"
09-Jun-2010,272.65,278.23,272.65,275.19,184.75,"6,95,522"
08-Jun-2010,273.43,273.88,269.55,271.15,182.03,"4,71,189"
07-Jun-2010,272.65,274.20,269.71,271.44,182.23,"3,97,924"
04-Jun-2010,276.53,277.46,273.93,274.59,184.34,"4,59,415"
03-Jun-2010,277.30,281.00,273.43,277.23,186.12,"8,32,951"
02-Jun-2010,277.30,281.48,274.11,275.21,184.76,"6,89,726"
01-Jun-2010,282.72,287.21,275.91,276.64,185.72,"13,54,070"
31-May-2010,285.98,290.38,280.89,282.41,189.60,"10,34,563"
28-May-2010,291.24,296.20,284.28,286.23,192.16,"8,10,591"
27-May-2010,286.60,292.48,281.19,290.05,194.72,"17,04,814"
26-May-2010,306.42,309.68,263.37,284.86,191.24,"47,77,318"
25-May-2010,370.25,370.25,346.42,359.25,241.18,"84,32,071"
24-May-2010,381.89,387.14,368.70,371.01,249.07,"16,37,700"
21-May-2010,386.98,387.14,372.05,380.00,255.11,"25,03,740"
20-May-2010,399.68,406.04,379.55,390.84,262.39,"36,33,051"
19-May-2010,408.98,410.50,397.52,399.11,267.94,"3,02,995"
18-May-2010,402.78,412.68,396.90,409.85,275.15,"4,93,633"
17-May-2010,408.20,408.20,398.91,403.06,270.59,"4,69,691"
14-May-2010,407.43,413.47,404.80,408.53,274.26,"5,15,393"
13-May-2010,404.33,408.97,404.33,407.46,273.55,"3,14,008"
12-May-2010,405.88,409.75,401.23,403.29,270.75,"3,41,080"
11-May-2010,414.40,414.40,403.56,406.28,272.75,"6,41,848"
10-May-2010,397.36,416.46,397.36,412.42,276.87,"5,62,561"
07-May-2010,402.78,406.73,392.71,396.55,266.22,"9,48,258"
06-May-2010,399.68,407.12,398.29,404.98,271.88,"5,11,294"
05-May-2010,398.91,404.02,392.89,400.42,268.82,"10,00,435"
04-May-2010,414.60,418.12,396.59,401.09,269.27,"7,30,102"
03-May-2010,421.37,422.80,412.85,414.13,278.02,"4,75,843"
30-Apr-2010,429.89,433.46,421.54,422.80,283.84,"8,54,292"
29-Apr-2010,434.23,437.48,425.71,428.91,287.94,"7,41,470"
28-Apr-2010,436.09,436.09,430.70,434.18,291.48,"5,03,025"
27-Apr-2010,439.96,444.13,436.09,437.02,293.39,"2,66,175"
26-Apr-2010,439.19,443.68,439.19,441.04,296.09,"3,50,117"
