Insider,Insider Type,Type,Date,Shares
Gupta (Adesh Kumar),UNREPORTED,Direct,28-May-2018,"23,955"
Malik (Mukesh),UNREPORTED,Direct,23-Jun-2020,"1,000"
Birla (Kumar Mangalam),Promoter,Direct,13-Jul-2017,"6,913"
Varghese (Thomas),UNREPORTED,Direct,20-Mar-2017,"8,665"
ECE Industries Ltd,Promoter,Direct,13-Jul-2017,"178,744"
IGH Holdings Pvt Ltd,Promoter,Direct,13-Jul-2017,"30,828,153"
Jain (Pavan Kumar),Divisional Officer,Direct,08-Sep-2016,943
Maheshwari (Krishna Kishore),Managing Director,Direct,18-Sep-2012,"10,983"
Narayanan (Raj E R),UNREPORTED,Direct,02-May-2019,"7,329"
Grasim Employees Welfare Trust,Institution- Corporation,Direct,27-Dec-2018,"1,297,816"
Manav Investment & Trading Company Ltd,Promoter,Direct,13-Jul-2017,"172,012"
Kadel (Hemant K.),Divisional Officer,Direct,07-Sep-2016,660
Vardharajan,UNREPORTED,Direct,04-May-2018,"5,471"
Umang Commercial Co Ltd,Promoter,Direct,12-Dec-2013,"204,799"
Agarwal (Anita),UNREPORTED,Direct,13-Jul-2017,"1,129"
Agarwal (Sushil),Wholetime Director,Direct,13-Jul-2017,"34,232"
Agarwal (Sushil) HUF,UNREPORTED,Direct,13-Jul-2017,304
Bajaj (Vasavadatta),Promoter,Direct,13-Jul-2017,"2,752"
Birla (Aditya Kumar Mangalam) HUF,Promoter,Direct,13-Jul-2017,225
Birla (Neerja),Promoter,Direct,13-Jul-2017,"2,962"
Birla (Rajashree),Director (Non-Executive),Direct,13-Jul-2017,"191,450"
Birla Industrial Finance India Ltd,Promoter,Direct,13-Jul-2017,"41,685"
Birla Industrial Investments India Ltd,Promoter,Direct,13-Jul-2017,"8,932"
Dadia (Drashana),UNREPORTED,Direct,28-Jun-2017,400
Dadia (Sandeep),UNREPORTED,Direct,22-Jun-2017,"1,000"
Krishnamoorthy (S.),Divisional Officer,Direct,09-Sep-2016,600
Jhanwar (K C),Divisional Officer,Direct,13-Feb-2017,"5,320"
Verma (Sanjay Kumar),UNREPORTED,Direct,01-Dec-2016,"2,360"
Singh (Surya Kumar),UNREPORTED,Direct,10-Jan-2017,"1,270"
Samuel (Manohar),UNREPORTED,Direct,09-Sep-2016,660
Mittal (Naveen),UNREPORTED,Direct,01-Dec-2016,"1,270"
Rustogi (Anil),UNREPORTED,Direct,01-Dec-2016,"3,535"
Shrivastava (Aditya Narayan),UNREPORTED,Direct,09-Sep-2016,943
Malu (Ashok),Company Secretary,Direct,04-Jun-2013,"1,000"
Jain (Shaildendra K),Director (Non-Executive),Direct,01-Jun-2012,"4,245"
Rathi (Dwarka Dass),UNREPORTED,Direct,31-May-2012,"7,450"
Aberdeen Global Indian Equity Fund,UNREPORTED,Direct,02-Sep-2009,"25,000"
Life Insurance Corporation of India,Investment Advisor,Direct,30-Nov-2010,"1,843,716"
