,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"68,07,90,000","60,42,70,000","50,56,90,000","47,56,75,300"
Cost of revenue,"35,58,30,000","31,48,80,000","26,40,70,000","23,99,77,200"
Gross profit,"32,49,60,000","28,93,90,000","24,16,20,000","23,56,98,100"
Selling general and administrative,-,"85,20,000","73,20,000","86,14,300"
Total operating expenses,"18,34,90,000","17,08,60,000","14,29,90,000","14,00,76,000"
Operating income or loss,"14,14,70,000","11,85,30,000","9,86,30,000","9,56,22,100"
Interest expense,"43,10,000","15,50,000","5,30,000","7,18,400"
Income before tax,"13,27,50,000","12,62,20,000","11,02,40,000","10,54,27,500"
Income tax expense,"2,84,00,000","2,50,20,000","2,30,20,000","1,93,62,800"
Income from continuing operations,"10,43,50,000","10,12,00,000","8,72,20,000","8,60,64,700"
Net income,"10,43,50,000","10,12,00,000","8,72,10,000","8,60,64,700"
Net income available to common shareholders,"10,43,50,000","10,12,00,000","8,72,10,000","8,60,64,700"
Basic EPS,-,36.79,31.11,30.16
Diluted EPS,-,36.77,31.09,30.14
Basic average shares,-,"27,50,726","28,02,699","28,52,993"
Diluted average shares,-,"27,51,832","28,04,673","28,55,928"
EBITDA,-,"14,85,00,000","12,46,00,000","11,44,27,200"
