,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,87.50,87.50,85.53,85.90,57.01,"59,49,028"
08-Apr-2010,86.75,88.22,85.89,86.28,57.26,"51,87,916"
07-Apr-2010,85.50,87.50,85.00,86.64,57.50,"49,59,816"
06-Apr-2010,90.32,90.69,86.36,86.72,57.55,"63,45,844"
05-Apr-2010,90.00,90.45,88.80,90.20,59.86,"29,26,064"
01-Apr-2010,90.00,91.00,88.75,89.24,59.22,"36,50,020"
31-Mar-2010,90.00,91.24,87.82,89.60,59.46,"39,29,348"
30-Mar-2010,93.00,93.00,89.34,89.82,59.61,"23,03,860"
29-Mar-2010,92.03,93.63,90.44,92.64,61.48,"15,87,440"
26-Mar-2010,93.54,93.91,92.13,92.69,61.51,"14,87,064"
25-Mar-2010,91.78,94.25,90.50,93.14,61.81,"56,91,200"
23-Mar-2010,91.91,92.88,91.13,91.78,60.91,"15,98,484"
22-Mar-2010,92.99,93.40,91.75,92.26,61.23,"13,03,836"
19-Mar-2010,94.25,94.50,93.01,93.51,62.06,"12,20,236"
18-Mar-2010,95.43,95.75,93.41,93.96,62.36,"14,92,656"
17-Mar-2010,93.85,95.81,93.25,95.43,63.33,"43,22,856"
16-Mar-2010,92.50,94.22,92.50,93.28,61.90,"47,83,784"
15-Mar-2010,89.25,92.70,89.25,92.29,61.25,"43,47,644"
12-Mar-2010,90.03,90.75,89.78,90.14,59.82,"13,97,268"
11-Mar-2010,87.89,90.47,87.89,90.10,59.79,"17,22,136"
10-Mar-2010,90.34,90.93,88.65,89.51,59.40,"18,40,376"
09-Mar-2010,89.85,90.80,89.28,90.34,59.95,"16,22,728"
08-Mar-2010,90.07,90.82,89.50,89.85,59.63,"15,20,876"
05-Mar-2010,90.75,91.75,89.25,89.80,59.59,"16,01,164"
04-Mar-2010,96.25,96.25,89.75,90.57,60.11,"11,47,552"
03-Mar-2010,91.50,92.72,90.76,91.07,60.44,"34,42,980"
02-Mar-2010,91.78,92.74,90.51,91.21,60.53,"26,25,736"
26-Feb-2010,91.03,92.47,89.68,91.78,60.91,"41,11,692"
25-Feb-2010,91.68,92.50,89.81,91.93,61.01,"32,27,700"
24-Feb-2010,90.00,92.47,90.00,91.36,60.63,"27,29,800"
23-Feb-2010,90.50,91.94,90.00,90.76,60.23,"18,99,780"
22-Feb-2010,91.75,92.94,90.50,91.04,60.42,"36,57,652"
19-Feb-2010,89.78,92.20,88.76,90.72,60.21,"47,92,680"
18-Feb-2010,91.20,91.20,89.28,90.18,59.84,"17,47,308"
17-Feb-2010,90.50,91.00,89.50,90.45,60.03,"16,08,804"
16-Feb-2010,90.64,91.28,88.75,90.18,59.84,"40,87,456"
