,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"21,81,03,500","16,23,17,600","16,25,49,600","11,05,11,200"
Depreciation & amortisation,-,"17,52,000","14,92,300","17,94,500"
Stock-based compensation,-,"24,59,800",-,-
Change in working capital,-,"-8,54,16,000","2,04,10,000","4,14,59,700"
Other working capital,-,"-44,51,32,000","-33,08,62,400","-14,88,68,000"
Other non-cash items,-,"-18,04,60,900","1,72,09,100","5,78,45,500"
Net cash provided by operating activities,-,"-44,30,14,200","-32,86,34,000","-14,17,30,900"
"Investments in property, plant and equipment",-,"-21,17,800","-22,28,400","-71,37,100"
"Acquisitions, net",-,"-8,69,09,900",-,-
Purchases of investments,-,"-1,55,46,100",-,-
Net cash used for investing activities,-,"-10,31,56,100","-23,70,68,500","-27,22,82,900"
Net change in cash,-,"36,86,100","-2,54,23,200","1,72,59,400"
Cash at beginning of period,-,"2,81,47,000","5,35,77,800","3,63,93,200"
Cash at end of period,-,"3,18,33,100","2,81,54,600","5,35,77,800"
Operating cash flow,-,"-44,30,14,200","-32,86,34,000","-14,17,30,900"
Capital expenditure,-,"-21,17,800","-22,28,400","-71,37,100"
Free cash flow,-,"-44,51,32,000","-33,08,62,400","-14,88,68,000"
