Insider,Insider Type,Type,Date,Shares
Sikchi (Praveen R),UNREPORTED,Direct,25-Jun-2020,"23,576"
Sankaranarayan (R),UNREPORTED,Direct,10-Jun-2020,250
Rangan (Srinivasa V),Director (Executive),Direct,18-Mar-2020,250
Rosy (Dias),UNREPORTED,Direct,18-Mar-2020,250
Shaligram (S V),UNREPORTED,Direct,17-Jun-2020,"13,000"
Kumar (Suresh K),UNREPORTED,Direct,25-Jun-2020,250
Koduvayur (Viswanathan),UNREPORTED,Direct,18-Mar-2020,250
Goel (Vikram),UNREPORTED,Direct,25-Jun-2020,"12,750"
Jha (Sudhir Kumar),UNREPORTED,Direct,18-Mar-2020,250
Karnad (Renu Sud),UNREPORTED,Direct,18-Mar-2020,250
Himani (Datar),UNREPORTED,Direct,19-Jun-2020,"2,200"
Gupta (Prosenjit),UNREPORTED,Direct,18-Mar-2020,"2,500"
Parekh (Deepak S),UNREPORTED,Direct,18-Mar-2020,250
Mehta (Tejas Surendra),UNREPORTED,Direct,25-Jun-2020,"2,250"
Mistry (Keki Minoo),UNREPORTED,Direct,18-Mar-2020,500
Nambiar (Mahesh Balakrishnan),UNREPORTED,Direct,25-Jun-2020,"6,000"
Tapan (Banerjee),UNREPORTED,Direct,18-Jun-2020,"1,100"
Tandon (Rajan),UNREPORTED,Direct,25-Jun-2020,"24,750"
Ajay (Varma),UNREPORTED,Direct,25-Jun-2020,"20,750"
Aggarwal (Kamakhaya Prashad),UNREPORTED,Direct,25-Jun-2020,"25,000"
Agarwal (Ajay),Compliance Officer,Direct,18-Mar-2020,"10,000"
Ahuja (Ruchi Subash),UNREPORTED,Direct,25-Jun-2020,"8,225"
Chaudhari (S K),UNREPORTED,Direct,18-Jun-2020,"11,000"
Kolhatkar (Sanket Suhas),UNREPORTED,Direct,01-Jun-2020,"1,835"
Gupta (Roshan),UNREPORTED,Direct,19-Mar-2020,"6,000"
Ganguli (Madhumita),UNREPORTED,Direct,18-Mar-2020,250
Sardana (Rajeev),UNREPORTED,Direct,10-Jun-2020,"26,500"
Joseph (Mathew),UNREPORTED,Direct,18-Mar-2020,250
Panicker (Hemant),UNREPORTED,Direct,27-Mar-2020,"4,005"
Shah (Mahesh H),UNREPORTED,Direct,18-Mar-2020,"2,041"
Gupta (Dipta Bhanu),UNREPORTED,Direct,18-Mar-2020,250
Sunder (Skandan),UNREPORTED,Direct,24-Mar-2020,"8,200"
Venugopal (Mythili),UNREPORTED,Direct,24-Mar-2020,"1,785"
D'Souza (J C A),UNREPORTED,Direct,18-Mar-2020,250
Badani (Hiral),UNREPORTED,Direct,24-Mar-2020,"10,995"
Ponsivalai (Appannan),UNREPORTED,Direct,23-Mar-2020,"2,000"
Sanket (Premanand Kambli),UNREPORTED,Direct,18-Mar-2020,450
Nair (Manoj),UNREPORTED,Direct,19-Mar-2020,"20,000"
Tarapore (Anjalee S),UNREPORTED,Direct,19-Mar-2020,"5,000"
Tawde (Aloka Harshad),UNREPORTED,Direct,18-Mar-2020,250
Tawde (Harshad Yashwant),UNREPORTED,Direct,18-Mar-2020,250
Udayanand (Sujir),UNREPORTED,Direct,18-Mar-2020,"40,250"
Khurana (Pinky),UNREPORTED,Direct,18-Mar-2020,250
Garg (Rakhi),UNREPORTED,Direct,18-Mar-2020,"8,000"
Ramabhadran (M),UNREPORTED,Direct,18-Mar-2020,250
Arivazhagan (R),Chief Technology Officer,Direct,18-Mar-2020,"12,500"
Agarwal (Sarita),UNREPORTED,Direct,18-Mar-2020,"10,000"
Bhadsavale (Suraj),UNREPORTED,Direct,18-Mar-2020,500
