,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"79,44,70,700","79,44,70,700","66,76,27,800","56,77,57,600","46,21,21,700"
Interest expense,"58,62,64,000","58,62,64,000","53,42,09,300","42,03,14,700","37,37,58,700"
Income before tax,"36,60,71,600","36,60,71,600","33,99,59,000","27,71,06,400","21,99,65,500"
Income tax expense,"10,34,98,400","10,34,98,400","11,93,93,500","9,82,72,500","7,92,24,900"
Income from continuing operations,"26,25,73,200","26,25,73,200","22,05,65,500","17,88,33,900","14,07,40,600"
Net income,"26,25,73,200","26,25,73,200","22,01,03,800","17,85,14,900","14,05,29,800"
Net income available to common shareholders,"26,25,73,200","26,25,73,200","22,01,03,800","17,85,14,900","14,05,29,800"
Basic EPS,-,-,41.06,35.76,30.00
Diluted EPS,-,-,40.66,35.76,29.60
Basic average shares,-,-,"53,60,068","51,90,181","50,95,803"
Diluted average shares,-,-,"54,13,654","51,90,181","51,64,666"
