,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,189.05,195.70,189.05,194.93,153.42,"62,07,650"
08-Apr-2010,192.99,192.99,189.38,190.28,149.76,"62,38,830"
07-Apr-2010,194.00,194.79,192.60,193.18,152.04,"53,78,050"
06-Apr-2010,195.00,195.00,192.54,193.29,152.13,"44,21,440"
05-Apr-2010,195.88,195.96,192.44,194.85,153.35,"71,23,840"
01-Apr-2010,195.00,195.00,192.61,193.93,152.63,"74,09,220"
31-Mar-2010,190.00,194.29,189.73,193.35,152.17,"68,26,080"
30-Mar-2010,196.50,196.99,190.14,190.68,150.08,"93,69,980"
29-Mar-2010,162.88,199.00,162.88,196.51,154.66,"1,32,26,710"
26-Mar-2010,193.10,196.56,191.31,195.15,153.59,"1,15,52,860"
25-Mar-2010,188.00,193.00,187.02,192.62,151.60,"2,32,96,400"
23-Mar-2010,183.50,189.00,183.50,188.40,148.28,"1,01,54,380"
22-Mar-2010,180.20,185.50,179.80,183.71,144.59,"1,53,05,610"
19-Mar-2010,181.48,182.48,179.76,181.99,143.23,"63,39,840"
18-Mar-2010,181.24,181.24,179.05,180.09,141.74,"35,01,970"
17-Mar-2010,180.46,182.48,179.81,180.77,142.27,"47,94,840"
16-Mar-2010,180.50,180.99,176.40,180.46,142.03,"1,04,36,250"
15-Mar-2010,178.00,182.00,178.00,181.26,142.65,"75,12,960"
12-Mar-2010,182.70,183.04,178.63,180.13,141.77,"74,72,440"
11-Mar-2010,181.60,183.50,180.31,182.70,143.79,"77,45,230"
10-Mar-2010,181.20,181.99,172.99,181.45,142.80,"1,49,60,560"
09-Mar-2010,177.50,181.50,177.50,181.12,142.55,"1,23,97,690"
08-Mar-2010,181.00,181.00,177.29,178.42,140.42,"73,72,960"
05-Mar-2010,178.55,179.50,177.10,178.40,140.41,"1,04,49,650"
04-Mar-2010,177.50,178.70,175.31,178.12,140.18,"1,35,14,420"
03-Mar-2010,174.26,178.10,174.26,177.66,139.83,"1,11,47,960"
02-Mar-2010,172.40,175.60,170.60,174.49,137.33,"77,14,650"
26-Feb-2010,169.00,173.48,168.00,170.48,134.17,"93,51,030"
25-Feb-2010,170.10,170.40,168.20,169.10,133.09,"58,36,970"
24-Feb-2010,169.00,171.00,168.75,170.05,133.84,"56,05,690"
23-Feb-2010,168.51,170.88,168.24,170.10,133.88,"64,72,890"
22-Feb-2010,170.10,171.97,169.00,169.66,133.53,"66,40,170"
19-Feb-2010,167.00,170.00,165.61,169.39,133.32,"73,45,990"
18-Feb-2010,166.49,169.00,165.07,168.38,132.52,"1,00,04,420"
17-Feb-2010,161.80,166.10,161.49,165.60,130.33,"1,23,98,340"
16-Feb-2010,160.50,162.27,159.00,160.64,126.43,"71,74,850"
15-Feb-2010,159.70,161.97,158.25,161.38,127.01,"48,02,490"
11-Feb-2010,160.40,163.30,159.00,159.80,125.77,"72,69,690"
10-Feb-2010,157.50,161.74,156.40,159.35,125.42,"1,38,66,680"
09-Feb-2010,156.68,157.79,155.15,157.16,123.69,"1,19,73,750"
08-Feb-2010,158.50,158.88,154.90,156.74,123.36,"75,90,600"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,159.80,159.80,156.50,157.34,123.83,"93,46,940"
04-Feb-2010,161.80,162.49,158.55,161.68,127.24,"86,05,240"
03-Feb-2010,160.00,163.24,157.80,162.27,127.72,"77,27,670"
02-Feb-2010,160.70,161.49,157.20,157.91,124.28,"1,03,34,700"
01-Feb-2010,162.80,162.80,158.50,159.98,125.91,"75,17,330"
29-Jan-2010,158.00,163.70,155.25,163.10,128.37,"1,64,35,170"
28-Jan-2010,161.00,161.90,157.68,159.32,125.39,"1,74,32,230"
27-Jan-2010,166.11,166.11,158.69,159.72,125.71,"1,21,07,790"
25-Jan-2010,166.00,167.79,163.13,165.67,130.39,"60,28,790"
22-Jan-2010,169.60,170.00,165.40,167.71,131.99,"94,73,700"
21-Jan-2010,176.09,176.09,170.51,171.16,134.71,"1,25,23,470"
20-Jan-2010,178.50,179.00,174.30,175.61,138.21,"1,36,52,110"
19-Jan-2010,176.50,178.88,175.29,177.92,140.03,"1,66,64,220"
18-Jan-2010,169.00,177.80,168.21,176.66,139.04,"2,35,01,460"
15-Jan-2010,169.84,169.90,167.10,169.41,133.34,"1,15,81,730"
