,Most-recent transaction,Date,Shares owned as of transaction date
Dharmadhikari (Akhilesh Ashok),Sale,23-Jun-2020,"48,730"
Khanna (Ashok),Sale,23-Jun-2020,"34,000"
Mohanty (Deepak Kumar),Sale,23-Jun-2020,"35,000"
Nagda (Mehul Dilip),Sale,23-Jun-2020,"77,800"
Panda (Bhaskar C),Sale,23-Jun-2020,"168,848"
Parthasarthy (Ashish),Sale,23-Jun-2020,"723,944"
Relli (Dhiraj),Sale,23-Jun-2020,"344,806"
Sampat (Ritesh Sharad),Sale,23-Jun-2020,"32,900"
Shetty (Ajit Subhas),Sale,23-Jun-2020,"24,600"
Tandon (Vikrant),Sale,23-Jun-2020,"18,500"
