,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"20,81,200","13,06,100","7,40,600"
Other short-term investments,"3,20,89,900","5,61,53,400","4,56,13,900"
Total cash,"3,41,71,100","5,74,59,500","4,63,54,500"
Net receivables,"2,74,51,100","1,42,69,700","1,55,17,500"
Inventory,"1,24,95,300","96,26,800","70,85,800"
Total current assets,"8,41,32,100","9,00,22,300","7,57,05,100"
"Gross property, plant and equipment","8,60,10,100","7,96,02,100","7,35,75,700"
Accumulated depreciation,"-3,42,36,600","-2,94,98,000","-2,47,60,400"
"Net property, plant and equipment","5,17,73,500","5,01,04,100","4,88,15,300"
Intangible assets,"34,78,300","30,59,300","29,82,800"
Other long-term assets,-,"1,000",-
Total non-current assets,"10,09,11,500","8,39,45,000","7,74,14,900"
Total assets,"18,50,43,600","17,39,67,300","15,31,20,000"
Current debt,"18,36,800","7,53,700","4,00,800"
Accounts payable,"3,43,82,400","3,37,52,600","3,26,62,000"
Other current liabilities,"20,06,000","27,35,200","11,28,200"
Total current liabilities,"4,40,91,800","4,48,13,600","4,17,66,900"
Long-term debt,"3,49,400","5,30,300","11,24,600"
Deferred tax liabilities,"61,28,800","58,18,900","46,89,000"
Other long-term liabilities,-,-100,-
Total non-current liabilities,"85,86,600","85,07,000","75,24,200"
Total liabilities,"5,26,78,400","5,33,20,600","4,92,91,100"
Common stock,"3,99,500","3,99,400","3,99,400"
Retained earnings,"10,38,53,100","9,24,70,100","7,59,76,000"
Total stockholders' equity,"13,12,04,100","11,97,14,600","10,31,55,100"
Total liabilities and stockholders' equity,"18,50,43,600","17,39,67,300","15,31,20,000"
