,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"30,40,08,400","33,49,81,000","31,85,46,700","28,27,65,700"
Cost of revenue,"21,01,63,000","23,50,16,000","21,94,07,600","19,18,38,300"
Gross profit,"9,38,45,400","9,99,65,000","9,91,39,100","9,09,27,400"
Selling general and administrative,-,"2,08,03,400","2,02,84,400","1,78,89,500"
Total operating expenses,"5,76,56,500","5,59,08,600","5,14,70,400","4,99,76,300"
Operating income or loss,"3,61,88,900","4,40,56,400","4,76,68,700","4,09,51,100"
Interest expense,"4,16,300","3,09,500","2,67,800","2,34,000"
Income before tax,"5,11,10,400","5,10,43,000","5,29,21,000","4,88,54,000"
Income tax expense,"1,27,86,300","1,63,79,500","1,56,99,300","1,33,91,000"
Income from continuing operations,"3,83,24,100","3,46,63,500","3,72,21,700","3,54,63,000"
Net income,"3,80,49,200","3,44,40,900","3,72,04,000","3,58,42,700"
Net income available to common shareholders,"3,80,49,200","3,44,40,900","3,72,04,000","3,58,42,700"
Basic EPS,-,172.45,186.30,179.49
Diluted EPS,-,172.44,186.29,179.49
Basic average shares,-,"1,99,716","1,99,702","1,99,692"
Diluted average shares,-,"1,99,731","1,99,714","1,99,692"
EBITDA,-,"5,75,96,900","5,89,38,600","5,41,10,500"
