,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"4,27,56,700","5,49,56,700","6,08,29,200","1,89,97,400"
Depreciation & amortisation,-,"4,77,69,800","4,50,62,400","4,45,72,400"
Stock-based compensation,-,"97,000","19,400","55,700"
Change in working capital,-,"-1,68,65,300","-1,78,62,100","38,93,900"
Inventory,-,"-91,000","-2,97,57,200","-2,20,46,800"
Other working capital,-,"5,97,41,800","7,88,69,800","9,74,98,500"
Other non-cash items,-,"2,84,05,400","93,10,800","4,80,24,400"
Net cash provided by operating activities,-,"11,97,95,200","10,88,77,300","12,68,74,700"
"Investments in property, plant and equipment",-,"-6,00,53,400","-3,00,07,500","-2,93,76,200"
"Acquisitions, net",-,"-57,500",-,-
Other investing activities,-,-,-,"32,100"
Net cash used for investing activities,-,"-5,65,16,500","5,02,57,500","-2,78,85,300"
Net change in cash,-,"86,65,500","-49,89,200","4,34,66,700"
Cash at beginning of period,-,"8,04,05,000","8,22,19,500","4,26,16,000"
Cash at end of period,-,"9,09,95,100","8,04,05,000","8,22,19,500"
Operating cash flow,-,"11,97,95,200","10,88,77,300","12,68,74,700"
Capital expenditure,-,"-6,00,53,400","-3,00,07,500","-2,93,76,200"
Free cash flow,-,"5,97,41,800","7,88,69,800","9,74,98,500"
