,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"1,22,57,12,500","1,30,54,22,500","1,15,17,16,900","1,00,18,37,800"
Cost of revenue,"80,32,17,000","86,20,97,000","75,97,71,400","62,79,14,100"
Gross profit,"42,24,95,500","44,33,25,500","39,19,45,500","37,39,23,700"
Research development,-,"53,11,900","43,56,000","40,88,100"
Selling general and administrative,-,"20,94,600","22,97,700","26,36,500"
Total operating expenses,"33,18,75,700","33,44,15,700","29,84,27,100","28,99,39,100"
Operating income or loss,"9,06,19,800","10,89,09,800","9,35,18,400","8,39,84,600"
Interest expense,"3,54,88,900","3,58,38,900","3,72,90,900","4,68,24,200"
Income before tax,"6,25,41,000","8,08,31,000","8,15,70,400","3,31,43,900"
Income tax expense,"1,97,70,900","2,58,80,900","2,07,41,700","1,43,25,900"
Income from continuing operations,"4,27,70,100","5,49,50,100","6,08,28,700","1,88,18,000"
Net income,"4,27,56,700","5,49,56,700","6,08,29,200","1,89,97,400"
Net income available to common shareholders,"4,27,56,700","5,49,56,700","6,08,29,200","1,89,97,400"
Basic EPS,-,24.67,27.30,9.22
Diluted EPS,-,24.66,27.29,9.21
Basic average shares,-,"22,27,574","22,27,790","20,60,349"
Diluted average shares,-,"22,28,700","22,29,082","20,61,813"
EBITDA,-,"16,44,39,700","16,39,23,700","12,45,40,500"
