,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,177.00,180.80,177.00,178.80,163.61,"49,13,419"
08-Apr-2010,184.70,185.00,175.65,176.50,161.51,"70,47,391"
07-Apr-2010,184.60,186.65,182.70,184.60,168.92,"40,52,396"
06-Apr-2010,187.25,188.40,183.75,184.60,168.92,"42,79,282"
05-Apr-2010,184.00,187.95,183.90,187.25,171.34,"56,44,992"
01-Apr-2010,182.00,184.70,180.60,183.75,168.14,"55,45,989"
31-Mar-2010,184.00,185.30,179.60,181.25,165.85,"1,03,20,209"
30-Mar-2010,184.80,186.90,183.40,183.95,168.32,"81,73,731"
29-Mar-2010,170.20,185.95,170.20,184.25,168.60,"1,15,98,451"
26-Mar-2010,178.00,180.45,176.55,178.65,163.47,"67,47,907"
25-Mar-2010,169.80,180.00,169.10,177.65,162.56,"1,91,85,843"
23-Mar-2010,170.10,171.70,168.10,170.45,155.97,"58,60,011"
22-Mar-2010,174.00,174.85,168.60,169.25,154.87,"60,53,740"
19-Mar-2010,176.60,177.90,174.30,175.60,160.68,"57,24,048"
18-Mar-2010,175.00,177.80,172.55,176.35,161.37,"93,17,430"
17-Mar-2010,169.30,174.70,169.30,173.45,158.72,"1,11,35,993"
16-Mar-2010,160.40,170.35,160.40,169.55,155.15,"79,51,866"
15-Mar-2010,165.00,168.00,162.60,165.65,151.58,"82,89,897"
12-Mar-2010,160.80,166.65,159.80,165.05,151.03,"1,32,38,296"
11-Mar-2010,162.90,162.90,158.15,159.75,146.18,"86,38,775"
10-Mar-2010,163.00,165.20,160.75,162.70,148.88,"63,48,450"
09-Mar-2010,167.80,167.80,161.50,162.10,148.33,"77,26,110"
08-Mar-2010,170.10,171.10,165.15,166.20,152.08,"62,79,658"
05-Mar-2010,169.00,172.50,167.40,168.00,153.73,"80,38,800"
04-Mar-2010,171.00,171.00,167.15,169.20,154.83,"94,18,953"
03-Mar-2010,170.00,172.65,168.65,171.45,156.89,"1,20,93,085"
02-Mar-2010,164.00,172.80,163.60,169.25,154.87,"1,60,02,606"
26-Feb-2010,154.00,164.90,153.35,162.65,148.83,"2,26,90,392"
25-Feb-2010,156.00,156.95,152.10,153.35,140.32,"1,06,30,962"
24-Feb-2010,154.00,158.40,151.90,155.00,141.83,"1,46,04,618"
23-Feb-2010,153.50,156.40,151.85,154.80,141.65,"1,19,54,477"
22-Feb-2010,151.90,156.50,151.90,154.15,141.05,"1,32,56,828"
19-Feb-2010,151.00,152.25,146.40,149.90,137.17,"1,60,60,506"
18-Feb-2010,153.40,154.80,150.30,152.60,139.64,"1,93,01,034"
17-Feb-2010,147.90,154.80,147.45,152.75,139.77,"1,74,20,796"
16-Feb-2010,141.90,146.50,139.50,145.40,133.05,"87,99,233"
15-Feb-2010,139.00,141.70,137.65,140.85,128.88,"1,02,01,088"
11-Feb-2010,137.25,140.35,137.00,138.25,126.51,"73,93,889"
10-Feb-2010,136.00,140.75,135.00,136.50,124.90,"1,48,82,092"
09-Feb-2010,137.00,138.25,133.55,134.40,122.98,"1,83,30,897"
08-Feb-2010,137.00,143.80,133.70,136.20,124.63,"1,97,08,455"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,142.40,143.45,136.30,138.15,126.41,"1,49,72,307"
04-Feb-2010,147.00,155.00,144.20,146.15,133.73,"96,73,582"
03-Feb-2010,152.10,157.45,152.10,156.25,142.98,"82,98,172"
02-Feb-2010,152.00,155.75,150.25,151.05,138.22,"1,76,08,116"
01-Feb-2010,145.00,151.50,142.20,149.40,136.71,"1,16,74,392"
29-Jan-2010,147.00,149.00,139.80,147.35,134.83,"1,24,97,942"
28-Jan-2010,150.65,156.35,145.80,148.00,135.43,"1,04,80,370"
27-Jan-2010,156.50,157.40,148.65,150.05,137.30,"1,16,69,010"
25-Jan-2010,161.10,165.70,157.25,159.20,145.68,"1,62,33,827"
22-Jan-2010,160.10,163.10,155.25,161.35,147.64,"1,39,29,809"
21-Jan-2010,165.00,165.75,161.70,162.85,149.02,"1,25,63,207"
20-Jan-2010,163.00,167.15,162.60,165.75,151.67,"81,16,917"
19-Jan-2010,166.00,168.95,162.00,163.00,149.15,"71,99,947"
18-Jan-2010,166.20,168.90,165.40,167.25,153.04,"72,43,749"
15-Jan-2010,171.00,171.75,165.75,166.60,152.45,"49,59,476"
14-Jan-2010,172.00,172.90,169.50,170.85,156.34,"75,47,095"
13-Jan-2010,164.95,172.20,164.30,171.15,156.61,"1,61,46,039"
12-Jan-2010,172.00,173.00,166.50,167.85,153.59,"1,44,43,143"
11-Jan-2010,174.50,176.70,170.60,171.70,157.11,"1,12,70,777"
08-Jan-2010,175.00,176.90,172.50,173.30,158.58,"1,01,97,755"
07-Jan-2010,175.15,176.75,171.90,175.15,160.27,"1,52,84,125"
06-Jan-2010,175.85,175.90,168.75,171.05,156.52,"1,84,59,749"
05-Jan-2010,165.10,179.80,164.00,175.20,160.32,"3,20,66,373"
04-Jan-2010,162.00,164.40,160.20,163.50,149.61,"56,77,267"
19-Jul-2010,148.00,153.35,148.00,152.60,139.64,"96,45,201"
16-Jul-2010,150.50,151.45,149.90,150.15,137.39,"44,68,616"
15-Jul-2010,150.00,151.85,149.05,150.90,138.08,"88,89,649"
14-Jul-2010,153.20,154.80,149.35,150.65,137.85,"1,23,95,429"
13-Jul-2010,150.00,151.90,148.25,151.30,138.45,"85,75,696"
12-Jul-2010,149.00,151.50,148.55,149.50,136.80,"68,30,506"
09-Jul-2010,145.00,149.90,145.00,149.00,136.34,"1,21,03,941"
08-Jul-2010,142.50,145.45,142.50,144.85,132.54,"85,00,986"
07-Jul-2010,144.95,144.95,141.05,142.00,129.94,"63,42,134"
06-Jul-2010,142.00,145.00,141.50,143.85,131.63,"75,27,587"
05-Jul-2010,144.80,144.80,141.25,141.65,129.62,"42,80,612"
02-Jul-2010,142.95,145.40,141.60,143.75,131.54,"1,02,62,312"
