Insider,Insider Type,Type,Date,Shares
Pai (Satish),UNREPORTED,Direct,27-Aug-2015,"3,000"
Praveen (Maheshwari Kumar),Chief Financial Officer,Direct,14-May-2019,"8,000"
Jajoo (Satish),UNREPORTED,Direct,13-Apr-2018,"13,908"
Hindalco Employee Welfare Trust,Promoter,Direct,12-Dec-2018,"382,248"
Mathew (Anil),UNREPORTED,Direct,22-Aug-2014,"5,627"
Birla Group Holdings Pvt Ltd,Promoter,Direct,08-Jul-2019,"221,560,841"
Sarathy (Gopi Krishnan),UNREPORTED,Direct,10-Nov-2016,"8,776"
Basu (Samik),Divisional Officer,Direct,12-Jun-2017,"13,908"
Laddha (J C),UNREPORTED,Direct,12-Jul-2017,"27,815"
Sandeep (RPY),UNREPORTED,Direct,11-Oct-2018,"220,590"
Manav Investment & Trading Company Ltd,Promoter,Direct,28-Sep-2018,"672,571"
Singh (Jagpal),UNREPORTED,Direct,12-Sep-2018,"8,770"
Mishra (Bibhu Prasad),UNREPORTED,Direct,23-May-2017,"23,821"
Bhattacharya (Debu),Managing Director,Direct,07-Sep-2010,"20,000"
Sen (Nirmalya),UNREPORTED,Direct,05-Feb-2018,"4,745"
Machher (Ashok Kumar),UNREPORTED,Direct,11-Dec-2014,"13,506"
Satpute (Sachin),UNREPORTED,Direct,10-Nov-2016,"41,876"
Chaturvedi (Prabhat),UNREPORTED,Direct,12-Oct-2017,"30,709"
Patnaik (N M),UNREPORTED,Direct,10-Nov-2016,"17,553"
Jha (Bharat Bhushan),Divisional Officer,Direct,10-Nov-2016,"41,876"
Mukherjee (Proycn),UNREPORTED,Direct,10-Nov-2016,"17,553"
Gupta (Anil Rai),UNREPORTED,Direct,10-Dec-2009,"5,627"
Das (Devotosh Kumar),UNREPORTED,Direct,22-Aug-2014,"5,627"
Kohly (Dinesh Kumar),Chief Operating Officer,Direct,29-Sep-2014,"4,000"
Das (Alphonso R),UNREPORTED,Direct,22-Aug-2014,"11,255"
Gaur (Dilip Singh),UNREPORTED,Direct,16-Dec-2016,"18,556"
Kanakanand (S),UNREPORTED,Direct,16-Dec-2016,"11,033"
Kumar (Sushil),UNREPORTED,Direct,16-Dec-2016,"11,033"
Malik (Anil),President,Direct,16-Dec-2016,"3,000"
Sarkar (Sanjay),UNREPORTED,Direct,16-Dec-2016,"23,821"
Singh (Rajesh Kumar),UNREPORTED,Direct,10-Nov-2016,"8,776"
Thakur (Vinod V),UNREPORTED,Direct,16-Dec-2016,"8,776"
Narisetty (Nagesh),UNREPORTED,Direct,10-Nov-2016,"30,708"
Nayak (Jaganath Prasad),UNREPORTED,Direct,10-Nov-2016,"8,776"
Pandey (Kailash Nath),UNREPORTED,Direct,10-Nov-2016,"8,776"
