,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"6,74,80,000","6,74,80,000","6,05,40,000","5,21,40,000","4,47,60,000"
Depreciation & amortisation,"1,00,20,000","1,00,20,000","56,50,000","52,00,000","43,20,000"
Stock-based compensation,"20,000","20,000","1,00,000","1,10,000","40,000"
Change in working capital,"41,10,000","41,10,000","-34,20,000","79,10,000","71,50,000"
Inventory,"-33,10,000","-33,10,000","-19,50,000","-14,60,000","18,60,000"
Other working capital,"6,76,10,000","6,76,10,000","5,03,30,000","5,16,90,000","3,72,40,000"
Other non-cash items,"-50,40,000","-50,40,000","-28,30,000","-40,60,000","-22,50,000"
Net cash provided by operating activities,"7,62,30,000","7,62,30,000","5,80,00,000","6,06,40,000","5,18,50,000"
"Investments in property, plant and equipment","-86,20,000","-86,20,000","-76,70,000","-89,50,000","-1,46,10,000"
"Acquisitions, net","-3,00,000","-3,00,000","-1,30,000",0,0
Purchases of investments,"-41,06,90,000","-41,06,90,000","-78,70,80,000","-54,66,70,000","-32,87,70,000"
Sales/maturities of investments,"43,34,80,000","43,34,80,000","78,74,70,000","54,09,70,000","32,73,50,000"
Other investing activities,-,-,-,"-50,000","-4,40,000"
Net cash used for investing activities,"1,79,10,000","1,79,10,000","-43,80,000","-1,06,80,000","-1,17,30,000"
Net change in cash,"2,59,50,000","2,59,50,000","-2,80,000","2,10,000","-20,20,000"
Cash at beginning of period,"62,10,000","62,10,000","64,90,000","62,80,000","83,00,000"
Cash at end of period,"3,21,60,000","3,21,60,000","62,10,000","64,90,000","62,80,000"
Operating cash flow,"7,62,30,000","7,62,30,000","5,80,00,000","6,06,40,000","5,18,50,000"
Capital expenditure,"-86,20,000","-86,20,000","-76,70,000","-89,50,000","-1,46,10,000"
Free cash flow,"6,76,10,000","6,76,10,000","5,03,30,000","5,16,90,000","3,72,40,000"
