Insider,Insider Type,Type,Date,Shares
Gangopadhyay (Manish),UNREPORTED,Direct,03-Sep-2019,658
Gaurav (Bhatnagar),UNREPORTED,Direct,29-May-2020,"1,682"
Gopalakrishnan (Anila),UNREPORTED,Direct,29-May-2020,676
Gopalakrishnan (Asha),UNREPORTED,Direct,29-May-2020,769
Gopinath (Krishnan),UNREPORTED,Direct,10-Dec-2019,900
Gossain (Kabir Mohan),UNREPORTED,Direct,03-Sep-2019,658
Guniti (Sanmukha Rao),UNREPORTED,Direct,29-May-2020,"1,030"
Gupta (Gaurav),UNREPORTED,Direct,29-May-2020,615
Gupta (Sudip),UNREPORTED,Direct,29-May-2020,615
Hariharan (V),UNREPORTED,Direct,29-May-2020,554
Harlalka (Sanjay),UNREPORTED,Direct,22-Oct-2019,"27,497"
Jacob (Nikhil J),UNREPORTED,Direct,29-May-2020,554
Jain (Reema),UNREPORTED,Direct,03-Sep-2019,658
Kanwar (Himanshu),UNREPORTED,Direct,03-Sep-2019,658
Kashyap (Shruti),UNREPORTED,Direct,29-May-2020,726
Kishore (Ruma),UNREPORTED,Direct,29-May-2020,615
Kohli (Gurpreet Singh),UNREPORTED,Direct,29-May-2020,769
Majumder (Apratim),UNREPORTED,Direct,29-May-2020,554
Mani (Balaji),UNREPORTED,Direct,29-May-2020,615
Mathur (Vipul),UNREPORTED,Direct,29-May-2020,739
Menon (Vijay),UNREPORTED,Direct,29-May-2020,724
Mishra (Ashish Chandra),UNREPORTED,Direct,29-May-2020,822
Mishra (Yogesh Kumar),UNREPORTED,Direct,29-May-2020,923
Mitra (Srirup),UNREPORTED,Direct,29-May-2020,769
Agarwal (Amit),UNREPORTED,Direct,03-Sep-2019,"3,502"
Arora (Dheeraj),UNREPORTED,Direct,29-May-2020,769
Arun (N),UNREPORTED,Direct,29-May-2020,647
Bajpai (Dev),UNREPORTED,Direct,29-May-2020,"8,023"
Banerjee (Avinava),UNREPORTED,Direct,03-Sep-2019,658
Bhageerathi (D R),UNREPORTED,Direct,29-May-2020,666
Bhan (Deepika Kaur),UNREPORTED,Direct,29-May-2020,615
Bhasin (Amit),UNREPORTED,Direct,03-Sep-2019,658
Zutshi (Anita Sandeep),UNREPORTED,Direct,29-May-2020,"1,599"
Singh (Vivek Kumar),UNREPORTED,Direct,29-May-2020,862
Sridharan (Vikram),UNREPORTED,Direct,23-Aug-2019,"2,000"
Srivastava (Madalasa),UNREPORTED,Direct,29-May-2020,"1,385"
Subramanian (Shivkumar Anantha),UNREPORTED,Direct,29-May-2020,718
Sud (Mohit),UNREPORTED,Direct,29-May-2020,676
Suri (Vandana),UNREPORTED,Direct,29-May-2020,676
Swaminathan (Ashwath),UNREPORTED,Direct,29-May-2020,615
Tanwani (Sandeep H),UNREPORTED,Direct,29-May-2020,739
Vinayak (Anila),UNREPORTED,Direct,29-May-2020,691
Wadehra (Ankush),UNREPORTED,Direct,03-Sep-2019,658
Mukherjee (Amlan),UNREPORTED,Direct,24-May-2019,829
Nadakatti (Suresh),UNREPORTED,Direct,24-May-2019,829
Nair (Priya Sukumar),Director (Executive),Direct,16-Dec-2019,"1,000"
Nediyedath (Suresh),UNREPORTED,Direct,03-Sep-2019,658
Neginhal (Prasad),UNREPORTED,Direct,03-Sep-2019,658
Pande (Gaurav),UNREPORTED,Direct,24-May-2019,829
Pawar (Mukesh Manohar),UNREPORTED,Direct,24-May-2019,829
Pawar (Yashodhara),UNREPORTED,Direct,24-May-2019,829
Pereira (Sharon),UNREPORTED,Direct,24-May-2019,788
Pradhan (Prasad Ramakant),UNREPORTED,Direct,24-May-2019,"7,982"
Premrajka (Prashant),UNREPORTED,Direct,24-May-2019,"1,344"
Punj (Ankush),UNREPORTED,Direct,24-May-2019,745
Borthakur (Abhijit),UNREPORTED,Direct,29-May-2020,554
Burra (Meenakshi),UNREPORTED,Direct,17-Mar-2020,"1,000"
Chandra (Aankriti),UNREPORTED,Direct,29-May-2020,769
Chatterji (Sanjiv K),UNREPORTED,Direct,29-May-2020,769
Chaudhary (Aneesh),UNREPORTED,Direct,24-Mar-2020,"3,000"
Dang (Supriya Ajay),UNREPORTED,Direct,29-May-2020,615
Dhillon (Harman),UNREPORTED,Direct,29-May-2020,769
Gandhi (Aniket Subhash),UNREPORTED,Direct,29-May-2020,"2,676"
Gandhi (Sanjay K),UNREPORTED,Direct,24-Mar-2020,"1,000"
Rajan (Meena),UNREPORTED,Direct,29-May-2020,391
Ramawat (Anit),UNREPORTED,Direct,29-May-2020,554
Sabharwal (Vikas),UNREPORTED,Direct,29-May-2020,769
Samajpati (Jyoti),UNREPORTED,Direct,29-May-2020,615
Sanzgiri (Vibhav R),UNREPORTED,Direct,29-May-2020,"3,148"
Saurabh (Rudra Saresth),UNREPORTED,Direct,29-May-2020,109
Shankar (Anandi),UNREPORTED,Direct,29-May-2020,"4,385"
Sharma (Vivek),UNREPORTED,Direct,03-Sep-2019,658
Shivaramakrishnan (K),UNREPORTED,Direct,29-May-2020,708
Sing (Gaurav Jeet),UNREPORTED,Direct,29-May-2020,628
Singaravelu (C),UNREPORTED,Direct,29-May-2020,"3,373"
Singh (Shailendra),UNREPORTED,Direct,29-May-2020,615
Chaturvedi (Pawan),UNREPORTED,Direct,30-Mar-2020,739
Chaturvedi (Vipul),UNREPORTED,Direct,30-Aug-2019,828
Devaraju (Suhas),UNREPORTED,Direct,21-Jun-2019,"1,035"
Ganesan (Kannan),UNREPORTED,Direct,30-Mar-2020,615
Raut (Janhavi Sanjay),UNREPORTED,Direct,03-Sep-2019,658
Krishna (Satyendu),UNREPORTED,Direct,03-Sep-2019,658
Mahapatra (Samiran),UNREPORTED,Direct,30-Mar-2020,"1,290"
Meenakshi (Venkatakrisnan),UNREPORTED,Direct,30-Mar-2020,769
Metha (Geetika),UNREPORTED,Direct,30-Mar-2020,554
Agarwal (Nishith),UNREPORTED,Direct,30-Mar-2020,769
Bawa (Sujit Singh),UNREPORTED,Direct,23-Mar-2020,"1,000"
Bharadwaj (Shruthi),UNREPORTED,Direct,03-Sep-2019,658
Ganesh (K),UNREPORTED,Direct,30-Mar-2020,462
Ganesh (Sitalakshmanan),UNREPORTED,Direct,30-Mar-2020,615
Hegde (Suman Satyanath),UNREPORTED,Direct,30-Mar-2020,676
Sundaram (Krishnan),UNREPORTED,Direct,30-Jul-2019,"7,676"
Sundaram (Srinandan),UNREPORTED,Direct,30-Mar-2020,"2,497"
Tyagi (Abhinav),UNREPORTED,Direct,30-Mar-2020,615
R (Sindhu),UNREPORTED,Direct,30-Mar-2020,647
Rai (Ashish),UNREPORTED,Direct,30-Mar-2020,"2,302"
Vora (Shilpa Atul),UNREPORTED,Direct,06-Jun-2019,"4,152"
Sitapati (Sudhir),UNREPORTED,Direct,04-Mar-2020,"2,198"
Lamba (Purnima),UNREPORTED,Direct,04-Mar-2020,676
Shetty (Anand),UNREPORTED,Direct,04-Mar-2020,787
Banerjee (Boishakhi),UNREPORTED,Direct,04-Mar-2020,615
Yadav (Yashmi),UNREPORTED,Direct,06-Feb-2020,762
Pramanick (Pinak),UNREPORTED,Direct,25-Oct-2019,"1,760"
Seetharam (Np),UNREPORTED,Direct,25-Sep-2019,"8,500"
Ravindranathan (Sindhu),UNREPORTED,Direct,03-Sep-2019,658
Muthusubramanian (Ramaiah),UNREPORTED,Direct,04-Jun-2019,997
