,value1,value2,value3,value4
Earnings estimate,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
No. of analysts,3,2,43,46
Avg. Estimate,38.13B,38.89B,156.37B,195.88B
Low estimate,35.98B,38.26B,145.51B,176.55B
High estimate,39.55B,39.52B,188.47B,241.72B
Year ago EPS,14.54,15.47,59.57,76.19
Revenue estimate,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Year ago sales,53.96B,54.74B,172.81B,156.37B
Sales growth (year/est),-29.30%,-28.90%,-9.50%,25.30%
Earnings history,30/9/2017,31/12/2017,31/3/2018,30/6/2018
Est. EPS,14.85,15.73,15.69,17.19
Actual EPS,14.54,15.47,15.73,17.08
Difference,-0.31,-0.26,0.04,-0.11
Surprise %,-2.10%,-1.70%,0.30%,-0.60%
EPS trend,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Current estimate,17.62,18.73,76.19,96.58
7 days ago,17.66,18.77,79.11,98.84
30 days ago,17.66,18.77,79.11,98.84
60 days ago,17.66,18.77,77.13,97.34
90 days ago,19.01,20.35,76.71,96.87
EPS revisions,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Up last 7 days,1,1,N/A,1
Up last 30 days,1,1,4,9
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,1,1,3,2
Growth estimates,INDUSINDBK.NS,Industry,Sector,S&P 500
Current qtr.,21.20%,N/A,N/A,N/A
Next qtr.,21.10%,N/A,N/A,N/A
Current year,27.90%,N/A,N/A,N/A
Next year,26.80%,N/A,N/A,N/A
Next 5 years (per annum),26.95%,N/A,N/A,N/A
Past 5 years (per annum),21.90%,N/A,N/A,N/A
