,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,179.00,181.70,178.50,178.80,167.41,"2,58,720"
08-Apr-2010,177.75,181.95,176.95,178.50,167.13,"3,56,217"
07-Apr-2010,180.80,184.60,179.15,180.00,168.54,"5,41,218"
06-Apr-2010,182.40,182.90,179.10,180.35,168.87,"12,12,356"
05-Apr-2010,177.10,182.90,177.10,180.80,169.29,"13,08,907"
01-Apr-2010,171.00,177.90,171.00,177.20,165.92,"4,31,262"
31-Mar-2010,173.50,175.80,168.85,170.10,159.27,"4,38,401"
30-Mar-2010,181.00,183.45,167.20,171.40,160.49,"7,76,190"
29-Mar-2010,180.95,185.45,177.55,179.75,168.30,"20,37,744"
26-Mar-2010,169.70,179.00,169.70,178.25,166.90,"8,94,845"
25-Mar-2010,169.40,171.95,169.00,170.75,159.88,"2,94,993"
23-Mar-2010,169.10,172.50,167.00,169.40,158.61,"6,03,425"
22-Mar-2010,167.75,171.95,165.00,168.05,157.35,"10,56,589"
19-Mar-2010,170.00,174.90,167.70,174.25,163.15,"12,41,408"
18-Mar-2010,169.00,171.20,165.25,170.00,159.17,"13,57,236"
17-Mar-2010,167.05,169.70,164.60,168.00,157.30,"11,47,875"
16-Mar-2010,159.00,167.00,159.00,165.50,154.96,"9,83,978"
15-Mar-2010,160.10,161.45,158.00,160.35,150.14,"2,50,539"
12-Mar-2010,156.75,162.70,156.50,162.10,151.78,"11,26,288"
11-Mar-2010,163.50,163.80,154.60,155.55,145.64,"6,91,260"
10-Mar-2010,157.00,163.65,156.35,162.95,152.57,"10,22,096"
09-Mar-2010,161.00,161.00,155.00,155.35,145.46,"3,17,483"
08-Mar-2010,161.40,161.95,157.55,159.00,148.88,"5,51,828"
05-Mar-2010,160.05,162.95,157.85,159.75,149.58,"8,57,824"
04-Mar-2010,166.00,168.40,158.10,159.55,149.39,"15,17,950"
03-Mar-2010,153.95,167.30,152.70,164.80,154.31,"22,58,245"
02-Mar-2010,150.60,155.90,149.60,152.50,142.79,"11,68,171"
26-Feb-2010,147.00,152.90,146.15,148.90,139.42,"6,77,344"
25-Feb-2010,151.45,151.45,146.15,147.00,137.64,"3,07,061"
24-Feb-2010,148.00,151.10,146.30,149.95,140.40,"7,23,246"
23-Feb-2010,154.60,154.60,147.15,148.55,139.09,"12,20,032"
22-Feb-2010,158.50,160.80,154.00,154.60,144.76,"3,42,134"
19-Feb-2010,151.35,156.95,151.35,155.55,145.64,"6,32,934"
18-Feb-2010,152.10,154.90,151.60,153.75,143.96,"6,07,890"
17-Feb-2010,152.60,156.30,151.05,153.80,144.01,"5,84,525"
16-Feb-2010,150.30,151.95,149.55,151.05,141.43,"3,19,679"
15-Feb-2010,149.85,152.00,148.95,149.85,140.31,"2,04,309"
11-Feb-2010,151.00,151.85,149.10,149.85,140.31,"2,05,608"
10-Feb-2010,152.00,153.00,149.05,150.15,140.59,"3,95,238"
09-Feb-2010,147.80,152.80,145.75,151.00,141.38,"7,51,119"
08-Feb-2010,151.70,151.70,144.00,148.35,138.90,"5,33,258"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,150.00,152.80,143.35,146.10,136.80,"8,98,213"
04-Feb-2010,156.50,156.50,153.95,155.05,145.18,"9,55,491"
03-Feb-2010,152.50,159.65,152.50,156.25,146.30,"21,06,019"
02-Feb-2010,150.00,153.65,149.10,151.55,141.90,"8,77,414"
01-Feb-2010,147.70,149.90,145.00,148.55,139.09,"4,17,317"
29-Jan-2010,142.00,148.90,139.30,147.90,138.48,"9,04,441"
28-Jan-2010,142.00,147.00,140.55,145.60,136.33,"7,93,199"
27-Jan-2010,143.00,143.90,136.75,140.15,131.23,"10,38,743"
25-Jan-2010,151.00,152.00,142.60,144.85,135.63,"6,60,970"
22-Jan-2010,145.00,152.00,142.00,150.60,141.01,"7,62,809"
21-Jan-2010,152.00,155.95,145.00,147.20,137.83,"11,15,507"
20-Jan-2010,150.10,154.70,149.50,151.90,142.23,"22,38,831"
19-Jan-2010,144.90,149.70,143.00,148.00,138.58,"15,43,371"
18-Jan-2010,141.50,144.65,139.90,142.70,133.61,"6,91,462"
15-Jan-2010,139.40,144.35,139.40,141.75,132.72,"18,64,430"
14-Jan-2010,138.50,140.85,136.70,137.60,128.84,"5,17,203"
13-Jan-2010,139.00,142.00,135.95,137.20,128.46,"5,68,627"
12-Jan-2010,143.90,143.90,139.00,139.95,131.04,"3,09,096"
11-Jan-2010,143.05,143.70,141.05,142.50,133.43,"5,79,567"
08-Jan-2010,143.20,144.95,141.80,142.30,133.24,"3,82,686"
07-Jan-2010,146.00,147.00,142.00,142.80,133.71,"5,80,803"
06-Jan-2010,143.90,147.00,142.30,146.10,136.80,"9,95,851"
05-Jan-2010,144.70,144.75,141.75,142.70,133.61,"5,51,413"
04-Jan-2010,140.50,144.80,140.05,142.85,133.75,"10,42,676"
19-Jul-2010,210.00,212.75,207.60,208.45,197.04,"4,30,480"
16-Jul-2010,208.50,214.40,207.00,212.35,200.73,"6,37,076"
15-Jul-2010,209.50,210.25,207.10,208.00,196.62,"5,66,598"
14-Jul-2010,215.00,216.50,208.00,208.90,197.47,"6,62,209"
13-Jul-2010,214.00,214.65,210.30,211.40,199.83,"3,73,880"
12-Jul-2010,216.00,219.75,212.65,214.55,202.81,"10,77,564"
09-Jul-2010,221.40,225.40,210.65,215.10,203.33,"29,80,002"
08-Jul-2010,213.00,220.80,213.00,218.85,206.87,"12,34,906"
07-Jul-2010,212.00,215.00,209.50,210.35,198.84,"8,15,717"
06-Jul-2010,207.75,210.90,207.60,210.15,198.65,"4,97,781"
05-Jul-2010,205.00,209.90,205.00,207.80,196.43,"3,99,260"
02-Jul-2010,205.55,208.50,204.90,205.95,194.68,"3,40,941"
01-Jul-2010,204.00,207.35,203.00,205.55,194.30,"2,86,309"
30-Jun-2010,196.40,207.00,196.40,205.25,194.02,"5,29,019"
29-Jun-2010,200.80,208.25,200.00,205.60,194.35,"10,10,248"
28-Jun-2010,195.20,203.35,195.20,200.50,189.53,"5,62,615"
25-Jun-2010,199.50,202.50,196.00,196.50,185.75,"3,93,768"
24-Jun-2010,203.90,204.50,197.25,199.80,188.87,"8,79,714"
23-Jun-2010,207.05,208.00,201.25,202.05,190.99,"3,60,762"
22-Jun-2010,201.00,212.00,201.00,206.40,195.10,"40,75,681"
21-Jun-2010,196.55,204.70,196.00,200.65,189.67,"14,97,154"
18-Jun-2010,192.05,195.90,192.05,195.25,184.56,"7,66,312"
17-Jun-2010,189.25,195.10,187.55,192.65,182.11,"5,01,562"
16-Jun-2010,194.00,196.35,189.10,190.10,177.99,"8,82,500"
15-Jun-2010,195.70,195.90,189.75,192.25,180.01,"7,22,625"
14-Jun-2010,191.25,195.80,191.25,194.30,181.93,"7,67,895"
11-Jun-2010,183.65,194.45,183.65,191.05,178.88,"22,15,166"
10-Jun-2010,182.00,183.20,180.00,181.65,170.08,"4,26,924"
09-Jun-2010,183.00,184.60,179.00,181.55,169.99,"3,99,187"
08-Jun-2010,186.65,188.40,181.25,182.00,170.41,"4,35,836"
07-Jun-2010,184.90,190.90,184.10,186.25,174.39,"4,09,845"
04-Jun-2010,188.50,190.95,186.10,190.35,178.23,"6,02,858"
03-Jun-2010,188.40,190.70,185.15,187.15,175.23,"20,25,558"
02-Jun-2010,187.80,189.80,182.10,185.50,173.69,"8,59,331"
01-Jun-2010,196.20,197.55,185.15,187.00,175.09,"8,94,700"
31-May-2010,193.55,199.00,190.05,196.10,183.61,"10,19,093"
28-May-2010,187.00,194.70,187.00,191.90,179.68,"28,01,348"
27-May-2010,178.50,188.30,178.50,187.35,175.42,"39,13,662"
26-May-2010,183.60,185.90,177.10,178.30,166.95,"47,98,012"
25-May-2010,187.00,189.80,176.50,179.50,168.07,"9,12,161"
24-May-2010,187.70,193.40,186.00,187.10,175.19,"11,62,938"
21-May-2010,194.00,194.60,183.05,185.60,173.78,"12,66,414"
20-May-2010,182.70,207.00,181.15,196.20,183.71,"30,19,195"
19-May-2010,187.00,191.90,180.00,180.80,169.29,"6,75,804"
18-May-2010,179.30,189.95,179.30,188.20,176.22,"7,55,224"
17-May-2010,182.00,185.90,174.10,180.05,168.58,"5,65,967"
14-May-2010,185.00,185.40,182.80,184.65,172.89,"2,36,616"
13-May-2010,186.40,187.35,181.25,185.20,173.41,"3,66,865"
12-May-2010,179.55,185.90,177.00,185.00,173.22,"5,58,173"
11-May-2010,183.70,185.40,178.70,180.15,168.68,"4,11,451"
10-May-2010,180.60,186.60,180.25,181.65,170.08,"6,45,467"
07-May-2010,184.70,186.95,178.25,179.50,168.07,"5,47,166"
06-May-2010,192.00,194.35,186.55,187.65,175.70,"6,18,201"
05-May-2010,187.50,192.40,184.60,191.55,179.35,"4,75,360"
04-May-2010,193.30,193.30,188.65,190.90,178.74,"3,67,751"
03-May-2010,191.55,196.75,188.25,189.60,177.53,"3,80,979"
30-Apr-2010,194.20,195.00,191.60,193.90,181.55,"4,45,536"
29-Apr-2010,188.00,193.75,186.60,192.65,180.38,"5,24,902"
28-Apr-2010,186.35,189.50,185.55,186.80,174.90,"4,66,426"
27-Apr-2010,192.90,192.90,188.90,191.00,178.84,"2,23,929"
26-Apr-2010,192.40,194.75,191.00,191.80,179.59,"3,19,104"
23-Apr-2010,190.50,191.80,189.05,190.20,178.09,"13,42,164"
22-Apr-2010,193.00,196.45,189.00,189.90,177.81,"7,24,389"
21-Apr-2010,184.90,194.90,183.70,193.85,181.51,"22,06,666"
20-Apr-2010,183.00,185.95,179.65,184.15,172.42,"11,52,243"
19-Apr-2010,180.00,184.25,172.20,182.10,170.50,"22,75,598"
16-Apr-2010,182.00,184.00,174.15,176.35,165.12,"29,36,842"
15-Apr-2010,183.00,183.70,178.25,179.95,168.49,"5,52,758"
13-Apr-2010,178.45,182.35,176.30,181.15,169.61,"4,51,685"
12-Apr-2010,179.00,181.00,176.00,177.10,165.82,"2,32,898"
27-Oct-2010,270.10,274.00,269.00,270.85,256.03,"3,06,277"
26-Oct-2010,275.00,275.85,266.25,270.65,255.84,"10,99,941"
25-Oct-2010,277.00,278.00,273.60,274.80,259.76,"6,18,952"
22-Oct-2010,268.00,275.40,266.00,274.50,259.48,"14,37,758"
21-Oct-2010,265.70,268.00,263.25,264.80,250.31,"4,85,415"
20-Oct-2010,266.15,268.45,259.25,263.10,248.70,"11,01,559"
19-Oct-2010,262.00,274.00,261.55,265.10,250.59,"39,33,103"
18-Oct-2010,268.75,268.75,256.00,261.45,247.14,"37,72,046"
15-Oct-2010,271.90,272.90,266.00,267.90,253.24,"6,24,795"
14-Oct-2010,270.50,273.10,269.00,270.60,255.79,"9,61,009"
13-Oct-2010,274.00,274.00,265.00,269.20,254.47,"23,74,642"
12-Oct-2010,277.00,282.70,264.35,270.05,255.27,"22,13,935"
11-Oct-2010,284.00,287.80,272.75,274.80,259.76,"24,46,729"
08-Oct-2010,280.00,285.00,272.00,280.25,264.91,"14,27,257"
07-Oct-2010,279.00,280.40,273.00,278.40,263.16,"11,31,898"
06-Oct-2010,280.00,288.00,272.20,273.80,258.82,"35,00,158"
05-Oct-2010,270.80,281.30,267.50,278.80,263.54,"15,99,236"
04-Oct-2010,265.65,273.85,261.25,268.85,254.14,"24,66,491"
01-Oct-2010,265.90,267.55,260.55,264.60,250.12,"15,73,470"
30-Sep-2010,269.10,269.10,260.00,265.90,251.35,"9,20,900"
29-Sep-2010,268.60,270.00,265.50,266.95,252.34,"7,45,272"
28-Sep-2010,262.20,267.75,259.90,266.60,252.01,"15,64,108"
27-Sep-2010,258.90,262.50,253.50,261.15,246.86,"7,35,272"
24-Sep-2010,255.00,264.00,249.55,256.25,242.23,"16,64,623"
23-Sep-2010,265.00,265.00,250.70,254.60,240.67,"8,73,621"
