,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"2,000","3,12,000","2,24,98,000"
Other short-term investments,"2,95,63,000","6,50,73,000","1,49,90,000"
Total cash,"2,95,65,000","6,53,85,000","3,74,88,000"
Net receivables,"55,09,000","27,46,000","15,15,000"
Other current assets,"23,000","28,000","61,000"
Total current assets,"4,28,00,000","7,61,20,000","4,71,18,000"
"Gross property, plant and equipment","14,85,96,000","14,32,15,000","13,59,43,000"
Accumulated depreciation,"-9,41,65,000","-8,62,67,000","-7,75,46,000"
"Net property, plant and equipment","5,44,31,000","5,69,48,000","5,83,97,000"
Intangible assets,"71,000","1,03,000","1,31,000"
Other long-term assets,"18,25,000","27,50,000","24,14,000"
Total non-current assets,"12,85,05,000","12,06,76,000","16,05,10,000"
Total assets,"17,13,05,000","19,67,96,000","20,76,28,000"
Current debt,"57,000",0,"27,85,000"
Accounts payable,"1,08,33,000","1,09,96,000","5,34,000"
Other current liabilities,"1,35,000","1,29,000","1,09,000"
Total current liabilities,"1,77,52,000","1,81,59,000","4,39,52,000"
Deferred tax liabilities,"17,76,000","23,56,000","24,34,000"
Deferred revenues,"13,08,000","16,30,000","16,33,000"
Total non-current liabilities,"82,37,000","89,93,000","86,83,000"
Total liabilities,"2,59,89,000","2,71,52,000","5,26,35,000"
Common stock,"1,84,96,000","1,84,96,000","1,84,96,000"
Retained earnings,"1,88,70,000","10,19,62,000","1,81,38,000"
Total stockholders' equity,"14,53,16,000","16,96,44,000","15,49,93,000"
Total liabilities and stockholders' equity,"17,13,05,000","19,67,96,000","20,76,28,000"
