,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"3,25,68,000","2,49,38,000","2,49,37,000","2,74,70,000"
Depreciation & amortisation,"1,18,99,000","1,06,58,000","1,18,01,000","1,16,57,000"
Change in working capital,"-71,40,000","-26,53,000","11,26,000","-10,17,000"
Other working capital,"1,37,25,000","2,20,27,000","2,39,70,000","1,85,74,000"
Other non-cash items,"-5,88,000","-34,60,000","-17,11,000","-68,21,000"
Net cash provided by operating activities,"2,16,97,000","3,15,86,000","3,46,94,000","2,86,62,000"
"Investments in property, plant and equipment","-79,72,000","-95,59,000","-1,07,24,000","-1,00,88,000"
Purchases of investments,"-7,60,20,000","-7,96,51,000","-7,58,52,000","-19,75,35,000"
Sales/maturities of investments,"6,11,64,000","10,25,37,000","6,28,17,000","20,25,02,000"
Other investing activities,"94,72,000","6,000","6,000",-
Net cash used for investing activities,"-1,13,59,000","1,59,99,000","-1,85,51,000","-24,34,000"
Net change in cash,"9,76,000","-3,62,000","-1,94,05,000","-4,20,000"
Cash at beginning of period,"-8,30,000","3,08,000","1,97,13,000","2,01,33,000"
Cash at end of period,"1,46,000","-54,000","3,08,000","1,97,13,000"
Operating cash flow,"2,16,97,000","3,15,86,000","3,46,94,000","2,86,62,000"
Capital expenditure,"-79,72,000","-95,59,000","-1,07,24,000","-1,00,88,000"
Free cash flow,"1,37,25,000","2,20,27,000","2,39,70,000","1,85,74,000"
