,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,6,6,42,44
Avg. Estimate,214.23B,217.51B,824.98B,917.51B
Low estimate,207.73B,211.89B,811.61B,849.09B
High estimate,217.6B,221.16B,848B,988B
Year ago EPS,11.27,8.49,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,177.94B,180.83B,705.22B,824.98B
Sales growth (year/est),20.40%,20.30%,17.00%,11.20%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,8.05,8.37,8.52,9.27
Actual EPS,11.27,8.49,8.3,9.44
Difference,3.22,0.12,-0.22,0.17
Surprise %,40.00%,1.40%,-2.60%,1.80%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,9.57,9.76,37.7,42.07
30 days ago,9.57,9.76,37.7,42.07
60 days ago,9.57,9.76,37.7,42.07
90 days ago,9.57,9.76,37.7,42.07
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,1,N/A
Up last 30 days,N/A,N/A,1,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,1,1,1,2
Growth estimates,INFY.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),8.09%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
