Insider,Insider Type,Type,Date,Shares
Kapoor (Anup),UNREPORTED,Direct,11-Jun-2020,692
Infosys Employee Benefits Trust,UNREPORTED,Direct,20-Feb-2020,"11,991"
Mallik (Subhro),UNREPORTED,Direct,10-Jun-2020,"1,156"
Purohit (Vijayeendra S),UNREPORTED,Direct,08-Jun-2020,"3,500"
Kamath (U Ramadas),UNREPORTED,Indirect,28-Apr-2020,0
Sorokin (Scott),UNREPORTED,Direct,26-Feb-2020,"7,287"
Sundaresan (Narayan Vijay),UNREPORTED,Direct,26-Feb-2020,750
Swaminathan (Anand),UNREPORTED,Direct,03-Jun-2020,"2,500"
Vaswani (Karmesh Gul),UNREPORTED,Indirect,26-Feb-2020,0
Groth (Andrew),UNREPORTED,Indirect,26-Feb-2020,0
Sharma (Vivek),UNREPORTED,Direct,18-Mar-2020,"1,469"
Singh (Jasmeet),UNREPORTED,Direct,26-Feb-2020,"1,907"
Bajaj Dinesh,UNREPORTED,Direct,26-Feb-2020,"1,971"
Nair (Jayachandran),UNREPORTED,Direct,18-Mar-2020,"1,196"
Vij (Ajay),UNREPORTED,Direct,18-Mar-2020,"3,812"
Joshi (Mohit),UNREPORTED,Direct,26-Feb-2020,"13,750"
Roy (Nilanjan),Institution- Corporation,Direct,22-May-2020,"8,723"
Dhareshwar (Sunil Kumar),UNREPORTED,Direct,22-May-2020,"3,150"
Parekh (Salil S.),Managing Director,Direct,29-Apr-2020,"52,933"
Bhalla (Deepak),UNREPORTED,Direct,12-May-2020,350
Dubey (Vibhuti Kumar),UNREPORTED,Direct,04-May-2020,"2,050"
Gosari (Venkatramana),UNREPORTED,Direct,20-Feb-2020,"1,850"
Krishnamurthy (Shankar),Executive Vice President,Direct,13-Feb-2020,"6,100"
Balakrishna (D R),UNREPORTED,Direct,29-Apr-2020,"1,202"
K (Raghavendra),UNREPORTED,Direct,09-Apr-2020,"8,499"
Lakshmipathy (Umashankar),UNREPORTED,Direct,09-Apr-2020,"6,250"
Paternoster (Eric S),UNREPORTED,Direct,09-Apr-2020,"15,700"
Rao (Sanat),UNREPORTED,Direct,09-Apr-2020,"8,651"
Dalwani (Sanjay),UNREPORTED,Direct,09-Apr-2020,"3,475"
Banerjee (Sourav S),UNREPORTED,Direct,09-Apr-2020,"8,688"
Mathew (Shaji),UNREPORTED,Direct,13-Feb-2020,"1,975"
Moorthy (Srikantan),UNREPORTED,Direct,09-Apr-2020,"6,950"
Lobo (Richard Gerard),UNREPORTED,Direct,26-Feb-2020,"4,250"
Ranjan (Rajeev),UNREPORTED,Direct,20-Feb-2020,"2,836"
Anatharaman (Radhakrishnan),UNREPORTED,Direct,20-Feb-2020,"3,762"
Mannepalli (Narsimha Rao),Divisional Officer,Direct,19-Mar-2020,"6,350"
AnanthaKrishnan (Venkateshwaran),UNREPORTED,Direct,18-Mar-2020,"1,335"
Virmani (Sumit),UNREPORTED,Direct,12-Mar-2020,"1,400"
Tharappan (Sushanth Michael),UNREPORTED,Direct,26-Feb-2020,"1,012"
Mahindroo (Sandeep),UNREPORTED,Direct,12-Mar-2020,"1,000"
Manikantha (A G S),UNREPORTED,Direct,12-Mar-2020,"1,000"
Salvi (Vishal Vilas),UNREPORTED,Direct,12-Mar-2020,"2,826"
Dinesh (R),UNREPORTED,Direct,12-Mar-2020,"2,776"
Soneja (Atul),UNREPORTED,Direct,06-Mar-2020,"1,426"
Padaki (Deepak),UNREPORTED,Direct,06-Mar-2020,"4,800"
Pawar (Jyoti),UNREPORTED,Direct,26-Feb-2020,687
Puranik (Tarang Suresh),UNREPORTED,Direct,13-Feb-2020,"1,487"
Hullangala (Satish C),UNREPORTED,Direct,19-Feb-2020,"11,111"
Nandini (S),UNREPORTED,Direct,06-Mar-2020,"2,962"
Binod (H R),UNREPORTED,Direct,03-Mar-2020,"5,300"
Koushik (RN),UNREPORTED,Direct,03-Mar-2020,"3,750"
Majumdar (Mitrankur),UNREPORTED,Direct,26-Feb-2020,717
Chaterjee (Shamita),UNREPORTED,Direct,26-Feb-2020,"2,086"
Gibson (Roger),UNREPORTED,Direct,26-Feb-2020,"1,250"
Gkikopoulos (Ioannis),UNREPORTED,Direct,26-Feb-2020,46
Goswami (Robin),UNREPORTED,Direct,26-Feb-2020,"3,537"
Steinert (Marcus),UNREPORTED,Direct,26-Feb-2020,"1,250"
Vijaykumar (Sajit),UNREPORTED,Direct,26-Feb-2020,"1,985"
Kohli (Upendra),UNREPORTED,Direct,26-Feb-2020,"2,124"
Kumar (Arun H R),UNREPORTED,Direct,26-Feb-2020,"2,125"
Lamba (Hemant),UNREPORTED,Direct,26-Feb-2020,"1,452"
Livingston (Mark),UNREPORTED,Direct,26-Feb-2020,"22,650"
Salameh (Charles),UNREPORTED,Direct,26-Feb-2020,"8,668"
Shah (Raja Madhusudan),UNREPORTED,Direct,26-Feb-2020,33
Sica (Tony),UNREPORTED,Direct,26-Feb-2020,657
Af (Manoj),UNREPORTED,Direct,18-Feb-2020,"1,639"
