,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"93,32,800","31,89,000","32,95,000"
Other short-term investments,"9,52,96,100","9,38,80,200","7,53,19,200"
Total cash,"10,46,28,900","9,70,69,200","7,86,14,200"
Net receivables,"15,79,77,200","10,69,64,800","8,89,91,900"
Inventory,"77,12,64,800","70,56,79,000","65,88,43,300"
Other current assets,"3,600","2,900","2,500"
Total current assets,"1,29,77,60,300","1,05,67,44,500","96,61,05,200"
"Gross property, plant and equipment","1,80,88,86,300","1,57,95,86,700","1,40,14,44,200"
Accumulated depreciation,"-27,84,05,000","-19,68,51,700","-12,17,87,700"
"Net property, plant and equipment","1,53,04,81,300","1,38,27,35,000","1,27,96,56,500"
Goodwill,"10,400","10,400","10,400"
Intangible assets,"7,72,53,300","4,90,88,400","4,76,95,000"
Total non-current assets,"2,05,37,90,800","1,89,99,78,400","1,76,95,05,200"
Total assets,"3,35,15,51,100","2,95,67,22,900","2,73,56,10,400"
Current debt,"57,41,15,300","42,42,16,800","37,57,38,300"
Accounts payable,"41,19,41,200","36,76,66,900","31,16,96,800"
Other current liabilities,"8,67,42,900","7,94,75,800","10,47,03,400"
Total current liabilities,"1,60,71,88,800","1,39,86,40,700","1,12,89,59,800"
Long-term debt,"35,84,27,100","19,60,66,300","21,94,03,800"
Deferred tax liabilities,"16,50,97,100","12,36,78,500","6,88,86,600"
Deferred revenues,"2,91,800","65,800","95,700"
Other long-term liabilities,"1,57,02,700","1,35,46,300","74,28,500"
Total non-current liabilities,"60,08,96,300","39,78,31,800","56,66,44,000"
Total liabilities,"2,20,80,85,100","1,79,64,72,500","1,69,56,03,800"
Common stock,"9,18,10,400","9,47,86,900","4,73,93,400"
Retained earnings,-,"1,49,93,500","76,15,78,600"
Total stockholders' equity,"1,12,46,92,400","1,13,87,38,200","1,02,09,61,000"
Total liabilities and stockholders' equity,"3,35,15,51,100","2,95,67,22,900","2,73,56,10,400"
