,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"12,89,42,900","17,37,67,000","22,18,94,500","19,84,94,900"
Depreciation & amortisation,-,"8,50,73,800","7,66,78,700","6,84,86,200"
Change in working capital,-,"-15,05,81,300","-3,01,58,000","-7,62,19,600"
Inventory,-,"-6,58,00,100","-4,87,04,700","-23,63,66,500"
Other working capital,-,"-12,74,81,700","6,63,68,200","13,40,17,200"
Other non-cash items,-,"2,72,44,500","1,95,21,300","1,92,12,500"
Net cash provided by operating activities,-,"14,13,30,400","29,08,16,600","28,16,80,000"
"Investments in property, plant and equipment",-,"-26,88,12,100","-22,44,48,400","-14,76,62,800"
Purchases of investments,-,"-18,21,400","-2,43,45,500","-9,26,70,000"
Sales/maturities of investments,-,"50,00,000","75,22,700","2,72,88,500"
Other investing activities,-,"77,400","2,19,900","10,36,400"
Net cash used for investing activities,-,"-23,95,49,400","-17,11,87,000","-17,63,62,900"
Net change in cash,-,"61,45,500","-1,06,000","-40,53,500"
Cash at beginning of period,-,"31,87,300","32,95,000","73,48,500"
Cash at end of period,-,"93,32,800","31,89,000","32,95,000"
Operating cash flow,-,"14,13,30,400","29,08,16,600","28,16,80,000"
Capital expenditure,-,"-26,88,12,100","-22,44,48,400","-14,76,62,800"
Free cash flow,-,"-12,74,81,700","6,63,68,200","13,40,17,200"
