,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,2,2,25,25
Avg. Estimate,108.88B,118.79B,452.83B,503.09B
Low estimate,108.47B,118.1B,430.94B,476.58B
High estimate,109.29B,119.48B,487.15B,538.92B
Year ago EPS,2.18,2.39,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,96.73B,104.79B,402.55B,452.83B
Sales growth (year/est),12.60%,13.40%,12.50%,11.10%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,2.37,2.39,2.29,2.42
Actual EPS,2.18,2.39,2.29,2.4
Difference,-0.19,0,0,-0.02
Surprise %,-8.00%,0.00%,0.00%,-0.80%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,2.78,2.64,10.07,11.32
30 days ago,2.78,2.64,10.07,11.32
60 days ago,2.78,2.64,10.07,11.32
90 days ago,2.78,2.64,10.07,11.32
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,ITC.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),11.86%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
