,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"31,78,100","15,30,700","33,30,700"
Other short-term investments,"17,01,25,200","13,15,71,500","12,80,90,400"
Total cash,"17,33,03,300","13,31,02,200","13,14,21,100"
Net receivables,"4,03,52,800","2,68,22,900","2,47,42,900"
Inventory,"7,85,95,600","7,49,50,900","8,67,11,000"
Other current assets,"8,44,100","8,94,400","7,00,500"
Total current assets,"31,74,72,700","26,39,36,200","26,26,91,000"
"Gross property, plant and equipment","27,29,84,200","24,63,77,900","21,07,82,000"
Accumulated depreciation,"-4,54,65,000","-3,27,45,100","-2,13,17,300"
"Net property, plant and equipment","22,75,19,200","21,36,32,800","18,94,64,700"
Goodwill,"20,25,300","20,25,300","20,25,300"
Intangible assets,"55,64,600","46,67,800","47,46,700"
Other long-term assets,"-3,000","-2,900","-2,900"
Total non-current assets,"40,05,11,400","37,89,52,400","29,67,41,700"
Total assets,"71,79,84,100","64,28,88,600","55,94,32,700"
Current debt,"52,900","2,44,200","2,73,200"
Accounts payable,"3,50,95,800","3,49,61,800","2,65,93,300"
Other current liabilities,"4,40,83,900","4,13,78,700","2,82,23,600"
Total current liabilities,"10,01,19,900","9,25,01,500","7,12,10,100"
Long-term debt,"2,600","3,700","4,100"
Deferred tax liabilities,"2,05,20,600","1,92,30,200","1,87,87,700"
Deferred revenues,"65,100","4,21,900","1,77,900"
Other long-term liabilities,"78,900","1,11,300","1,79,900"
Total non-current liabilities,"2,30,20,800","2,19,41,300","2,11,45,900"
Total liabilities,"12,31,40,700","11,44,42,800","9,23,56,000"
Common stock,"1,22,58,600","1,22,04,300","1,21,47,400"
Retained earnings,"27,71,66,800","22,61,94,600","18,20,03,000"
Total stockholders' equity,"59,14,08,700","52,51,01,100","46,41,29,300"
Total liabilities and stockholders' equity,"71,79,84,100","64,28,88,600","55,94,32,700"
