,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"14,98,48,200","12,59,23,300","11,27,12,000","10,28,94,400"
Depreciation & amortisation,-,"1,39,66,100","1,23,62,800","1,15,27,900"
Stock-based compensation,-,"25,82,300","39,34,100","49,60,200"
Change in working capital,-,"-49,40,600","1,73,63,800","4,43,800"
Inventory,-,"-35,94,400","60,16,200","59,25,500"
Other working capital,-,"9,41,42,900","10,29,12,000","7,50,57,000"
Other non-cash items,-,"-1,26,73,700","-87,48,300","-87,88,600"
Net cash provided by operating activities,-,"12,58,34,100","13,16,94,000","10,62,73,100"
"Investments in property, plant and equipment",-,"-3,16,91,200","-2,87,82,000","-3,12,16,100"
Purchases of investments,-,"-1,00,08,97,100","-1,03,64,00,300","-87,95,48,000"
Sales/maturities of investments,-,"96,46,98,400","98,55,86,100","86,87,99,000"
Net cash used for investing activities,-,"-5,54,56,800","-7,11,38,900","-3,25,09,300"
Net change in cash,-,"16,90,900","-16,56,200","7,53,500"
Cash at beginning of period,-,"17,37,900","33,94,100","26,40,600"
Cash at end of period,-,"34,28,800","17,37,900","33,94,100"
Operating cash flow,-,"12,58,34,100","13,16,94,000","10,62,73,100"
Capital expenditure,-,"-3,16,91,200","-2,87,82,000","-3,12,16,100"
Free cash flow,-,"9,41,42,900","10,29,12,000","7,50,57,000"
