,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"50,02,19,100","47,83,90,000","43,12,29,000","42,36,00,400"
Cost of revenue,"17,87,67,600","17,42,03,300","15,85,54,800","16,04,91,600"
Gross profit,"32,14,51,500","30,41,86,700","27,26,74,200","26,31,08,800"
Research development,-,"5,71,500","4,64,900","5,08,000"
Selling general and administrative,-,"1,79,21,300","1,62,43,400","1,52,51,600"
Total operating expenses,"13,95,73,300","13,20,74,200","11,98,68,300","11,99,41,600"
Operating income or loss,"18,18,78,200","17,21,12,500","15,28,05,900","14,31,67,200"
Interest expense,"4,96,300","4,54,200","8,99,100","2,43,000"
Income before tax,"20,43,65,200","19,14,98,200","17,40,91,100","16,02,63,200"
Income tax expense,"5,17,39,200","6,31,39,200","5,91,64,300","5,54,90,900"
Income from continuing operations,"15,26,27,000","12,83,59,000","11,49,26,800","10,47,72,300"
Net income,"14,98,48,200","12,59,23,300","11,27,12,000","10,28,94,400"
Net income available to common shareholders,"14,98,48,200","12,59,23,300","11,27,12,000","10,28,94,400"
Basic EPS,-,10.30,9.26,8.50
Diluted EPS,-,10.24,9.20,8.45
Basic average shares,-,"1,22,31,114","1,21,75,815","1,21,03,852"
Diluted average shares,-,"1,23,00,464","1,22,46,800","1,21,79,272"
EBITDA,-,"20,59,18,500","18,73,53,000","17,20,34,100"
