,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,89.27,90.17,88.57,89.75,69.34,"84,02,556"
08-Apr-2010,89.33,89.65,88.78,89.25,68.96,"62,58,126"
07-Apr-2010,88.45,90.00,87.83,89.82,69.40,"87,30,540"
06-Apr-2010,88.27,89.20,87.70,88.75,68.57,"96,74,910"
05-Apr-2010,89.23,89.57,88.03,88.27,68.20,"73,35,420"
01-Apr-2010,88.00,88.95,87.70,88.00,67.99,"56,60,241"
31-Mar-2010,89.93,89.93,87.20,87.68,67.75,"1,50,54,351"
30-Mar-2010,89.77,90.97,89.23,89.62,69.24,"79,93,809"
29-Mar-2010,88.13,90.33,87.42,89.73,69.33,"1,26,53,583"
26-Mar-2010,88.25,88.67,87.37,88.13,68.09,"88,80,840"
25-Mar-2010,87.02,88.82,86.60,88.25,68.18,"1,72,37,313"
23-Mar-2010,86.83,87.57,85.40,86.98,67.21,"99,91,815"
22-Mar-2010,86.45,87.30,85.78,87.20,67.37,"89,09,040"
19-Mar-2010,86.83,87.75,86.38,87.10,67.30,"77,26,920"
18-Mar-2010,87.67,88.23,86.23,87.08,67.28,"64,91,703"
17-Mar-2010,86.60,88.13,86.22,87.62,67.70,"1,21,37,355"
16-Mar-2010,86.73,86.98,84.75,86.60,66.91,"74,80,236"
15-Mar-2010,86.12,87.23,86.12,86.45,66.79,"1,53,57,009"
12-Mar-2010,85.67,86.80,85.08,86.15,66.56,"1,67,51,451"
11-Mar-2010,84.67,85.97,83.87,85.22,65.84,"87,48,882"
10-Mar-2010,84.25,85.08,83.45,84.75,65.48,"1,19,61,912"
09-Mar-2010,83.92,84.58,83.20,83.68,64.66,"95,44,842"
08-Mar-2010,81.92,83.98,81.83,83.75,64.71,"2,24,83,827"
05-Mar-2010,82.33,82.33,81.00,81.58,63.03,"82,92,837"
04-Mar-2010,82.30,82.33,81.00,82.02,63.37,"1,28,71,173"
03-Mar-2010,80.83,82.08,79.45,81.23,62.76,"1,30,51,704"
02-Mar-2010,78.37,81.40,78.33,80.65,62.31,"2,90,79,219"
26-Feb-2010,82.83,84.13,76.27,77.42,59.81,"7,00,62,642"
25-Feb-2010,82.97,83.17,81.90,82.53,63.77,"1,43,11,632"
24-Feb-2010,82.78,83.48,82.27,82.55,63.78,"85,43,616"
23-Feb-2010,82.53,83.32,81.93,83.08,64.19,"72,05,160"
22-Feb-2010,83.25,83.58,82.03,82.53,63.77,"65,19,765"
19-Feb-2010,83.10,83.47,81.93,82.83,64.00,"60,03,729"
18-Feb-2010,84.07,84.25,82.17,82.75,63.94,"40,07,403"
17-Feb-2010,83.50,84.23,83.15,83.92,64.84,"78,89,148"
16-Feb-2010,83.58,83.83,82.70,83.38,64.42,"61,22,928"
15-Feb-2010,82.83,83.33,81.70,83.12,64.22,"64,87,740"
11-Feb-2010,81.68,82.63,81.60,82.38,63.65,"69,52,629"
10-Feb-2010,81.57,82.00,80.70,81.30,62.81,"85,59,072"
09-Feb-2010,81.80,82.27,80.92,81.30,62.81,"1,20,81,411"
08-Feb-2010,82.67,82.73,80.23,81.78,63.19,"2,34,10,362"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,84.00,84.43,82.33,82.78,63.96,"1,86,16,515"
04-Feb-2010,84.00,84.92,83.20,84.45,65.25,"1,21,15,686"
03-Feb-2010,81.67,84.95,81.17,84.20,65.06,"1,38,88,179"
02-Feb-2010,83.35,83.35,81.02,81.47,62.94,"1,08,22,941"
01-Feb-2010,83.33,84.18,81.90,82.17,63.48,"1,26,17,925"
29-Jan-2010,84.50,85.58,83.03,83.38,64.42,"1,57,66,656"
28-Jan-2010,85.57,85.67,82.85,84.75,65.48,"1,96,03,176"
27-Jan-2010,84.50,86.35,84.33,85.30,65.91,"3,55,49,841"
25-Jan-2010,83.33,85.43,82.52,85.03,65.70,"1,58,03,928"
22-Jan-2010,81.00,84.57,80.42,83.03,64.15,"4,62,58,872"
21-Jan-2010,82.50,83.38,80.83,81.50,62.97,"1,17,34,698"
20-Jan-2010,83.33,83.83,82.08,82.37,63.64,"1,04,32,659"
19-Jan-2010,83.80,83.80,82.77,83.30,64.36,"62,95,626"
18-Jan-2010,84.27,84.77,83.33,83.52,64.53,"56,42,286"
15-Jan-2010,83.35,84.40,82.37,84.25,65.09,"78,39,831"
14-Jan-2010,83.50,83.63,82.33,82.72,63.91,"1,23,24,480"
13-Jan-2010,83.00,83.92,82.33,82.98,64.12,"1,24,76,064"
12-Jan-2010,85.58,85.58,83.03,83.35,64.40,"1,55,14,101"
11-Jan-2010,85.83,86.50,85.33,85.53,66.09,"72,01,263"
08-Jan-2010,85.12,86.17,85.12,85.50,66.06,"48,81,351"
07-Jan-2010,85.67,86.17,84.57,85.32,65.92,"49,87,434"
06-Jan-2010,86.23,86.23,84.53,85.58,66.12,"75,29,979"
05-Jan-2010,84.93,85.58,84.23,85.38,65.97,"1,07,67,225"
04-Jan-2010,84.33,85.00,83.45,84.55,65.33,"51,61,635"
19-Jul-2010,99.13,99.98,96.67,97.12,78.70,"97,88,847"
16-Jul-2010,100.17,100.18,98.87,99.45,80.59,"1,15,66,047"
15-Jul-2010,99.50,100.33,99.42,100.03,81.07,"91,70,715"
14-Jul-2010,100.05,100.72,99.22,99.50,80.63,"1,39,10,667"
13-Jul-2010,99.98,100.47,98.43,99.70,80.80,"1,40,32,884"
12-Jul-2010,100.67,100.67,99.77,99.98,81.03,"69,76,782"
09-Jul-2010,101.05,101.60,99.75,100.12,81.13,"59,69,130"
08-Jul-2010,101.33,101.78,100.63,101.05,81.89,"55,93,527"
07-Jul-2010,101.03,101.15,100.00,100.67,81.58,"60,40,461"
06-Jul-2010,100.73,101.10,100.37,100.97,81.82,"45,37,185"
05-Jul-2010,100.80,101.50,100.00,100.72,81.62,"42,99,357"
02-Jul-2010,101.67,101.98,100.60,100.85,81.73,"41,87,586"
01-Jul-2010,101.60,101.60,100.08,101.00,81.85,"51,14,853"
30-Jun-2010,97.67,102.07,97.67,101.82,82.51,"1,38,51,996"
29-Jun-2010,99.53,99.67,98.02,98.78,80.05,"50,38,401"
28-Jun-2010,100.33,101.17,99.00,99.22,80.40,"64,52,673"
25-Jun-2010,101.88,102.63,100.07,100.48,81.43,"78,99,066"
24-Jun-2010,101.00,102.63,100.03,101.92,82.59,"2,07,14,163"
23-Jun-2010,100.00,101.40,99.75,100.95,81.81,"92,82,372"
